Ponds	Reada	Readb	Readc	Readd	Reade	Control	Max	RealATP
A1	436	468	481	517	565	7	565	16.4786486326856
A2	395	410	357	406	400	7	410	11.9012462347174
A3	57	46	54	45	50	7	57	1.47658141869943
A4	43	67	44	46	52	7	67	1.77189770243931
A5	24	18	31	25	26	7	31	0.708759080975725
A6	136	136	127	130	128	7	136	3.80958006024452
A7	35	28	20	33	37	8	37	0.856417222845668
A8	31	26	33	18	23	8	33	0.738290709349714
A9	386	410	443	441	456	8	456	13.2301695115469
A10	103	100	111	106	118	8	118	3.24847912113874
A11	9	7	9	8	9	8	9	0.0295316283739885
A12	29	24	33	19	27	8	33	0.738290709349714
B1	129	121	154	149	146	16	154	4.07536471561042
B2	77	84	111	92	94	16	111	2.80550469552891
B3	145	129	142	141	158	16	158	4.19349122910637
B4	162	226	190	188	201	16	226	6.20164195853759
B5	276	277	309	302	326	16	326	9.15480479593645
B6	243	284	275	271	257	16	284	7.91447640422893
B7	245	273	306	323	342	8	342	9.86356387691217
B8	253	257	297	301	273	8	301	8.65276711357864
B9	83	74	71	82	85	8	85	2.27393538479712
B10	78	61	77	62	58	8	78	2.0672139861792
B11	83	101	81	93	98	8	101	2.74644143878093
B12	127	108	142	140	125	8	142	3.95723820211446
C1	183	167	205	205	223	17	223	6.08351544504164
C2	54	82	71	91	81	17	91	2.18534049967515
C3	102	93	103	83	90	17	103	2.53972004016301
C4	36	36	44	25	40	17	44	0.797353966097691
C5	138	146	148	169	149	17	169	4.48880751284626
C6	76	83	84	77	84	17	84	1.97861910105723
C7	24	30	19	26	24	7	30	0.679227452601737
C8	161	145	148	161	159	7	161	4.54787076959424
C9	181	251	222	226	235	7	251	7.20571732325321
C10	201	216	179	182	191	7	216	6.17211033016361
C11	64	53	53	67	67	7	67	1.77189770243931
C12	103	123	127	110	106	7	127	3.54379540487863
D1	45	29	28	33	30	11	45	1.00407536471561
D2	80	89	86	86	100	11	100	2.62831492528498
D3	140	167	158	191	182	11	191	5.31569310731794
D4	115	135	101	121	115	11	135	3.66192191837458
D5	153	164	160	174	193	11	193	5.37475636406591
D6	116	128	141	140	168	11	168	4.6364656547162
D7	31	31	35	28	32	11	35	0.708759080975725
D8	170	185	174	206	186	11	206	5.75866753292777
D9	62	76	58	65	76	11	76	1.91955584430926
D10	71	87	78	75	73	11	87	2.24440375642313
D11	26	28	42	23	29	11	42	0.915480479593645
D12	74	55	49	80	66	11	80	2.03768235780521
E1	81	78	102	100	115	11	115	3.07128935089481
E2	74	70	82	72	82	11	82	2.09674561455319
E3	89	84	79	87	99	11	99	2.59878329691099
E4	124	116	143	146	130	11	146	3.98676983048845
E5	443	451	491	443	521	11	521	15.0611304707342
E6	282	289	288	277	303	11	303	8.62323548520465
E7	130	138	146	143	144	8	146	4.07536471561042
E8	155	157	159	157	150	8	159	4.45927588447227
E9	284	288	260	274	269	8	288	8.26885594471679
E10	440	447	451	427	452	8	452	13.1120429980509
E11	168	170	186	181	171	8	186	5.25662985056996
E12	52	67	67	58	52	8	67	1.74236607406532
F1	68	62	64	70	70	16	70	1.59470793219538
F2	78	94	105	98	97	16	105	2.62831492528498
F3	98	92	88	92	94	16	98	2.42159352666706
F4	63	59	49	67	57	16	67	1.50611304707342
F5	73	72	67	74	81	16	81	1.91955584430926
F6	140	165	171	161	146	16	171	4.57740239796822
F7	312	435	398	390	411	8	435	12.6100053156931
F8	76	53	74	64	82	8	82	2.18534049967515
F9	69	63	74	79	83	8	83	2.21487212804914
F10	72	60	72	72	77	8	77	2.03768235780521
F11	102	120	110	114	117	8	120	3.30754237788672
F12	119	116	147	130	105	8	147	4.10489634398441
G1	23	26	13	21	28	12	28	0.472506053983817
G2	156	135	145	141	142	12	156	4.25255448585435
G3	60	71	77	87	103	12	103	2.68737818203296
G4	91	81	93	93	101	12	101	2.62831492528498
G5	94	96	87	93	100	12	100	2.59878329691099
G6	64	80	102	106	122	12	122	3.24847912113874
G7	195	200	217	167	196	9	217	6.14257870178962
G8	99	95	108	105	123	9	123	3.36660563463469
G9	41	51	51	42	51	9	51	1.24032839170752
G10	85	79	76	85	86	9	86	2.27393538479712
G11	1297	1376	1413	1359	1374	9	1413	41.4624062370799
G12	53	34	33	36	35	9	53	1.2993916484555
H1	589	605	563	640	611	14	640	18.4867993621168
H2	143	146	130	167	157	14	167	4.51833914122025
H3	41	56	50	34	40	14	56	1.24032839170752
H4	192	208	214	219	215	14	219	6.05398381666765
H5	753	851	878	957	1005	14	1005	29.2658437186226
H6	80	84	110	90	114	14	114	2.95316283739885
H7	233	281	259	297	270	11	297	8.44604571496072
H8	582	569	606	601	562	11	606	17.5713188825232
H9	164	146	149	158	144	11	164	4.51833914122025
H10	111	142	133	127	115	11	142	3.8686433169925
H11	277	272	329	317	304	11	329	9.39105782292836
H12	181	222	228	301	294	11	301	8.56417222845668
