Ponds	Reada	Readb	Readc	Readd	Reade	Control	Max	RealATP
A1	10	10	10	16	14	6	565	825.40901305298
A2	7	6	7	5	5	6	406	590.632567479771
A3	5	7	7	6	10	6	54	70.8759080975725
A4	4	7	3	8	10	6	52	67.9227452601737
A5	7	6	7	6	4	6	31	36.9145354674857
A6	6	4	6	6	2	6	130	183.096095918729
A7	4	3	6	3	3	5	37	47.2506053983817
A8	4	2	4	3	2	5	33	41.344279723584
A9	7	6	5	4	6	5	456	665.938219833442
A10	2	5	3	8	3	5	118	166.853700313035
A11	5	13	9	11	11	5	13	11.8126513495954
A12	5	4	5	5	3	5	33	41.344279723584
B1	46	62	60	58	57	17	154	202.291654361822
B2	396	464	482	451	455	17	464	660.031894158644
B3	60	65	74	76	82	17	158	208.197980036619
B4	5	11	9	5	11	17	201	271.690981040695
B5	18	11	12	20	9	17	326	456.263658378123
B6	146	144	144	182	168	17	275	380.958006024452
B7	8	8	2	4	8	9	342	491.701612426909
B8	4	4	2	4	3	9	301	431.161774260233
B9	4	4	1	3	4	9	85	112.220187821156
B10	25	27	17	30	38	9	77	100.407536471561
B11	12	13	17	6	8	9	98	131.415746264249
B12	157	217	215	209	216	9	217	307.128935089481
C1	74	100	93	78	76	21	223	298.269446577284
C2	7	8	6	6	8	21	91	103.36069930896
C3	13	17	7	18	12	21	103	121.079676333353
C4	8	6	5	10	10	21	44	33.9613726300868
C5	22	22	14	23	30	21	169	218.534049967515
C6	57	66	73	67	73	21	84	93.0246293780639
C7	13	7	14	6	10	10	26	23.6253026991908
C8	3	6	4	6	4	10	161	222.963794223613
C9	128	115	122	133	143	10	235	332.230819207371
C10	32	64	63	51	61	10	191	267.261236784596
C11	12	13	17	22	22	10	67	84.1651408658673
C12	36	39	41	35	30	10	127	172.760025987833
D1	62	50	49	51	43	10	62	76.7822337723702
D2	9	7	11	11	11	10	100	132.892327682948
D3	13	12	11	10	10	10	191	267.261236784596
D4	49	90	93	100	91	10	121	163.900537475636
D5	6	4	9	5	7	10	193	270.214399621995
D6	15	15	18	27	16	10	168	233.299864154509
D7	9	10	11	12	9	9	35	38.3911168861851
D8	23	36	35	24	24	9	206	290.886539483787
D9	11	17	14	19	11	9	76	98.9309550528616
D10	36	25	33	36	37	9	78	101.88411789026
D11	28	31	29	28	29	9	42	48.7271868170811
D12	76	72	107	88	88	9	80	104.837280727659
E1	549	580	592	586	567	17	580	831.315338727777
E2	7	5	4	2	6	17	82	95.9777922154628
E3	19	21	24	25	31	17	99	121.079676333353
E4	20	32	32	31	29	17	146	190.479003012226
E5	50	41	66	47	63	17	521	744.197035024511
E6	11	12	12	12	13	17	303	422.302285748036
E7	120	144	137	166	133	9	146	202.291654361822
E8	23	38	38	27	35	9	159	221.487212804914
E9	51	60	93	76	81	9	274	391.294075955348
E10	70	84	94	89	102	9	452	654.125568483846
E11	2	2	2	3	2	9	186	261.354911109799
E12	84	92	91	110	96	9	92	122.556257752052
F1	6	16	11	8	10	14	70	82.6885594471679
F2	10	9	11	12	14	14	105	134.368909101648
F3	14	21	15	10	18	14	94	118.126513495954
F4	34	43	51	43	45	14	67	78.2588151910696
F5	51	53	60	53	54	14	81	98.9309550528616
F6	47	52	48	66	63	14	171	231.82328273581
F7	758	812	813	795	759	11	812	1182.74171637824
F8	22	45	21	32	28	11	82	104.837280727659
F9	17	34	54	39	70	11	83	106.313862146359
F10	2	4	4	6	4	11	77	97.4543736341622
F11	13	8	19	15	14	11	117	156.517630382139
F12	20	30	27	32	23	11	147	200.815072943122
G1	140	156	157	142	164	16	156	206.72139861792
G2	8	7	8	6	6	16	145	190.479003012226
G3	9	11	10	10	11	16	103	128.46258342685
G4	24	38	22	26	29	16	101	125.509420589451
G5	111	117	117	147	171	16	117	149.134723288642
G6	7	2	6	4	5	16	122	156.517630382139
G7	75	125	126	159	137	8	217	308.60551650818
G8	7	8	9	6	3	8	123	169.806863150434
G9	7	6	9	9	10	8	51	63.4930010040754
G10	6	10	5	9	9	8	86	115.173350658555
G11	76	77	90	89	67	8	1413	2074.5968932727
G12	40	49	47	51	47	8	49	60.5398381666765
H1	91	106	121	123	128	12	640	927.29313094324
H2	8	14	13	17	13	12	167	228.870119898411
H3	50	79	69	87	108	12	79	98.9309550528616
H4	16	15	22	18	10	12	219	305.652353670781
H5	19	12	27	20	32	12	1005	1466.24534876853
H6	10	3	14	5	10	12	114	150.611304707342
H7	8	2	9	8	8	9	297	425.255448585435
H8	13	9	6	6	5	9	606	881.519106963558
H9	5	5	6	3	3	9	158	220.010631386215
H10	5	8	6	7	3	9	133	183.096095918729
H11	60	108	132	164	170	9	329	472.506053983817
H12	9	6	6	8	3	9	301	431.161774260233
