Ponds	Max	Group	Control	RealATP
A1	12	A1_6	10	0.0590632567479771
A2	9	A1_6	10	-0.0295316283739885
A3	24	A1_6	10	0.41344279723584
A4	19	A1_6	10	0.265784655365897
A5	9	A1_6	10	-0.0295316283739885
A6	23	A1_6	10	0.383911168861851
A7	6	A7_12	5	0.0295316283739885
A8	4	A7_12	5	-0.0295316283739885
A9	7	A7_12	5	0.0590632567479771
A10	8	A7_12	5	0.0885948851219656
A11	13	A7_12	5	0.236253026991908
A12	5	A7_12	5	0
B1	12	B1_6	13	-0.0295316283739885
B2	15	B1_6	13	0.0590632567479771
B3	18	B1_6	13	0.147658141869943
B4	9	B1_6	13	-0.118126513495954
B5	32	B1_6	13	0.561100939105782
B6	152	B1_6	13	4.10489634398441
B7	8	B7_12	9	-0.0295316283739885
B8	4	B7_12	9	-0.147658141869943
B9	4	B7_12	9	-0.147658141869943
B10	38	B7_12	9	0.856417222845668
B11	17	B7_12	9	0.236253026991908
B12	217	B7_12	9	6.14257870178962
C1	54	C1_6	15	1.15173350658555
C2	81	C1_6	15	1.94908747268324
C3	27	C1_6	15	0.354379540487863
C4	17	C1_6	15	0.0590632567479771
C5	62	C1_6	15	1.38798653357746
C6	13	C1_6	15	-0.0590632567479771
C7	14	C7_12	10	0.118126513495954
C8	6	C7_12	10	-0.118126513495954
C9	143	C7_12	10	3.92770657374048
C10	64	C7_12	10	1.59470793219538
C11	22	C7_12	10	0.354379540487863
C12	41	C7_12	10	0.915480479593645
D1	16	D1_6	15	0.0295316283739885
D2	11	D1_6	15	-0.118126513495954
D3	77	D1_6	15	1.83096095918729
D4	21	D1_6	15	0.177189770243931
D5	77	D1_6	15	1.83096095918729
D6	63	D1_6	15	1.41751816195145
D7	12	D7_12	9	0.0885948851219656
D8	36	D7_12	9	0.797353966097691
D9	19	D7_12	9	0.295316283739885
D10	37	D7_12	9	0.826885594471679
D11	31	D7_12	9	0.649695824227748
D12	107	D7_12	9	2.89409958065088
E1	19	E1_6	15	0.118126513495954
E2	50	E1_6	15	1.0336069930896
E3	9	E1_6	15	-0.177189770243931
E4	12	E1_6	15	-0.0885948851219656
E5	165	E1_6	15	4.42974425609828
E6	23	E1_6	15	0.236253026991908
E7	166	E7_12	9	4.6364656547162
E8	38	E7_12	9	0.856417222845668
E9	93	E7_12	9	2.48065678341504
E10	102	E7_12	9	2.74644143878093
E11	3	E7_12	9	-0.177189770243931
E12	110	E7_12	9	2.98269446577284
F1	28	F1_6	12	0.472506053983817
F2	16	F1_6	12	0.118126513495954
F3	30	F1_6	12	0.531569310731794
F4	20	F1_6	12	0.236253026991908
F5	25	F1_6	12	0.383911168861851
F6	26	F1_6	12	0.41344279723584
F7	813	F7_12	11	23.6843659559388
F8	45	F7_12	11	1.00407536471561
F9	70	F7_12	11	1.74236607406532
F10	6	F7_12	11	-0.147658141869943
F11	19	F7_12	11	0.236253026991908
F12	32	F7_12	11	0.620164195853759
G1	15	G1_6	16	-0.0295316283739885
G2	40	G1_6	16	0.708759080975725
G3	21	G1_6	16	0.147658141869943
G4	27	G1_6	16	0.324847912113874
G5	19	G1_6	16	0.0885948851219656
G6	57	G1_6	16	1.21079676333353
G7	159	G7_12	8	4.45927588447227
G8	9	G7_12	8	0.0295316283739885
G9	10	G7_12	8	0.0590632567479771
G10	10	G7_12	8	0.0590632567479771
G11	90	G7_12	8	2.42159352666706
G12	51	G7_12	8	1.26986002008151
H1	118	H1_6	13	3.1008209792688
H2	36	H1_6	13	0.679227452601737
H3	52	H1_6	13	1.15173350658555
H4	43	H1_6	13	0.885948851219656
H5	188	H1_6	13	5.16803496544799
H6	33	H1_6	13	0.590632567479771
H7	9	H7_12	9	0
H8	13	H7_12	9	0.118126513495954
H9	6	H7_12	9	-0.0885948851219656
H10	8	H7_12	9	-0.0295316283739885
H11	170	H7_12	9	4.75459216821216
H12	9	H7_12	9	0
