Ponds	Reada	Readb	Readc	Readd	Reade	Control
A1	10	10	10	16	14	6
A2	7	6	7	5	5	6
A3	5	7	7	6	10	6
A4	4	7	3	8	10	6
A5	7	6	7	6	4	6
A6	6	4	6	6	2	6
A7	4	3	6	3	3	5
A8	4	2	4	3	2	5
A9	7	6	5	4	6	5
A10	2	5	3	8	3	5
A11	5	13	9	11	11	5
A12	5	4	5	5	3	5
B1	46	62	60	58	57	17
B2	396	464	482	451	455	17
B3	60	65	74	76	82	17
B4	5	11	9	5	11	17
B5	18	11	12	20	9	17
B6	146	144	144	182	168	17
B7	8	8	2	4	8	9
B8	4	4	2	4	3	9
B9	4	4	1	3	4	9
B10	25	27	17	30	38	9
B11	12	13	17	6	8	9
B12	157	217	215	209	216	9
C1	74	100	93	78	76	21
C2	7	8	6	6	8	21
C3	13	17	7	18	12	21
C4	8	6	5	10	10	21
C5	22	22	14	23	30	21
C6	57	66	73	67	73	21
C7	13	7	14	6	10	10
C8	3	6	4	6	4	10
C9	128	115	122	133	143	10
C10	32	64	63	51	61	10
C11	12	13	17	22	22	10
C12	36	39	41	35	30	10
D1	62	50	49	51	43	10
D2	9	7	11	11	11	10
D3	13	12	11	10	10	10
D4	49	90	93	100	91	10
D5	6	4	9	5	7	10
D6	15	15	18	27	16	10
D7	9	10	11	12	9	9
D8	23	36	35	24	24	9
D9	11	17	14	19	11	9
D10	36	25	33	36	37	9
D11	28	31	29	28	29	9
D12	76	72	107	88	88	9
E1	549	580	592	586	567	17
E2	7	5	4	2	6	17
E3	19	21	24	25	31	17
E4	20	32	32	31	29	17
E5	50	41	66	47	63	17
E6	11	12	12	12	13	17
E7	120	144	137	166	133	9
E8	23	38	38	27	35	9
E9	51	60	93	76	81	9
E10	70	84	94	89	102	9
E11	2	2	2	3	2	9
E12	84	92	91	110	96	9
F1	6	16	11	8	10	14
F2	10	9	11	12	14	14
F3	14	21	15	10	18	14
F4	34	43	51	43	45	14
F5	51	53	60	53	54	14
F6	47	52	48	66	63	14
F7	758	812	813	795	759	11
F8	22	45	21	32	28	11
F9	17	34	54	39	70	11
F10	2	4	4	6	4	11
F11	13	8	19	15	14	11
F12	20	30	27	32	23	11
G1	140	156	157	142	164	16
G2	8	7	8	6	6	16
G3	9	11	10	10	11	16
G4	24	38	22	26	29	16
G5	111	117	117	147	171	16
G6	7	2	6	4	5	16
G7	75	125	126	159	137	8
G8	7	8	9	6	3	8
G9	7	6	9	9	10	8
G10	6	10	5	9	9	8
G11	76	77	90	89	67	8
G12	40	49	47	51	47	8
H1	91	106	121	123	128	12
H2	8	14	13	17	13	12
H3	50	79	69	87	108	12
H4	16	15	22	18	10	12
H5	19	12	27	20	32	12
H6	10	3	14	5	10	12
H7	8	2	9	8	8	9
H8	13	9	6	6	5	9
H9	5	5	6	3	3	9
H10	5	8	6	7	3	9
H11	60	108	132	164	170	9
H12	9	6	6	8	3	9
