Ponds	Reada	Readb	Readc	Readd	Reade	Control
A1	436	468	481	517	565	7
A2	395	410	357	406	400	7
A3	57	46	54	45	50	7
A4	43	67	44	46	52	7
A5	24	18	31	25	26	7
A6	136	136	127	130	128	7
A7	35	28	20	33	37	8
A8	31	26	33	18	23	8
A9	386	410	443	441	456	8
A10	103	100	111	106	118	8
A11	9	7	9	8	9	8
A12	29	24	33	19	27	8
B1	129	121	154	149	146	16
B2	77	84	111	92	94	16
B3	145	129	142	141	158	16
B4	162	226	190	188	201	16
B5	276	277	309	302	326	16
B6	243	284	275	271	257	16
B7	245	273	306	323	342	8
B8	253	257	297	301	273	8
B9	83	74	71	82	85	8
B10	78	61	77	62	58	8
B11	83	101	81	93	98	8
B12	127	108	142	140	125	8
C1	183	167	205	205	223	17
C2	54	82	71	91	81	17
C3	102	93	103	83	90	17
C4	36	36	44	25	40	17
C5	138	146	148	169	149	17
C6	76	83	84	77	84	17
C7	24	30	19	26	24	7
C8	161	145	148	161	159	7
C9	181	251	222	226	235	7
C10	201	216	179	182	191	7
C11	64	53	53	67	67	7
C12	103	123	127	110	106	7
D1	45	29	28	33	30	11
D2	80	89	86	86	100	11
D3	140	167	158	191	182	11
D4	115	135	101	121	115	11
D5	153	164	160	174	193	11
D6	116	128	141	140	168	11
D7	31	31	35	28	32	11
D8	170	185	174	206	186	11
D9	62	76	58	65	76	11
D10	71	87	78	75	73	11
D11	26	28	42	23	29	11
D12	74	55	49	80	66	11
E1	81	78	102	100	115	11
E2	74	70	82	72	82	11
E3	89	84	79	87	99	11
E4	124	116	143	146	130	11
E5	443	451	491	443	521	11
E6	282	289	288	277	303	11
E7	130	138	146	143	144	8
E8	155	157	159	157	150	8
E9	284	288	260	274	269	8
E10	440	447	451	427	452	8
E11	168	170	186	181	171	8
E12	52	67	67	58	52	8
F1	68	62	64	70	70	16
F2	78	94	105	98	97	16
F3	98	92	88	92	94	16
F4	63	59	49	67	57	16
F5	73	72	67	74	81	16
F6	140	165	171	161	146	16
F7	312	435	398	390	411	8
F8	76	53	74	64	82	8
F9	69	63	74	79	83	8
F10	72	60	72	72	77	8
F11	102	120	110	114	117	8
F12	119	116	147	130	105	8
G1	23	26	13	21	28	12
G2	156	135	145	141	142	12
G3	60	71	77	87	103	12
G4	91	81	93	93	101	12
G5	94	96	87	93	100	12
G6	64	80	102	106	122	12
G7	195	200	217	167	196	9
G8	99	95	108	105	123	9
G9	41	51	51	42	51	9
G10	85	79	76	85	86	9
G11	1297	1376	1413	1359	1374	9
G12	53	34	33	36	35	9
H1	589	605	563	640	611	14
H2	143	146	130	167	157	14
H3	41	56	50	34	40	14
H4	192	208	214	219	215	14
H5	753	851	878	957	1005	14
H6	80	84	110	90	114	14
H7	233	281	259	297	270	11
H8	582	569	606	601	562	11
H9	164	146	149	158	144	11
H10	111	142	133	127	115	11
H11	277	272	329	317	304	11
H12	181	222	228	301	294	11
