Ponds	Reada	Readb	Readc	Readd	Reade
A1	9	8	12	7	8
A2	7	6	6	9	8
A3	20	11	18	24	17
A4	19	13	16	10	14
A5	8	8	8	9	6
A6	14	19	23	23	18
Control_W_A_1_6	5	5	10	5	5
Control_W_A_7_12	5	3	2	4	4
A7	4	3	6	3	3
A8	4	2	4	3	2
A9	7	6	5	4	6
A10	2	5	3	8	3
A11	5	13	9	11	11
A12	5	4	5	5	3
B1	9	12	7	7	9
B2	5	15	8	11	11
B3	10	9	9	17	18
B4	7	8	4	9	7
B5	18	22	22	21	32
B6	136	152	148	147	149
Control_W_B_1_6	11	10	13	9	9
Control_W_B_7_12	7	7	5	2	9
B7	8	8	2	4	8
B8	4	4	2	4	3
B9	4	4	1	3	4
B10	25	27	17	30	38
B11	12	13	17	6	8
B12	157	217	215	209	216
C1	54	38	43	42	47
C2	61	74	79	79	81
C3	26	21	20	27	17
C4	13	11	12	11	17
C5	57	44	44	59	62
C6	6	10	8	6	13
Control_W_C_1_6	15	12	8	8	12
Control_W_C_7_12	10	6	5	3	3
C7	13	7	14	6	10
C8	3	6	4	6	4
C9	128	115	122	133	143
C10	32	64	63	51	61
C11	12	13	17	22	22
C12	36	39	41	35	30
D1	7	7	16	7	11
D2	6	9	8	11	7
D3	43	56	66	60	77
D4	20	20	21	20	15
D5	69	76	77	73	76
D6	53	31	55	54	63
Control_W_D_1_6	9	11	7	15	10
Control_W_D_7_12	4	7	9	2	7
D7	9	10	11	12	9
D8	23	36	35	24	24
D9	11	17	14	19	11
D10	36	25	33	36	37
D11	28	31	29	28	29
D12	76	72	107	88	88
E1	8	11	19	15	16
E2	36	50	44	45	48
E3	9	4	3	6	3
E4	7	11	9	12	7
E5	134	132	125	126	165
E6	17	19	13	23	22
Control_W_E_1_6	9	13	15	7	9
Control_W_E_7_12	6	9	6	6	7
E7	120	144	137	166	133
E8	23	38	38	27	35
E9	51	60	93	76	81
E10	70	84	94	89	102
E11	2	2	2	3	2
E12	84	92	91	110	96
F1	22	26	25	18	28
F2	8	10	14	16	12
F3	24	27	18	30	27
F4	13	8	10	20	18
F5	22	20	16	23	25
F6	13	19	26	22	25
Control_W_F_1_6	10	12	10	5	8
Control_W_F_7_12	11	10	8	5	4
F7	758	812	813	795	759
F8	22	45	21	32	28
F9	17	34	54	39	70
F10	2	4	4	6	4
F11	13	8	19	15	14
F12	20	30	27	32	23
G1	15	8	10	12	10
G2	21	40	31	37	34
G3	9	13	13	11	21
G4	27	14	14	21	23
G5	6	12	10	10	19
G6	41	32	57	44	42
Control_W_G_1_6	16	12	10	11	10
Control_W_G_7_12	5	3	6	8	2
G7	75	125	126	159	137
G8	7	8	9	6	3
G9	7	6	9	9	10
G10	6	10	5	9	9
G11	76	77	90	89	67
G12	40	49	47	51	47
H1	91	118	93	113	108
H2	32	36	29	36	31
H3	40	39	47	48	52
H4	26	43	25	36	32
H5	188	158	183	151	167
H6	33	32	32	30	31
Control_W_H_1_6	10	13	12	13	12
Control_W_H_7_12	5	4	9	3	4
H7	8	2	9	8	8
H8	13	9	6	6	5
H9	5	5	6	3	3
H10	5	8	6	7	3
H11	60	108	132	164	170
H12	9	6	6	8	3
