Ponds	Reada	Readb	Readc	Readd	Reade
A1	5	4	6	6	8
A2	24	42	48	46	48
A3	136	239	272	274	356
A4	40	60	66	55	60
A5	107	150	152	176	185
A6	64	113	111	123	117
ControlAe	4	4	2	3	3
B1	265	439	450	494	539
B2	424	524	595	648	638
B3	26	52	64	65	74
B4	19	19	25	23	18
B5	20	43	49	36	42
B6	74	133	118	145	138
ControlBe	4	3	2	4	4
C1	215	308	342	412	396
C2	46	53	64	90	82
C3	35	50	58	56	41
C4	34	42	57	48	49
C5	11	14	9	16	10
C6	33	42	33	39	39
ControlCe	4	2	2	3	7
D1	230	317	363	418	497
D2	54	57	58	47	64
D3	228	305	329	345	396
D4	13	12	15	20	16
D5	4	4	4	2	2
D6	52	82	76	76	87
ControlDe	5	4	2	7	5
E1	125	194	225	265	310
E2	122	176	180	193	188
E3	410	544	479	531	494
E4	57	92	86	90	83
E5	42	66	56	50	56
E6	34	58	120	210	197
ControlEe	2	2	5	5	4
F1	76	139	140	165	160
F2	95	94	99	110	122
F3	16	21	15	14	17
F4	340	654	734	786	824
F5	57	91	126	150	155
F6	294	428	437	448	465
ControlFe	3	3	6	3	3
G1	4	4	4	6	5
G2	16	15	19	18	14
G3	387	319	337	317	316
G4	196	284	300	327	314
G5	54	74	71	67	89
G6	6	2	7	4	3
ControlGe	3	2	5	4	4
H1	4	6	4	4	7
H2	253	286	297	280	317
H3	5	4	3	2	2
H4	46	74	70	60	71
H5	9	6	3	9	9
H6	8	7	6	6	2
ControlHe	3	2	3	4	6
