Ponds	Reada	Readb	Readc	Readd	Reade
A1	22	24	28	29	15
A2	61	64	88	76	95
A3	66	66	80	94	102
A4	24	38	31	40	30
A5	43	43	42	50	52
A6	40	43	61	48	64
ControlAc	4	3	3	3	3
B1	47	40	51	52	51
B2	37	53	52	42	46
B3	98	138	154	212	274
B4	81	73	63	92	79
B5	70	79	70	104	111
B6	80	61	69	89	81
ControlBc	2	3	7	9	2
C1	46	37	33	29	22
C2	85	91	126	132	137
C3	27	27	33	26	21
C4	41	26	44	40	33
C5	130	133	134	115	154
C6	30	31	36	49	37
ControlCc	7	2	3	3	3
D1	41	38	34	36	46
D2	27	29	32	24	25
D3	62	74	91	84	100
D4	46	72	48	58	69
D5	26	41	42	44	47
D6	47	56	58	50	72
ControlDc	3	2	3	6	4
E1	62	76	71	64	75
E2	40	29	27	39	33
E3	282	326	351	366	363
E4	64	74	82	90	92
E5	225	201	215	229	199
E6	36	42	42	32	57
ControlEc	3	4	3	3	3
F1	57	59	54	63	79
F2	64	78	74	76	97
F3	19	30	23	33	36
F4	27	30	23	52	37
F5	111	102	109	114	114
F6	72	81	112	113	108
ControlFc	6	3	3	2	3
G1	48	57	52	63	44
G2	90	127	89	105	108
G3	165	145	153	161	160
G4	38	43	43	45	57
G5	61	57	54	68	56
G6	68	73	69	70	79
ControlGc	3	3	2	3	6
H1	151	177	192	183	202
H2	69	63	76	56	81
H3	23	28	18	23	23
H4	50	41	64	59	51
H5	271	360	521	766	909
H6	26	31	38	22	17
ControlHc	2	3	2	2	3
