Ponds	Reada	Readb	Readc	Readd	Reade
A1	4	3	5	2	7
A2	5	4	4	5	11
A3	18	10	13	15	18
A4	7	6	7	6	9
A5	7	11	7	6	6
A6	18	25	21	19	19
ControlAa	3	4	3	3	5
B1	191	190	222	218	200
B2	11	8	8	14	11
B3	5	10	6	6	7
B4	11	14	7	13	7
B5	71	66	61	89	58
B6	33	38	46	47	53
ControlBa	4	4	2	4	4
C1	8	14	10	8	5
C2	11	17	20	19	27
C3	7	8	7	6	4
C4	10	4	3	9	6
C5	41	55	60	57	54
C6	20	19	14	23	26
ControlCa	4	3	2	3	2
D1	11	10	12	7	12
D2	11	8	14	16	9
D3	66	65	62	44	56
D4	7	13	12	16	15
D5	37	43	35	36	37
D6	58	45	67	66	49
ControlDa	4	2	3	2	4
E1	9	11	7	5	9
E2	5	8	10	5	11
E3	26	33	29	24	30
E4	7	10	5	8	6
E5	59	50	60	63	68
E6	47	43	31	65	51
ControlEa	4	3	5	2	7
F1	10	8	13	4	8
F2	5	3	3	9	4
F3	12	9	7	5	9
F4	5	8	9	10	4
F5	10	5	13	4	3
F6	9	6	11	14	4
ControlFa	5	4	6	1	5
G1	16	19	12	19	10
G2	12	16	11	15	13
G3	14	10	8	11	12
G4	12	11	17	9	12
G5	6	3	8	10	8
G6	7	6	11	13	5
ControlGa	7	5	2	3	3
H1	43	49	46	44	46
H2	5	10	5	5	7
H3	9	8	15	12	12
H4	22	15	14	12	16
H5	61	72	96	87	85
H6	11	12	10	16	12
ControlHa	4	7	5	4	4
