Ponds	Reada	Readb	Readc	Readd	Reade
A1	4	3	5	2	7
A2	5	4	4	5	11
A3	18	10	13	15	18
A4	7	6	7	6	9
A5	7	11	7	6	6
A6	18	25	21	19	19
ControlAa	3	4	3	3	5
B1	191	190	222	218	200
B2	11	8	8	14	11
B3	5	10	6	6	7
B4	11	14	7	13	7
B5	71	66	61	89	58
B6	33	38	46	47	53
ControlBa	4	4	2	4	4
C1	8	14	10	8	5
C2	11	17	20	19	27
C3	7	8	7	6	4
C4	10	4	3	9	6
C5	41	55	60	57	54
C6	20	19	14	23	26
ControlCa	4	3	2	3	2
D1	11	10	12	7	12
D2	11	8	14	16	9
D3	66	65	62	44	56
D4	7	13	12	16	15
D5	37	43	35	36	37
D6	58	45	67	66	49
ControlDa	4	2	3	2	4
E1	9	11	7	5	9
E2	5	8	10	5	11
E3	26	33	29	24	30
E4	7	10	5	8	6
E5	59	50	60	63	68
E6	47	43	31	65	51
ControlEa	4	3	5	2	7
F1	10	8	13	4	8
F2	5	3	3	9	4
F3	12	9	7	5	9
F4	5	8	9	10	4
F5	10	5	13	4	3
F6	9	6	11	14	4
ControlFa	5	4	6	1	5
G1	16	19	12	19	10
G2	12	16	11	15	13
G3	14	10	8	11	12
G4	12	11	17	9	12
G5	6	3	8	10	8
G6	7	6	11	13	5
ControlGa	7	5	2	3	3
H1	43	49	46	44	46
H2	5	10	5	5	7
H3	9	8	15	12	12
H4	22	15	14	12	16
H5	61	72	96	87	85
H6	11	12	10	16	12
ControlHa	4	7	5	4	4
ControlAb	8	5	2	2	2
A7	3	7	9	6	9
A8	11	6	13	6	11
A9	16	25	28	27	35
A10	12	16	16	10	20
A11	69	82	71	70	71
A12	12	15	10	9	9
ControlBb	6	5	7	6	2
B7	11	13	9	15	15
B8	27	22	9	12	17
B9	13	10	6	11	11
B10	8	6	10	5	3
B11	18	16	26	22	24
B12	11	22	15	16	18
ControlCb	5	4	5	6	4
C7	102	99	91	100	93
C8	136	132	100	113	101
C9	5	5	9	8	8
C10	19	18	20	22	24
C11	6	11	9	5	9
C12	12	12	22	19	23
ControlDb	6	9	5	3	2
D7	8	8	13	9	13
D8	9	15	8	11	8
D9	5	11	2	4	4
D10	15	15	15	15	13
D11	8	5	4	8	8
D12	10	12	10	11	8
ControlEb	4	5	2	4	4
E7	7	7	5	10	9
E8	8	10	6	8	10
E9	47	61	82	84	62
E10	11	8	13	11	15
E11	9	9	12	10	12
E12	8	4	6	5	12
ControlFb	5	4	4	3	7
F7	161	146	174	184	203
F8	11	6	6	6	8
F9	12	8	4	9	3
F10	19	13	14	11	10
F11	7	5	6	11	14
F12	17	8	12	10	24
ControlGb	2	6	5	5	2
G7	7	10	13	9	10
G8	23	15	16	17	23
G9	4	5	7	1	6
G10	49	34	53	62	49
G11	108	173	175	191	181
G12	4	7	11	8	7
ControlHb	4	3	1	5	4
H7	44	57	56	65	78
H8	38	46	46	64	50
H9	15	28	30	22	23
H10	8	11	13	15	17
H11	86	95	98	103	110
H12	14	13	14	18	13
A1	22	24	28	29	15
A2	61	64	88	76	95
A3	66	66	80	94	102
A4	24	38	31	40	30
A5	43	43	42	50	52
A6	40	43	61	48	64
ControlAc	4	3	3	3	3
B1	47	40	51	52	51
B2	37	53	52	42	46
B3	98	138	154	212	274
B4	81	73	63	92	79
B5	70	79	70	104	111
B6	80	61	69	89	81
ControlBc	2	3	7	9	2
C1	46	37	33	29	22
C2	85	91	126	132	137
C3	27	27	33	26	21
C4	41	26	44	40	33
C5	130	133	134	115	154
C6	30	31	36	49	37
ControlCc	7	2	3	3	3
D1	41	38	34	36	46
D2	27	29	32	24	25
D3	62	74	91	84	100
D4	46	72	48	58	69
D5	26	41	42	44	47
D6	47	56	58	50	72
ControlDc	3	2	3	6	4
E1	62	76	71	64	75
E2	40	29	27	39	33
E3	282	326	351	366	363
E4	64	74	82	90	92
E5	225	201	215	229	199
E6	36	42	42	32	57
ControlEc	3	4	3	3	3
F1	57	59	54	63	79
F2	64	78	74	76	97
F3	19	30	23	33	36
F4	27	30	23	52	37
F5	111	102	109	114	114
F6	72	81	112	113	108
ControlFc	6	3	3	2	3
G1	48	57	52	63	44
G2	90	127	89	105	108
G3	165	145	153	161	160
G4	38	43	43	45	57
G5	61	57	54	68	56
G6	68	73	69	70	79
ControlGc	3	3	2	3	6
H1	151	177	192	183	202
H2	69	63	76	56	81
H3	23	28	18	23	23
H4	50	41	64	59	51
H5	271	360	521	766	909
H6	26	31	38	22	17
ControlHc	2	3	2	2	3
ControlAd	5	5	4	4	3
A7	27	22	22	22	26
A8	49	51	40	43	40
A9	53	87	74	67	77
A10	47	42	40	42	57
A11	33	39	42	38	37
A12	21	26	30	21	32
ControlBd	5	4	1	6	5
B7	61	73	86	63	85
B8	81	76	88	82	84
B9	41	26	40	41	26
B10	28	13	22	25	16
B11	56	72	69	60	66
B12	42	47	42	37	39
ControlCd	4	3	4	4	6
C7	28	23	22	18	32
C8	58	51	42	40	47
C9	18	15	27	17	31
C10	69	90	94	81	86
C11	17	21	25	18	14
C12	58	81	167	252	270
ControlDd	5	3	5	5	5
D7	28	28	25	27	27
D8	76	93	85	102	83
D9	14	26	31	20	18
D10	22	27	37	33	32
D11	69	82	71	104	102
D12	52	47	46	56	55
ControlEd	3	2	3	4	1
E7	47	69	54	57	68
E8	103	105	112	100	117
E9	61	62	74	69	82
E10	163	171	151	193	201
E11	78	73	81	82	82
E12	38	32	45	50	44
ControlFd	5	5	2	3	4
F7	106	135	151	140	156
F8	56	76	50	49	68
F9	42	42	48	56	53
F10	57	58	59	69	55
F11	157	159	185	161	174
F12	49	60	54	55	56
ControlGd	7	3	4	2	5
G7	68	75	83	68	74
G8	33	42	48	52	69
G9	22	21	30	38	34
G10	65	64	64	71	53
G11	323	438	456	421	503
G12	52	57	48	46	59
ControlHd	7	3	3	5	2
H7	79	112	101	129	121
H8	72	108	136	122	125
H9	96	102	105	123	121
H10	41	39	72	55	65
H11	163	179	187	226	198
H12	84	96	106	120	130
A1	5	4	6	6	8
A2	24	42	48	46	48
A3	136	239	272	274	356
A4	40	60	66	55	60
A5	107	150	152	176	185
A6	64	113	111	123	117
ControlAe	4	4	2	3	3
B1	265	439	450	494	539
B2	424	524	595	648	638
B3	26	52	64	65	74
B4	19	19	25	23	18
B5	20	43	49	36	42
B6	74	133	118	145	138
ControlBe	4	3	2	4	4
C1	215	308	342	412	396
C2	46	53	64	90	82
C3	35	50	58	56	41
C4	34	42	57	48	49
C5	11	14	9	16	10
C6	33	42	33	39	39
ControlCe	4	2	2	3	7
D1	230	317	363	418	497
D2	54	57	58	47	64
D3	228	305	329	345	396
D4	13	12	15	20	16
D5	4	4	4	2	2
D6	52	82	76	76	87
ControlDe	5	4	2	7	5
E1	125	194	225	265	310
E2	122	176	180	193	188
E3	410	544	479	531	494
E4	57	92	86	90	83
E5	42	66	56	50	56
E6	34	58	120	210	197
ControlEe	2	2	5	5	4
F1	76	139	140	165	160
F2	95	94	99	110	122
F3	16	21	15	14	17
F4	340	654	734	786	824
F5	57	91	126	150	155
F6	294	428	437	448	465
ControlFe	3	3	6	3	3
G1	4	4	4	6	5
G2	16	15	19	18	14
G3	387	319	337	317	316
G4	196	284	300	327	314
G5	54	74	71	67	89
G6	6	2	7	4	3
ControlGe	3	2	5	4	4
H1	4	6	4	4	7
H2	253	286	297	280	317
H3	5	4	3	2	2
H4	46	74	70	60	71
H5	9	6	3	9	9
H6	8	7	6	6	2
ControlHe	3	2	3	4	6
ControlAf	7	6	3	5	4
A7	55	90	106	117	111
A8	9	7	5	11	4
A9	8	13	17	12	18
A10	53	94	116	117	111
A11	24	33	28	28	30
A12	7	8	10	17	9
ControlBf	4	4	6	3	8
B7	74	87	114	99	120
B8	17	17	14	31	19
B9	55	89	93	80	67
B10	10	14	15	12	10
B11	18	32	38	44	43
B12	57	68	76	78	68
ControlCf	6	2	3	4	7
C7	270	446	474	480	519
C8	26	46	44	71	55
C9	22	24	25	24	26
C10	12	15	17	15	19
C11	121	151	186	181	192
C12	282	385	438	458	507
ControlDf	4	5	4	2	4
D7	3	4	3	5	4
D8	10	6	9	6	8
D9	13	9	19	18	27
D10	4	3	7	7	2
D11	136	199	176	192	189
D12	6	3	5	5	7
ControlEf	7	4	2	5	6
E7	172	210	192	189	224
E8	9	7	19	8	9
E9	4	5	9	7	4
E10	59	105	113	117	141
E11	84	136	140	152	122
E12	12	9	11	13	20
ControlFf	7	4	8	5	7
F7	1991	2018	1952	1759	1679
F8	31	70	68	70	61
F9	67	100	87	80	81
F10	123	147	168	212	176
F11	31	24	24	27	26
F12	61	102	114	110	139
ControlGf	6	5	5	2	5
G7	269	391	402	423	421
G8	13	9	7	10	7
G9	664	858	929	963	825
G10	118	191	160	211	233
G11	23	22	19	38	33
G12	20	25	32	24	23
ControlHf	1	4	3	3	7
H7	13	11	14	9	11
H8	11	4	9	1	6
H9	54	81	88	93	113
H10	5	3	4	4	4
H11	10	16	15	15	18
H12	88	86	113	115	115
