Ponds	Group	Reada	Readb	Readc	Readd	Reade	Max	ATP	AdjustATP
A1	4_degree	5	4	6	6	8	8	5.906325675	5.906325675
A2	Control	24	42	48	46	48	48	64.96958242	64.96958242
A3	5_degree	136	239	272	274	356	356	519.7566594	519.7566594
A4	Urban_Rural	40	60	66	55	60	66	91.54804796	91.54804796
A5	1_degree	107	150	152	176	185	185	267.2612368	267.2612368
A6	4_degree	64	113	111	123	117	123	175.7131888	175.7131888
ControlAe	ATP_control	4	4	2	3	3	4	0	0
B1	1_degree	265	439	450	494	539	539	789.971059	789.971059
B2	Urban	424	524	595	648	638	648	950.9184336	950.9184336
B3	6_degree	26	52	64	65	74	74	103.3606993	103.3606993
B4	Control	19	19	25	23	18	25	31.00820979	31.00820979
B5	Rural	20	43	49	36	42	49	66.44616384	66.44616384
B6	7_degree	74	133	118	145	138	145	208.19798	208.19798
ControlBe	ATP_control	4	3	2	4	4	4	0	0
C1	Urban_Rural	215	308	342	412	396	412	598.0154746	598.0154746
C2	2_degree	46	53	64	90	82	90	122.5562578	122.5562578
C3	4_degree	35	50	58	56	41	58	75.30565235	75.30565235
C4	8_degree	34	42	57	48	49	57	73.82907093	73.82907093
C5	2_degree	11	14	9	16	10	16	13.28923277	13.28923277
C6	Rural	33	42	33	39	39	42	51.68034965	51.68034965
ControlCe	ATP_control	4	2	2	3	7	7	0	0
D1	Rural	230	317	363	418	497	497	723.5248952	723.5248952
D2	4_degree	54	57	58	47	64	64	84.16514087	84.16514087
D3	6_degree	228	305	329	345	396	396	574.3901719	574.3901719
D4	2_degree	13	12	15	20	16	20	19.19555844	19.19555844
D5	Urban	4	4	4	2	2	4	-4.429744256	0
D6	Control	52	82	76	76	87	87	118.1265135	118.1265135
ControlDe	ATP_control	5	4	2	7	5	7	0	0
E1	4_degree	125	194	225	265	310	310	450.3573327	450.3573327
E2	7_degree	122	176	180	193	188	193	277.5973067	277.5973067
E3	Urban	410	544	479	531	494	544	795.8773847	795.8773847
E4	4_degree	57	92	86	90	83	92	128.4625834	128.4625834
E5	3_degree	42	66	56	50	56	66	90.07146654	90.07146654
E6	Rural	34	58	120	210	197	210	302.6991908	302.6991908
ControlEe	ATP_control	2	2	5	5	4	5	0	0
F1	Rural	76	139	140	165	160	165	234.7764456	234.7764456
F2	Urban_Rural_4_degree	95	94	99	110	122	122	171.2834446	171.2834446
F3	4_degree	16	21	15	14	17	21	22.14872128	22.14872128
F4	Urban_Rural	340	654	734	786	824	824	1207.8436	1207.8436
F5	Control	57	91	126	150	155	155	220.0106314	220.0106314
F6	5_degree	294	428	437	448	465	465	677.7508712	677.7508712
ControlFe	ATP_control	3	3	6	3	3	6	0	0
G1	2_degree	4	4	4	6	5	6	1.476581419	1.476581419
G2	1_degree	16	15	19	18	14	19	20.67213986	20.67213986
G3	2_degree	387	319	337	317	316	387	564.0541019	564.0541019
G4	Urban_Rural_4_degree	196	284	300	327	314	327	475.4592168	475.4592168
G5	3_degree	54	74	71	67	89	89	124.0328392	124.0328392
G6	Urban_Rural	6	2	7	4	3	7	2.953162837	2.953162837
ControlGe	ATP_control	3	2	5	4	4	5	0	0
H1	Control	4	6	4	4	7	7	1.476581419	1.476581419
H2	Urban_Rural	253	286	297	280	317	317	459.2168212	459.2168212
H3	8_degree	5	4	3	2	2	5	-1.476581419	0
H4	4_degree	46	74	70	60	71	74	100.4075365	100.4075365
H5	2_degree	9	6	3	9	9	9	4.429744256	4.429744256
H6	Urban	8	7	6	6	2	8	2.953162837	2.953162837
ControlHe	ATP_control	3	2	3	4	6	6	0	0
ControlAf	ATP_control	7	6	3	5	4	7	0	0
A7	Control	55	90	106	117	111	117	162.4239561	162.4239561
A8	5_degree	9	7	5	11	4	11	5.906325675	5.906325675
A9	2_degree	8	13	17	12	18	18	16.24239561	16.24239561
A10	Urban	53	94	116	117	111	117	162.4239561	162.4239561
A11	Urban_Rural_4_degree	24	33	28	28	30	33	38.39111689	38.39111689
A12	Urban_Rural	7	8	10	17	9	17	14.76581419	14.76581419
ControlBf	ATP_control	4	4	6	3	8	8	0	0
B7	3_degree	74	87	114	99	120	120	165.3771189	165.3771189
B8	Control	17	17	14	31	19	31	33.96137263	33.96137263
B9	4_degree	55	89	93	80	67	93	125.5094206	125.5094206
B10	8_degree	10	14	15	12	10	15	10.33606993	10.33606993
B11	2_degree	18	32	38	44	43	44	53.15693107	53.15693107
B12	Control	57	68	76	78	68	78	103.3606993	103.3606993
ControlCf	ATP_control	6	2	3	4	7	7	0	0
C7	2_degree	270	446	474	480	519	519	756.0096864	756.0096864
C8	Urban_Rural_4_degree	26	46	44	71	55	71	94.5012108	94.5012108
C9	Urban	22	24	25	24	26	26	28.05504696	28.05504696
C10	4_degree	12	15	17	15	19	19	17.71897702	17.71897702
C11	7_degree	121	151	186	181	192	192	273.1675625	273.1675625
C12	Rural	282	385	438	458	507	507	738.2907093	738.2907093
ControlDf	ATP_control	4	5	4	2	4	5	0	0
D7	Urban_Rural_4_degree	3	4	3	5	4	5	0	0
D8	Urban	10	6	9	6	8	10	7.382907093	7.382907093
D9	6_degree	13	9	19	18	27	27	32.48479121	32.48479121
D10	Control	4	3	7	7	2	7	2.953162837	2.953162837
D11	Urban_Rural_4_degree	136	199	176	192	189	199	286.4567952	286.4567952
D12	4_degree	6	3	5	5	7	7	2.953162837	2.953162837
ControlEf	ATP_control	7	4	2	5	6	7	0	0
E7	4_degree	172	210	192	189	224	224	320.4181679	320.4181679
E8	Urban_Rural	9	7	19	8	9	19	17.71897702	17.71897702
E9	2_degree	4	5	9	7	4	9	2.953162837	2.953162837
E10	2_degree	59	105	113	117	141	141	197.8619101	197.8619101
E11	3_degree	84	136	140	152	122	152	214.1043057	214.1043057
E12	Urban	12	9	11	13	20	20	19.19555844	19.19555844
ControlFf	ATP_control	7	4	8	5	7	8	0	0
F7	8_degree	1991	2018	1952	1759	1679	2018	2967.928652	2967.928652
F8	2_degree	31	70	68	70	61	70	91.54804796	91.54804796
F9	Rural	67	100	87	80	81	100	135.8454905	135.8454905
F10	6_degree	123	147	168	212	176	212	301.2226094	301.2226094
F11	Control	31	24	24	27	26	31	33.96137263	33.96137263
F12	2_degree	61	102	114	110	139	139	193.4321658	193.4321658
ControlGf	ATP_control	6	5	5	2	5	6	0	0
G7	Rural	269	391	402	423	421	423	615.7344516	615.7344516
G8	Control	13	9	7	10	7	13	10.33606993	10.33606993
G9	Urban_Rural_4_degree	664	858	929	963	825	963	1413.088418	1413.088418
G10	2_degree	118	191	160	211	233	233	335.183982	335.183982
G11	5_degree	23	22	19	38	33	38	47.2506054	47.2506054
G12	Urban_Rural_4_degree	20	25	32	24	23	32	38.39111689	38.39111689
ControlHf	ATP_control	1	4	3	3	7	7	0	0
H7	7_degree	13	11	14	9	11	14	10.33606993	10.33606993
H8	4_degree	11	4	9	1	6	11	5.906325675	5.906325675
H9	1_degree	54	81	88	93	113	113	156.5176304	156.5176304
H10	Control	5	3	4	4	4	5	-2.953162837	0
H11	4_degree	10	16	15	15	18	18	16.24239561	16.24239561
H12	Urban_Rural	88	86	113	115	115	115	159.4707932	159.4707932
