Ponds	Group	Reada	Readb	Readc	Readd	Reade	Max	ATP	AdjustATP
A1	4_degree	22	24	28	29	15	29	0.738290709	0.738290709
A2	Control	61	64	88	76	95	95	2.687378182	2.687378182
A3	5_degree	66	66	80	94	102	102	2.894099581	2.894099581
A4	Urban_Rural	24	38	31	40	30	40	1.063138621	1.063138621
A5	1_degree	43	43	42	50	52	52	1.417518162	1.417518162
A6	4_degree	40	43	61	48	64	64	1.771897702	1.771897702
ControlAc	ATP_control	4	3	3	3	3	4	0	0
B1	1_degree	47	40	51	52	51	52	1.26986002	1.26986002
B2	Urban	37	53	52	42	46	53	1.299391648	1.299391648
B3	6_degree	98	138	154	212	274	274	7.825881519	7.825881519
B4	Control	81	73	63	92	79	92	2.451125155	2.451125155
B5	Rural	70	79	70	104	111	111	3.012226094	3.012226094
B6	7_degree	80	61	69	89	81	89	2.36253027	2.36253027
ControlBc	ATP_control	2	3	7	9	2	9	0	0
C1	Urban_Rural	46	37	33	29	22	46	1.151733507	1.151733507
C2	2_degree	85	91	126	132	137	137	3.839111689	3.839111689
C3	4_degree	27	27	33	26	21	33	0.767822338	0.767822338
C4	8_degree	41	26	44	40	33	44	1.09267025	1.09267025
C5	2_degree	130	133	134	115	154	154	4.341149371	4.341149371
C6	Rural	30	31	36	49	37	49	1.240328392	1.240328392
ControlCc	ATP_control	7	2	3	3	3	7	0	0
D1	Rural	41	38	34	36	46	46	1.181265135	1.181265135
D2	4_degree	27	29	32	24	25	32	0.767822338	0.767822338
D3	6_degree	62	74	91	84	100	100	2.775973067	2.775973067
D4	2_degree	46	72	48	58	69	72	1.949087473	1.949087473
D5	Urban	26	41	42	44	47	47	1.210796763	1.210796763
D6	Control	47	56	58	50	72	72	1.949087473	1.949087473
ControlDc	ATP_control	3	2	3	6	4	6	0	0
E1	4_degree	62	76	71	64	75	76	2.126277243	2.126277243
E2	7_degree	40	29	27	39	33	40	1.063138621	1.063138621
E3	Urban	282	326	351	366	363	366	10.69044947	10.69044947
E4	4_degree	64	74	82	90	92	92	2.598783297	2.598783297
E5	3_degree	225	201	215	229	199	229	6.644616384	6.644616384
E6	Rural	36	42	42	32	57	57	1.565176304	1.565176304
ControlEc	ATP_control	3	4	3	3	3	4	0	0
F1	Rural	57	59	54	63	79	79	2.155808871	2.155808871
F2	Urban_Rural_4_degree	64	78	74	76	97	97	2.687378182	2.687378182
F3	4_degree	19	30	23	33	36	36	0.885948851	0.885948851
F4	Urban_Rural	27	30	23	52	37	52	1.358454905	1.358454905
F5	Control	111	102	109	114	114	114	3.189415864	3.189415864
F6	5_degree	72	81	112	113	108	113	3.159884236	3.159884236
ControlFc	ATP_control	6	3	3	2	3	6	0	0
G1	2_degree	48	57	52	63	44	63	1.683302817	1.683302817
G2	1_degree	90	127	89	105	108	127	3.573327033	3.573327033
G3	2_degree	165	145	153	161	160	165	4.695528911	4.695528911
G4	Urban_Rural_4_degree	38	43	43	45	57	57	1.506113047	1.506113047
G5	3_degree	61	57	54	68	56	68	1.830960959	1.830960959
G6	Urban_Rural	68	73	69	70	79	79	2.155808871	2.155808871
ControlGc	ATP_control	3	3	2	3	6	6	0	0
H1	Control	151	177	192	183	202	202	5.876794046	5.876794046
H2	Urban_Rural	69	63	76	56	81	81	2.303467013	2.303467013
H3	8_degree	23	28	18	23	23	28	0.738290709	0.738290709
H4	4_degree	50	41	64	59	51	64	1.801429331	1.801429331
H5	2_degree	271	360	521	766	909	909	26.75565531	26.75565531
H6	Urban	26	31	38	22	17	38	1.033606993	1.033606993
ControlHc	ATP_control	2	3	2	2	3	3	0	0
ControlAd	ATP_control	5	5	4	4	3	5	0	0
A7	Control	27	22	22	22	26	27	0.649695824	0.649695824
A8	5_degree	49	51	40	43	40	51	1.358454905	1.358454905
A9	2_degree	53	87	74	67	77	87	2.421593527	2.421593527
A10	Urban	47	42	40	42	57	57	1.535644675	1.535644675
A11	Urban_Rural_4_degree	33	39	42	38	37	42	1.09267025	1.09267025
A12	Urban_Rural	21	26	30	21	32	32	0.797353966	0.797353966
ControlBd	ATP_control	5	4	1	6	5	6	0	0
B7	3_degree	61	73	86	63	85	86	2.36253027	2.36253027
B8	Control	81	76	88	82	84	88	2.421593527	2.421593527
B9	4_degree	41	26	40	41	26	41	1.033606993	1.033606993
B10	8_degree	28	13	22	25	16	28	0.649695824	0.649695824
B11	2_degree	56	72	69	60	66	72	1.949087473	1.949087473
B12	Control	42	47	42	37	39	47	1.210796763	1.210796763
ControlCd	ATP_control	4	3	4	4	6	6	0	0
C7	2_degree	28	23	22	18	32	32	0.767822338	0.767822338
C8	Urban_Rural_4_degree	58	51	42	40	47	58	1.535644675	1.535644675
C9	Urban	18	15	27	17	31	31	0.738290709	0.738290709
C10	4_degree	69	90	94	81	86	94	2.598783297	2.598783297
C11	7_degree	17	21	25	18	14	25	0.561100939	0.561100939
C12	Rural	58	81	167	252	270	270	7.796349891	7.796349891
ControlDd	ATP_control	5	3	5	5	5	5	0	0
D7	Urban_Rural_4_degree	28	28	25	27	27	28	0.679227453	0.679227453
D8	Urban	76	93	85	102	83	102	2.864567952	2.864567952
D9	6_degree	14	26	31	20	18	31	0.767822338	0.767822338
D10	Control	22	27	37	33	32	37	0.945012108	0.945012108
D11	Urban_Rural_4_degree	69	82	71	104	102	104	2.923631209	2.923631209
D12	4_degree	52	47	46	56	55	56	1.506113047	1.506113047
ControlEd	ATP_control	3	2	3	4	1	4	0	0
E7	4_degree	47	69	54	57	68	69	1.919555844	1.919555844
E8	Urban_Rural	103	105	112	100	117	117	3.337074006	3.337074006
E9	2_degree	61	62	74	69	82	82	2.303467013	2.303467013
E10	2_degree	163	171	151	193	201	201	5.81773079	5.81773079
E11	3_degree	78	73	81	82	82	82	2.303467013	2.303467013
E12	Urban	38	32	45	50	44	50	1.358454905	1.358454905
ControlFd	ATP_control	5	5	2	3	4	5	0	0
F7	8_degree	106	135	151	140	156	156	4.459275884	4.459275884
F8	2_degree	56	76	50	49	68	76	2.096745615	2.096745615
F9	Rural	42	42	48	56	53	56	1.506113047	1.506113047
F10	6_degree	57	58	59	69	55	69	1.890024216	1.890024216
F11	Control	157	159	185	161	174	185	5.315693107	5.315693107
F12	2_degree	49	60	54	55	56	60	1.624239561	1.624239561
ControlGd	ATP_control	7	3	4	2	5	7	0	0
G7	Rural	68	75	83	68	74	83	2.244403756	2.244403756
G8	Control	33	42	48	52	69	69	1.830960959	1.830960959
G9	Urban_Rural_4_degree	22	21	30	38	34	38	0.91548048	0.91548048
G10	2_degree	65	64	64	71	53	71	1.890024216	1.890024216
G11	5_degree	323	438	456	421	503	503	14.64768767	14.64768767
G12	Urban_Rural_4_degree	52	57	48	46	59	59	1.535644675	1.535644675
ControlHd	ATP_control	7	3	3	5	2	7	0	0
H7	7_degree	79	112	101	129	121	129	3.602858662	3.602858662
H8	4_degree	72	108	136	122	125	136	3.80958006	3.80958006
H9	1_degree	96	102	105	123	121	123	3.425668891	3.425668891
H10	Control	41	39	72	55	65	72	1.919555844	1.919555844
H11	4_degree	163	179	187	226	198	226	6.467426614	6.467426614
H12	Urban_Rural	84	96	106	120	130	130	3.63239029	3.63239029
