Ponds	Group	AdjustATP_W	AdjustATP_SW	AdjustATP_S	Temperature	Cell_count
A1	4_degree	0.059063257	0.738290709	5.906325675	4	27
A2	Control	0.17718977	2.687378182	64.96958242	0	70
A3	5_degree	0.383911169	2.894099581	519.7566594	5	140
A4	Urban_Rural	0.118126513	1.063138621	91.54804796		24
A5	1_degree	0.17718977	1.417518162	267.2612368	1	23
A6	4_degree	0.590632567	1.771897702	175.7131888	4	526
A7	Control	0.029531628	0.649695824	162.4239561	0	33
A8	5_degree	0.147658142	1.358454905	5.906325675	5	31
A9	2_degree	0.797353966	2.421593527	16.24239561	2	621
A10	Urban	0.35437954	1.535644675	162.4239561		20
A11	Urban_Rural_4_degree	2.1853405	1.09267025	38.39111689		29
A12	Urban_Rural	0.206721399	0.797353966	14.76581419		36
B1	1_degree	6.437894986	1.26986002	789.971059	1	29
B2	Urban	0.295316284	1.299391648	950.9184336		26
B3	6_degree	0.17718977	7.825881519	103.3606993	6	70
B4	Control	0.295316284	2.451125155	31.00820979	0	12
B5	Rural	2.510188412	3.012226094	66.44616384		37
B6	7_degree	1.44704979	2.36253027	208.19798	7	185
B7	3_degree	0.236253027	2.36253027	165.3771189	3	260
B8	Control	0.590632567	2.421593527	33.96137263	0	81
B9	4_degree	0.17718977	1.033606993	125.5094206	4	29
B10	8_degree	0.088594885	0.649695824	10.33606993	8	23
B11	2_degree	0.561100939	1.949087473	53.15693107	2	756
B12	Control	0.442974426	1.210796763	103.3606993	0	860
C1	Urban_Rural	0.295316284	1.151733507	598.0154746		72
C2	2_degree	0.679227453	3.839111689	122.5562578	2	2994
C3	4_degree	0.118126513	0.767822338	75.30565235	4	47
C4	8_degree	0.17718977	1.09267025	73.82907093	8	20
C5	2_degree	1.653771189	4.341149371	13.28923277	2	252
C6	Rural	0.649695824	1.240328392	51.68034965		12
C7	2_degree	2.835036324	0.767822338	756.0096864	2	15
C8	Urban_Rural_4_degree	3.839111689	1.535644675	94.5012108		15
C9	Urban	0.088594885	0.738290709	28.05504696		44
C10	4_degree	0.531569311	2.598783297	17.71897702	4	166
C11	7_degree	0.147658142	0.561100939	273.1675625	7	36
C12	Rural	0.502037682	7.796349891	738.2907093		65
D1	Rural	0.236253027	1.181265135	723.5248952		24
D2	4_degree	0.35437954	0.767822338	84.16514087	4	312
D3	6_degree	1.830960959	2.775973067	574.3901719	6	1239
D4	2_degree	0.35437954	1.949087473	19.19555844	2	73
D5	Urban	1.151733507	1.210796763	0		150
D6	Control	1.860492588	1.949087473	118.1265135	0	129
D7	Urban_Rural_4_degree	0.118126513	0.679227453	0		39
D8	Urban	0.17718977	2.864567952	7.382907093		33
D9	6_degree	0.059063257	0.767822338	32.48479121	6	24
D10	Control	0.17718977	0.945012108	2.953162837	0	41
D11	Urban_Rural_4_degree	0	2.923631209	286.4567952		20
D12	4_degree	0.088594885	1.506113047	2.953162837	4	11
E1	4_degree	0.118126513	2.126277243	450.3573327	4	62
E2	7_degree	0.118126513	1.063138621	277.5973067	7	16
E3	Urban	0.767822338	10.69044947	795.8773847		31
E4	4_degree	0.088594885	2.598783297	128.4625834	4	16
E5	3_degree	1.801429331	6.644616384	90.07146654	3	405
E6	Rural	1.712834446	1.565176304	302.6991908		25
E7	4_degree	0.147658142	1.919555844	320.4181679	4	52
E8	Urban_Rural	0.147658142	3.337074006	17.71897702		29
E9	2_degree	2.332998642	2.303467013	2.953162837	2	185
E10	2_degree	0.295316284	5.81773079	197.8619101	2	27
E11	3_degree	0.206721399	2.303467013	214.1043057	3	108
E12	Urban	0.206721399	1.358454905	19.19555844		28
F1	Rural	0.206721399	2.155808871	234.7764456		39
F2	Urban_Rural_4_degree	0.088594885	2.687378182	171.2834446		18
F3	4_degree	0.17718977	0.885948851	22.14872128	4	71
F4	Urban_Rural	0.118126513	1.358454905	1207.8436		12
F5	Control	0.206721399	3.189415864	220.0106314	0	35
F6	5_degree	0.236253027	3.159884236	677.7508712	5	9
F7	8_degree	5.788199161	4.459275884	2967.928652	8	467
F8	2_degree	0.118126513	2.096745615	91.54804796	2	106
F9	Rural	0.147658142	1.506113047	135.8454905		30
F10	6_degree	0.35437954	1.890024216	301.2226094	6	25
F11	Control	0.206721399	5.315693107	33.96137263	0	159
F12	2_degree	0.502037682	1.624239561	193.4321658	2	301
G1	2_degree	0.35437954	1.683302817	1.476581419	2	14
G2	1_degree	0.265784655	3.573327033	20.67213986	1	135
G3	2_degree	0.206721399	4.695528911	564.0541019	2	34
