Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	5.906325675	Pre	1.776023925	4
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	64.96958242	Pre	4.173919198	0
A3	5°„C	5°„C	NONE		No Ammonia	519.7566594	Pre	6.253360739	5
A4	UR+RU	0°„C	NONE	UR+RU	No Ammonia	91.54804796	Pre	4.516863949	0
A5	1°„C	1°„C	NONE		No Ammonia	267.2612368	Pre	5.588226595	1
A6	4°„C	4°„C	NONE	4°„C	Ammonia	175.7131888	Pre	5.168853057	4
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	162.4239561	Pre	5.09020993	0
A8	5°„C	5°„C	NONE		No Ammonia	5.906325675	Pre	1.776023925	5
A9	2°„C	2°„C	NONE		Ammonia	16.24239561	Pre	2.787624837	2
A10	UR	0°„C	NONE	UR	No Ammonia	162.4239561	Pre	5.09020993	0
A11	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	38.39111689	Pre	3.647826102	4
A12	UR+RU	0°„C	NONE	UR+RU	No Ammonia	14.76581419	Pre	2.692314657	0
B1	1°„C	1°„C	NONE		No Ammonia	789.971059	Pre	6.671996311	1
B2	UR	0°„C	NONE	UR	Ammonia	950.9184336	Pre	6.85742829	0
B3	6°„C	6°„C	NONE		No Ammonia	103.3606993	Pre	4.638224806	6
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	31.00820979	Pre	3.434252001	0
B5	RU	0°„C	NONE	RU	No Ammonia	66.44616384	Pre	4.196392053	0
B6	7°„C	7°„C	NONE		No Ammonia	208.19798	Pre	5.338489454	7
B7	3°„C	3°„C	NONE		No Ammonia	165.3771189	Pre	5.108228435	3
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	33.96137263	Pre	3.52522378	0
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	125.5094206	Pre	4.83238082	4
B10	8°„C	8°„C	NONE		No Ammonia	10.33606993	Pre	2.335639713	8
B11	2°„C	2°„C	NONE		Ammonia	53.15693107	Pre	3.973248502	2
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	103.3606993	Pre	4.638224806	0
C1	UR+RU	0°„C	NONE	UR+RU	Ammonia	598.0154746	Pre	6.393616631	0
C2	2°„C	2°„C	NONE		Ammonia	122.5562578	Pre	4.808570172	2
