Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	5.906325675	Pre	4	1.77602392487625
A2	CONTROL	CONTROL	CONTROL	Ammonia	64.96958242	Pre	0	4.17391919759766
A3	5°„C	5°„C		No Ammonia	519.7566594	Pre	5	6.25336073935445
A5	1°„C	1°„C		No Ammonia	267.2612368	Pre	1	5.58822659504557
A6	4°„C	4°„C	4°„C	Ammonia	175.7131888	Pre	4	5.16885305669004
A7	CONTROL	CONTROL	CONTROL	No Ammonia	162.4239561	Pre	0	5.09020992977965
A8	5°„C	5°„C		No Ammonia	5.906325675	Pre	5	1.77602392487625
A9	2°„C	2°„C		Ammonia	16.24239561	Pre	2	2.7876248367856
B1	1°„C	1°„C		No Ammonia	789.971059	Pre	1	6.6719963106128
B3	6°„C	6°„C		No Ammonia	103.3606993	Pre	6	4.63822480568478
B4	CONTROL	CONTROL	CONTROL	No Ammonia	31.00820979	Pre	0	3.43425200135884
B6	7°„C	7°„C		No Ammonia	208.19798	Pre	7	5.33848945392439
B7	3°„C	3°„C		No Ammonia	165.3771189	Pre	3	5.10822843505145
B8	CONTROL	CONTROL	CONTROL	Ammonia	33.96137263	Pre	0	3.5252237796487
B9	4°„C	4°„C	4°„C	No Ammonia	125.5094206	Pre	4	4.83238082029647
B10	8°„C	8°„C		No Ammonia	10.33606993	Pre	8	2.33563971269073
B11	2°„C	2°„C		Ammonia	53.15693107	Pre	2	3.9732485021184
B12	CONTROL	CONTROL	CONTROL	Ammonia	103.3606993	Pre	0	4.63822480568478
C2	2°„C	2°„C		Ammonia	122.5562578	Pre	2	4.80857017190993
C3	4°„C	4°„C	4°„C	No Ammonia	75.30565235	Pre	4	4.32155519639769
C4	8°„C	8°„C		Ammonia	73.82907093	Pre	8	4.30175256908292
C5	2°„C	2°„C		Ammonia	13.28923277	Pre	2	2.58695414118664
C7	2°„C	2°„C		No Ammonia	756.0096864	Pre	2	6.62805418879586
C10	4°„C	4°„C	4°„C	Ammonia	17.71897702	Pre	4	2.87463621326217
C11	7°„C	7°„C		No Ammonia	273.1675625	Pre	7	5.61008538894908
D2	4°„C	4°„C	4°„C	Ammonia	84.16514087	Pre	4	4.43278083160576
D3	6°„C	6°„C		Ammonia	574.3901719	Pre	6	6.35330890738568
D4	2°„C	2°„C		Ammonia	19.19555844	Pre	2	2.95467892102254
D6	CONTROL	CONTROL	CONTROL	No Ammonia	118.1265135	Pre	0	4.77175619843024
D9	6°„C	6°„C		No Ammonia	32.48479121	Pre	6	3.48077201703771
D10	CONTROL	CONTROL	CONTROL	Ammonia	2.953162837	Pre	0	1.08287674414699
D12	4°„C	4°„C	4°„C	No Ammonia	2.953162837	Pre	4	1.08287674414699
E1	4°„C	4°„C	4°„C	No Ammonia	450.3573327	Pre	4	6.11004134032213
E2	7°„C	7°„C		Ammonia	277.5973067	Pre	7	5.62617152649625
E4	4°„C	4°„C	4°„C	Ammonia	128.4625834	Pre	4	4.85563768216768
E5	3°„C	3°„C		Ammonia	90.07146654	Pre	3	4.50060342788803
E7	4°„C	4°„C	4°„C	Ammonia	320.4181679	Pre	4	5.76962691739434
E9	2°„C	2°„C		Ammonia	2.953162837	Pre	2	1.08287674414699
E10	2°„C	2°„C		No Ammonia	197.8619101	Pre	2	5.28756936364409
E11	3°„C	3°„C		Ammonia	214.1043057	Pre	3	5.36646330608936
F3	4°„C	4°„C	4°„C	Ammonia	22.14872128	Pre	4	3.09777976480213
F5	CONTROL	CONTROL	CONTROL	No Ammonia	220.0106314	Pre	0	5.39367586973022
F6	5°„C	5°„C		Ammonia	677.7508712	Pre	5	6.51877977380768
F7	8°„C	8°„C		Ammonia	2967.928652	Pre	8	7.99561956491477
F8	2°„C	2°„C		No Ammonia	91.54804796	Pre	2	4.51686394877414
F10	6°„C	6°„C		Ammonia	301.2226094	Pre	6	5.70784955751758
F11	CONTROL	CONTROL	CONTROL	No Ammonia	33.96137263	Pre	0	3.5252237796487
F12	2°„C	2°„C		Ammonia	193.4321658	Pre	2	5.26492688666671
G1	2°„C	2°„C		No Ammonia	1.476581419	Pre	2	0.389729563925666
G2	1°„C	1°„C		Ammonia	20.67213986	Pre	1	3.02878689325068
G3	2°„C	2°„C		No Ammonia	564.0541019	Pre	2	6.33515017225213
G5	3°„C	3°„C		No Ammonia	124.0328392	Pre	3	4.82054636280123
G8	CONTROL	CONTROL	CONTROL	No Ammonia	10.33606993	Pre	0	2.33563971269073
G10	2°„C	2°„C		No Ammonia	335.183982	Pre	2	5.81467958106994
G11	5°„C	5°„C		Ammonia	47.2506054	Pre	5	3.85546546655608
H1	CONTROL	CONTROL	CONTROL	Ammonia	1.476581419	Pre	0	0.389729563925666
H3	8°„C	8°„C		No Ammonia	0	Pre	8	-Inf
H4	4°„C	4°„C	4°„C	No Ammonia	100.4075365	Pre	4	4.60923726918145
H5	2°„C	2°„C		No Ammonia	4.429744256	Pre	2	1.48834185236803
H7	7°„C	7°„C		Ammonia	10.33606993	Pre	7	2.33563971269073
H8	4°„C	4°„C	4°„C	Ammonia	5.906325675	Pre	4	1.77602392487625
H9	1°„C	1°„C		Ammonia	156.5176304	Pre	1	5.05316865794829
H10	CONTROL	CONTROL	CONTROL	Ammonia	0	Pre	0	-Inf
H11	4°„C	4°„C	4°„C	No Ammonia	16.24239561	Pre	4	2.7876248367856
A1	4°„C	4°„C	4°„C	No Ammonia	825.4090131	Post	4	6.71587903693417
A2	CONTROL	CONTROL	CONTROL	Ammonia	590.6325675	Post	0	6.38119411086434
A3	5°„C	5°„C		No Ammonia	70.8759081	Post	5	4.26093057466425
A5	1°„C	1°„C		No Ammonia	36.91453547	Post	1	3.60860538865842
A6	4°„C	4°„C	4°„C	Ammonia	183.0960959	Post	4	5.21001112922485
A7	CONTROL	CONTROL	CONTROL	No Ammonia	47.2506054	Post	0	3.85546546655608
A8	5°„C	5°„C		No Ammonia	41.34427972	Post	5	3.72193407381062
A9	2°„C	2°„C		Ammonia	665.9382198	Post	2	6.50119690317457
B1	1°„C	1°„C		No Ammonia	202.2916544	Post	1	5.30971048973896
B3	6°„C	6°„C		No Ammonia	208.19798	Post	6	5.33848945392439
B4	CONTROL	CONTROL	CONTROL	No Ammonia	271.690981	Post	0	5.60466532118131
B6	7°„C	7°„C		No Ammonia	380.958006	Post	7	5.94268914857954
B7	3°„C	3°„C		No Ammonia	491.7016124	Post	3	6.19787205364782
B8	CONTROL	CONTROL	CONTROL	Ammonia	431.1617743	Post	0	6.06648336608262
B9	4°„C	4°„C	4°„C	No Ammonia	112.2201878	Post	4	4.72046290381991
B10	8°„C	8°„C		No Ammonia	100.4075365	Post	8	4.60923726918145
B11	2°„C	2°„C		Ammonia	131.4157463	Post	2	4.87836593372629
B12	CONTROL	CONTROL	CONTROL	Ammonia	307.1289351	Post	0	5.72726764345767
C2	2°„C	2°„C		Ammonia	103.3606993	Post	2	4.63822480568478
C3	4°„C	4°„C	4°„C	No Ammonia	121.0796763	Post	4	4.7964488107109
C4	8°„C	8°„C		Ammonia	33.96137263	Post	8	3.5252237796487
C5	2°„C	2°„C		Ammonia	218.53405	Post	2	5.38694183763487
C7	2°„C	2°„C		No Ammonia	23.6253027	Post	2	3.16231828599614
C10	4°„C	4°„C	4°„C	Ammonia	267.2612368	Post	4	5.58822659504557
C11	7°„C	7°„C		No Ammonia	84.16514087	Post	7	4.43278083160576
D2	4°„C	4°„C	4°„C	Ammonia	132.8923277	Post	4	4.88953923418068
D3	6°„C	6°„C		Ammonia	267.2612368	Post	6	5.58822659504557
D4	2°„C	2°„C		Ammonia	163.9005375	Post	2	5.09925976518309
D6	CONTROL	CONTROL	CONTROL	No Ammonia	233.2998642	Post	0	5.45232459694406
D9	6°„C	6°„C		No Ammonia	98.93095505	Post	6	4.59442218308415
D10	CONTROL	CONTROL	CONTROL	Ammonia	101.8841179	Post	0	4.62383606841496
D12	4°„C	4°„C	4°„C	No Ammonia	104.8372807	Post	4	4.65240944049959
E1	4°„C	4°„C	4°„C	No Ammonia	831.3153387	Post	4	6.72300919182838
E2	7°„C	7°„C		Ammonia	95.97779222	Post	7	4.56411683366502
E4	4°„C	4°„C	4°„C	Ammonia	190.479003	Post	4	5.24954196801959
E5	3°„C	3°„C		Ammonia	744.197035	Post	3	6.61230583176054
E7	4°„C	4°„C	4°„C	Ammonia	202.2916544	Post	4	5.30971048973896
E9	2°„C	2°„C		Ammonia	391.294076	Post	2	5.96945938982244
E10	2°„C	2°„C		No Ammonia	654.1255685	Post	2	6.48329933379194
E11	3°„C	3°„C		Ammonia	261.3549111	Post	3	5.56587929625844
F3	4°„C	4°„C	4°„C	Ammonia	118.1265135	Post	4	4.77175619843024
F5	CONTROL	CONTROL	CONTROL	No Ammonia	98.93095505	Post	0	4.59442218308415
F6	5°„C	5°„C		Ammonia	231.8232827	Post	5	5.44597536891594
F7	8°„C	8°„C		Ammonia	1182.741716	Post	8	7.07559051047066
F8	2°„C	2°„C		No Ammonia	104.8372807	Post	2	4.65240944049959
F10	6°„C	6°„C		Ammonia	97.45437363	Post	6	4.57938430570582
F11	CONTROL	CONTROL	CONTROL	No Ammonia	156.5176304	Post	0	5.05316865794829
F12	2°„C	2°„C		Ammonia	200.8150729	Post	2	5.30238444924342
G1	2°„C	2°„C		No Ammonia	206.7213986	Post	2	5.33137198624472
G2	1°„C	1°„C		Ammonia	190.479003	Post	1	5.24954196801959
G3	2°„C	2°„C		No Ammonia	128.4625834	Post	2	4.85563768216768
G5	3°„C	3°„C		No Ammonia	149.1347233	Post	3	5.00485008063952
G8	CONTROL	CONTROL	CONTROL	No Ammonia	169.8068632	Post	0	5.13466169237725
G10	2°„C	2°„C		No Ammonia	115.1733507	Post	2	4.74643839077154
G11	5°„C	5°„C		Ammonia	2074.596893	Post	5	7.63752214535851
H1	CONTROL	CONTROL	CONTROL	Ammonia	927.2931309	Post	0	6.83226973014367
H3	8°„C	8°„C		No Ammonia	98.93095505	Post	8	4.59442218308415
H4	4°„C	4°„C	4°„C	No Ammonia	305.6523537	Post	4	5.72244835708307
H5	2°„C	2°„C		No Ammonia	1466.245349	Post	2	7.29046022792514
H7	7°„C	7°„C		Ammonia	425.2554486	Post	7	6.0526900438923
H8	4°„C	4°„C	4°„C	Ammonia	881.519107	Post	4	6.78164667715605
H9	1°„C	1°„C		Ammonia	220.0106314	Post	1	5.39367586973022
H10	CONTROL	CONTROL	CONTROL	Ammonia	183.0960959	Post	0	5.21001112922485
H11	4°„C	4°„C	4°„C	No Ammonia	472.506054	Post	4	6.15805055955013
