Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	5.906325675	Pre	1.77602392487625
A2	CONTROL	CONTROL	CONTROL	Ammonia	64.96958242	Pre	4.17391919759766
A4	UR+RU		UR+RU	No Ammonia	91.54804796	Pre	4.51686394877414
A6	4°„C	4°„C	4°„C	Ammonia	175.7131888	Pre	5.16885305669004
A7	CONTROL	CONTROL	CONTROL	No Ammonia	162.4239561	Pre	5.09020992977965
A10	UR		UR	No Ammonia	162.4239561	Pre	5.09020992977965
A11	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	38.39111689	Pre	3.64782610184296
A12	UR+RU		UR+RU	No Ammonia	14.76581419	Pre	2.69231465691971
B2	UR		UR	Ammonia	950.9184336	Pre	6.85742828978184
B4	CONTROL	CONTROL	CONTROL	No Ammonia	31.00820979	Pre	3.43425200135884
B5	RU		RU	No Ammonia	66.44616384	Pre	4.19639205347024
B8	CONTROL	CONTROL	CONTROL	Ammonia	33.96137263	Pre	3.5252237796487
B9	4°„C	4°„C	4°„C	No Ammonia	125.5094206	Pre	4.83238082029647
B12	CONTROL	CONTROL	CONTROL	Ammonia	103.3606993	Pre	4.63822480568478
C1	UR+RU		UR+RU	Ammonia	598.0154746	Pre	6.39361663087335
C3	4°„C	4°„C	4°„C	No Ammonia	75.30565235	Pre	4.32155519639769
C6	RU		RU	No Ammonia	51.68034965	Pre	3.94507762512483
C8	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	94.5012108	Pre	4.54861264711603
C9	UR		UR	No Ammonia	28.05504696	Pre	3.33416854305646
C10	4°„C	4°„C	4°„C	Ammonia	17.71897702	Pre	2.87463621326217
C12	RU		RU	Ammonia	738.2907093	Pre	6.60433766207696
D1	RU		RU	No Ammonia	723.5248952	Pre	6.58413495487831
D2	4°„C	4°„C	4°„C	Ammonia	84.16514087	Pre	4.43278083160576
D5	UR		UR	Ammonia	0	Pre	-Inf
D6	CONTROL	CONTROL	CONTROL	No Ammonia	118.1265135	Pre	4.77175619843024
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0	Pre	-Inf
D8	UR		UR	No Ammonia	7.382907093	Pre	1.99916747608887
D10	CONTROL	CONTROL	CONTROL	Ammonia	2.953162837	Pre	1.08287674414699
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	286.4567952	Pre	5.65758772268877
D12	4°„C	4°„C	4°„C	No Ammonia	2.953162837	Pre	1.08287674414699
E1	4°„C	4°„C	4°„C	No Ammonia	450.3573327	Pre	6.11004134032213
E3	UR		UR	No Ammonia	795.8773847	Pre	6.6794451346575
E4	4°„C	4°„C	4°„C	Ammonia	128.4625834	Pre	4.85563768216768
E6	RU		RU	Ammonia	302.6991908	Pre	5.71273954275023
E7	4°„C	4°„C	4°„C	Ammonia	320.4181679	Pre	5.76962691739434
E8	UR+RU		UR+RU	Ammonia	17.71897702	Pre	2.87463621326217
E12	UR		UR	Ammonia	19.19555844	Pre	2.95467892102254
F1	RU		RU	Ammonia	234.7764456	Pre	5.45863376605645
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	171.2834446	Pre	5.14331975500868
F3	4°„C	4°„C	4°„C	Ammonia	22.14872128	Pre	3.09777976480213
F4	UR+RU		UR+RU	Ammonia	1207.8436	Pre	7.0965918999141
F5	CONTROL	CONTROL	CONTROL	No Ammonia	220.0106314	Pre	5.39367586973022
