Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	0.738290709	Pre	-0.303417617	4
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	2.687378182	Pre	0.988566065	0
A3	5°„C	5°„C	NONE		No Ammonia	2.894099581	Pre	1.062674037	5
A4	UR+RU	0°„C	NONE	UR+RU	No Ammonia	1.063138621	Pre	0.061225496	0
A5	1°„C	1°„C	NONE		No Ammonia	1.417518162	Pre	0.348907569	1
A6	4°„C	4°„C	NONE	4°„C	Ammonia	1.771897702	Pre	0.57205112	4
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.649695824	Pre	-0.431250989	0
A8	5°„C	5°„C	NONE		No Ammonia	1.358454905	Pre	0.306347955	5
A9	2°„C	2°„C	NONE		Ammonia	2.421593527	Pre	0.884425806	2
A10	UR	0°„C	NONE	UR	No Ammonia	1.535644675	Pre	0.428950277	0
A11	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	1.09267025	Pre	0.088624471	4
A12	UR+RU	0°„C	NONE	UR+RU	No Ammonia	0.797353966	Pre	-0.226456576	0
B1	1°„C	1°„C	NONE		No Ammonia	1.26986002	Pre	0.238906674	1
B2	UR	0°„C	NONE	UR	Ammonia	1.299391648	Pre	0.261896192	0
B3	6°„C	6°„C	NONE		No Ammonia	7.825881519	Pre	2.057436384	6
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	2.451125155	Pre	0.896547166	0
B5	RU	0°„C	NONE	RU	No Ammonia	3.012226094	Pre	1.102679372	0
B6	7°„C	7°„C	NONE		No Ammonia	2.36253027	Pre	0.859733193	7
B7	3°„C	3°„C	NONE		No Ammonia	2.36253027	Pre	0.859733193	3
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	2.421593527	Pre	0.884425806	0
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	1.033606993	Pre	0.03305462	4
B10	8°„C	8°„C	NONE		No Ammonia	0.649695824	Pre	-0.431250989	8
B11	2°„C	2°„C	NONE		Ammonia	1.949087473	Pre	0.6673613	2
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	1.210796763	Pre	0.191278625	0
C1	UR+RU	0°„C	NONE	UR+RU	Ammonia	1.151733507	Pre	0.141268205	0
