Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	0.738290709	Pre	4	-0.303417617311519
A2	CONTROL	CONTROL	CONTROL	Ammonia	2.687378182	Pre	0	0.988566064798546
A3	5°„C	5°„C		No Ammonia	2.894099581	Pre	5	1.06267403708516
A5	1°„C	1°„C		No Ammonia	1.417518162	Pre	1	0.348907569236101
A6	4°„C	4°„C	4°„C	Ammonia	1.771897702	Pre	4	0.572051120268127
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.649695824	Pre	0	-0.43125098869827
A8	5°„C	5°„C		No Ammonia	1.358454905	Pre	5	0.306347954633272
A9	2°„C	2°„C		Ammonia	2.421593527	Pre	2	0.884425805695701
B1	1°„C	1°„C		No Ammonia	1.26986002	Pre	1	0.238906673923336
B3	6°„C	6°„C		No Ammonia	7.825881519	Pre	6	2.05743638426651
B4	CONTROL	CONTROL	CONTROL	No Ammonia	2.451125155	Pre	0	0.896547166073811
B6	7°„C	7°„C		No Ammonia	2.36253027	Pre	7	0.859733193002092
B7	3°„C	3°„C		No Ammonia	2.36253027	Pre	3	0.859733193002092
B8	CONTROL	CONTROL	CONTROL	Ammonia	2.421593527	Pre	0	0.884425805695701
B9	4°„C	4°„C	4°„C	No Ammonia	1.033606993	Pre	4	0.0330546196966879
B10	8°„C	8°„C		No Ammonia	0.649695824	Pre	8	-0.43125098869827
B11	2°„C	2°„C		Ammonia	1.949087473	Pre	2	0.667361300482901
B12	CONTROL	CONTROL	CONTROL	Ammonia	1.210796763	Pre	0	0.191278624722804
C2	2°„C	2°„C		Ammonia	3.839111689	Pre	2	1.34524100884891
C3	4°„C	4°„C	4°„C	No Ammonia	0.767822338	Pre	4	-0.264196903324712
C4	8°„C	8°„C		Ammonia	1.09267025	Pre	8	0.0886244710868331
C5	2°„C	2°„C		Ammonia	4.341149371	Pre	2	1.46813914507815
C7	2°„C	2°„C		No Ammonia	0.767822338	Pre	2	-0.264196903324712
C10	4°„C	4°„C	4°„C	Ammonia	2.598783297	Pre	4	0.955043372806416
C11	7°„C	7°„C		No Ammonia	0.561100939	Pre	7	-0.577854462728126
D2	4°„C	4°„C	4°„C	Ammonia	0.767822338	Pre	4	-0.264196903324712
D3	6°„C	6°„C		Ammonia	2.775973067	Pre	6	1.02100134050816
D4	2°„C	2°„C		Ammonia	1.949087473	Pre	2	0.667361300482901
D6	CONTROL	CONTROL	CONTROL	No Ammonia	1.949087473	Pre	0	0.667361300482901
D9	6°„C	6°„C		No Ammonia	0.767822338	Pre	6	-0.264196903324712
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.945012108	Pre	0	-0.0565575388720635
D12	4°„C	4°„C	4°„C	No Ammonia	1.506113047	Pre	4	0.409532190969541
E1	4°„C	4°„C	4°„C	No Ammonia	2.126277243	Pre	4	0.754372677344265
E2	7°„C	7°„C		Ammonia	1.063138621	Pre	7	0.0612254963140144
E4	4°„C	4°„C	4°„C	Ammonia	2.598783297	Pre	4	0.955043372806416
E5	3°„C	3°„C		Ammonia	6.644616384	Pre	3	1.89380696047619
E7	4°„C	4°„C	4°„C	Ammonia	1.919555844	Pre	4	0.652093828028489
E9	2°„C	2°„C		Ammonia	2.303467013	Pre	2	0.83441538490927
E10	2°„C	2°„C		No Ammonia	5.81773079	Pre	2	1.76091028708768
E11	3°„C	3°„C		Ammonia	2.303467013	Pre	3	0.83441538490927
F3	4°„C	4°„C	4°„C	Ammonia	0.885948851	Pre	4	-0.121096060291818
F5	CONTROL	CONTROL	CONTROL	No Ammonia	3.189415864	Pre	0	1.15983778529566
F6	5°„C	5°„C		Ammonia	3.159884236	Pre	5	1.15053539275056
F7	8°„C	8°„C		Ammonia	4.459275884	Pre	8	1.49498639500298
F8	2°„C	2°„C		No Ammonia	2.096745615	Pre	2	0.740386435548374
F10	6°„C	6°„C		Ammonia	1.890024216	Pre	6	0.636589641687882
F11	CONTROL	CONTROL	CONTROL	No Ammonia	5.315693107	Pre	0	1.67066340912436
F12	2°„C	2°„C		Ammonia	1.624239561	Pre	2	0.485039743791558
G1	2°„C	2°„C		No Ammonia	1.683302817	Pre	2	0.520757825939984
G2	1°„C	1°„C		Ammonia	3.573327033	Pre	1	1.27349710382001
G3	2°„C	2°„C		No Ammonia	4.695528911	Pre	2	1.54661076041534
G5	3°„C	3°„C		No Ammonia	1.830960959	Pre	3	0.604840943236761
G8	CONTROL	CONTROL	CONTROL	No Ammonia	1.830960959	Pre	0	0.604840943236761
G10	2°„C	2°„C		No Ammonia	1.890024216	Pre	2	0.636589641687882
G11	5°„C	5°„C		Ammonia	14.64768767	Pre	5	2.68428248478006
H1	CONTROL	CONTROL	CONTROL	Ammonia	5.876794046	Pre	0	1.77101138294635
H3	8°„C	8°„C		No Ammonia	0.738290709	Pre	8	-0.303417617311519
H4	4°„C	4°„C	4°„C	No Ammonia	1.801429331	Pre	4	0.588580422570911
H5	2°„C	2°„C		No Ammonia	26.75565531	Pre	2	3.28674586445528
H7	7°„C	7°„C		Ammonia	3.602858662	Pre	7	1.28172760313086
H8	4°„C	4°„C	4°„C	Ammonia	3.80958006	Pre	4	1.33751896259145
H9	1°„C	1°„C		Ammonia	3.425668891	Pre	1	1.23129674928862
H10	CONTROL	CONTROL	CONTROL	Ammonia	1.919555844	Pre	0	0.652093828028489
H11	4°„C	4°„C	4°„C	No Ammonia	6.467426614	Pre	4	1.86677828812538
A1	4°„C	4°„C	4°„C	No Ammonia	16.47864863	Post	4	2.8020655205123
A2	CONTROL	CONTROL	CONTROL	Ammonia	11.90124623	Post	0	2.47664311984427
A3	5°„C	5°„C		No Ammonia	1.476581419	Post	5	0.389729563925666
A5	1°„C	1°„C		No Ammonia	0.708759081	Post	1	-0.344239611323845
A6	4°„C	4°„C	4°„C	Ammonia	3.80958006	Post	4	1.33751896259145
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.856417223	Post	0	-0.154997611539359
A8	5°„C	5°„C		No Ammonia	0.738290709	Post	5	-0.303417617311519
A9	2°„C	2°„C		Ammonia	13.23016951	Post	2	2.58249979059203
B1	1°„C	1°„C		No Ammonia	4.075364716	Post	1	1.40496024354676
B3	6°„C	6°„C		No Ammonia	4.193491229	Post	6	1.43353361586985
B4	CONTROL	CONTROL	CONTROL	No Ammonia	6.201641959	Post	0	1.82481408908599
B6	7°„C	7°„C		No Ammonia	7.914476404	Post	7	2.06869353877589
B7	3°„C	3°„C		No Ammonia	9.863563877	Post	3	2.28884755127956
B8	CONTROL	CONTROL	CONTROL	Ammonia	8.652767114	Post	0	2.15787916735972
B9	4°„C	4°„C	4°„C	No Ammonia	2.273935385	Post	4	0.821511980236865
B10	8°„C	8°„C		No Ammonia	2.067213986	Post	8	0.726201800256633
B11	2°„C	2°„C		Ammonia	2.746441439	Post	2	1.01030605152698
B12	CONTROL	CONTROL	CONTROL	Ammonia	3.957238202	Post	0	1.37554635821595
C2	2°„C	2°„C		Ammonia	2.1853405	Post	2	0.781771651646778
C3	4°„C	4°„C	4°„C	No Ammonia	2.53972004	Post	4	0.932053854483282
C4	8°„C	8°„C		Ammonia	0.797353966	Post	8	-0.22645657582423
C5	2°„C	2°„C		Ammonia	4.488807513	Post	2	1.50158707917449
C7	2°„C	2°„C		No Ammonia	0.679227453	Post	2	-0.386799225190543
C10	4°„C	4°„C	4°„C	Ammonia	6.17211033	Post	4	1.82004081023226
