Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	0.738290709	Pre	-0.303417617311519
A2	CONTROL	CONTROL	CONTROL	Ammonia	2.687378182	Pre	0.988566064798546
A4	UR+RU		UR+RU	No Ammonia	1.063138621	Pre	0.0612254963140144
A6	4°„C	4°„C	4°„C	Ammonia	1.771897702	Pre	0.572051120268127
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.649695824	Pre	-0.43125098869827
A10	UR		UR	No Ammonia	1.535644675	Pre	0.428950276584041
A11	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	1.09267025	Pre	0.0886244710868331
A12	UR+RU		UR+RU	No Ammonia	0.797353966	Pre	-0.22645657582423
B2	UR		UR	Ammonia	1.299391648	Pre	0.261896191861676
B4	CONTROL	CONTROL	CONTROL	No Ammonia	2.451125155	Pre	0.896547166073811
B5	RU		RU	No Ammonia	3.012226094	Pre	1.10267937152949
B8	CONTROL	CONTROL	CONTROL	Ammonia	2.421593527	Pre	0.884425805695701
B9	4°„C	4°„C	4°„C	No Ammonia	1.033606993	Pre	0.0330546196966879
B12	CONTROL	CONTROL	CONTROL	Ammonia	1.210796763	Pre	0.191278624722804
C1	UR+RU		UR+RU	Ammonia	1.151733507	Pre	0.141268204783453
C3	4°„C	4°„C	4°„C	No Ammonia	0.767822338	Pre	-0.264196903324712
C6	RU		RU	No Ammonia	1.240328392	Pre	0.215376176813138
C8	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	1.535644675	Pre	0.428950276584041
C9	UR		UR	No Ammonia	0.738290709	Pre	-0.303417617311519
C10	4°„C	4°„C	4°„C	Ammonia	2.598783297	Pre	0.955043372806416
C12	RU		RU	Ammonia	7.796349891	Pre	2.05365566147453
D1	RU		RU	No Ammonia	1.181265135	Pre	0.166586012442146
D2	4°„C	4°„C	4°„C	Ammonia	0.767822338	Pre	-0.264196903324712
D5	UR		UR	Ammonia	1.210796763	Pre	0.191278624722804
D6	CONTROL	CONTROL	CONTROL	No Ammonia	1.949087473	Pre	0.667361300482901
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.679227453	Pre	-0.386799225190543
D8	UR		UR	No Ammonia	2.864567952	Pre	1.05241753670068
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.945012108	Pre	-0.0565575388720635
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	2.923631209	Pre	1.07282640842004
D12	4°„C	4°„C	4°„C	No Ammonia	1.506113047	Pre	0.409532190969541
E1	4°„C	4°„C	4°„C	No Ammonia	2.126277243	Pre	0.754372677344265
E3	UR		UR	No Ammonia	10.69044947	Pre	2.36935076999028
E4	4°„C	4°„C	4°„C	Ammonia	2.598783297	Pre	0.955043372806416
E6	RU		RU	Ammonia	1.565176304	Pre	0.447998471960195
E7	4°„C	4°„C	4°„C	Ammonia	1.919555844	Pre	0.652093828028489
E8	UR+RU		UR+RU	Ammonia	3.337074006	Pre	1.20509437692818
E12	UR		UR	Ammonia	1.358454905	Pre	0.306347954633272
F1	RU		RU	Ammonia	2.155808871	Pre	0.768165999302653
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	2.687378182	Pre	0.988566064798546
F3	4°„C	4°„C	4°„C	Ammonia	0.885948851	Pre	-0.121096060291818
F4	UR+RU		UR+RU	Ammonia	1.358454905	Pre	0.306347954633272
