Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	0.059063257	Pre	4	-2.82914625687909
A2	CONTROL	CONTROL	CONTROL	Ammonia	0.17718977	Pre	0	-1.73053397385465
A3	5°„C	5°„C		No Ammonia	0.383911169	Pre	5	-0.957344083884657
A5	1°„C	1°„C		No Ammonia	0.17718977	Pre	1	-1.73053397385465
A6	4°„C	4°„C	4°„C	Ammonia	0.590632567	Pre	4	-0.526561168964349
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.029531628	Pre	0	-3.52229345437004
A8	5°„C	5°„C		No Ammonia	0.147658142	Pre	5	-1.91285552839114
A9	2°„C	2°„C		Ammonia	0.797353966	Pre	2	-0.22645657582423
B1	1°„C	1°„C		No Ammonia	6.437894986	Pre	1	1.86220162115613
B3	6°„C	6°„C		No Ammonia	0.17718977	Pre	6	-1.73053397385465
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0.295316284	Pre	0	-1.21970834783119
B6	7°„C	7°„C		No Ammonia	1.44704979	Pre	7	0.369526856179689
B7	3°„C	3°„C		No Ammonia	0.236253027	Pre	3	-1.44285189999195
B8	CONTROL	CONTROL	CONTROL	Ammonia	0.590632567	Pre	0	-0.526561168964349
B9	4°„C	4°„C	4°„C	No Ammonia	0.17718977	Pre	4	-1.73053397385465
B10	8°„C	8°„C		No Ammonia	0.088594885	Pre	8	-2.4236811544146
B11	2°„C	2°„C		Ammonia	0.561100939	Pre	2	-0.577854462728126
B12	CONTROL	CONTROL	CONTROL	Ammonia	0.442974426	Pre	0	-0.81424323972303
C2	2°„C	2°„C		Ammonia	0.679227453	Pre	2	-0.386799225190543
C3	4°„C	4°„C	4°„C	No Ammonia	0.118126513	Pre	4	-2.13599908478465
C4	8°„C	8°„C		Ammonia	0.17718977	Pre	8	-1.73053397385465
C5	2°„C	2°„C		Ammonia	1.653771189	Pre	2	0.503058249063359
C7	2°„C	2°„C		No Ammonia	2.835036324	Pre	2	1.04205474979605
C10	4°„C	4°„C	4°„C	Ammonia	0.531569311	Pre	4	-0.63192168330532
C11	7°„C	7°„C		No Ammonia	0.147658142	Pre	7	-1.91285552839114
D2	4°„C	4°„C	4°„C	Ammonia	0.35437954	Pre	4	-1.03738679329471
