Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	0.059063257	Pre	-2.82914625687909
A2	CONTROL	CONTROL	CONTROL	Ammonia	0.17718977	Pre	-1.73053397385465
A4	UR+RU		UR+RU	No Ammonia	0.118126513	Pre	-2.13599908478465
A6	4°„C	4°„C	4°„C	Ammonia	0.590632567	Pre	-0.526561168964349
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.029531628	Pre	-3.52229345437004
A10	UR		UR	No Ammonia	0.35437954	Pre	-1.03738679329471
A11	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	2.1853405	Pre	0.781771651646778
A12	UR+RU		UR+RU	No Ammonia	0.206721399	Pre	-1.57638329080244
B2	UR		UR	Ammonia	0.295316284	Pre	-1.21970834783119
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0.295316284	Pre	-1.21970834783119
B5	RU		RU	No Ammonia	2.510188412	Pre	0.920357814868324
B8	CONTROL	CONTROL	CONTROL	Ammonia	0.590632567	Pre	-0.526561168964349
B9	4°„C	4°„C	4°„C	No Ammonia	0.17718977	Pre	-1.73053397385465
B12	CONTROL	CONTROL	CONTROL	Ammonia	0.442974426	Pre	-0.81424323972303
C1	UR+RU		UR+RU	Ammonia	0.295316284	Pre	-1.21970834783119
C3	4°„C	4°„C	4°„C	No Ammonia	0.118126513	Pre	-2.13599908478465
C6	RU		RU	No Ammonia	0.649695824	Pre	-0.43125098869827
C8	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	3.839111689	Pre	1.34524100884891
C9	UR		UR	No Ammonia	0.088594885	Pre	-2.4236811544146
C10	4°„C	4°„C	4°„C	Ammonia	0.531569311	Pre	-0.63192168330532
C12	RU		RU	Ammonia	0.502037682	Pre	-0.68908009836253
D1	RU		RU	No Ammonia	0.236253027	Pre	-1.44285189999195
D2	4°„C	4°„C	4°„C	Ammonia	0.35437954	Pre	-1.03738679329471
D5	UR		UR	Ammonia	1.151733507	Pre	0.141268204783453
D6	CONTROL	CONTROL	CONTROL	No Ammonia	1.860492588	Pre	0.620841284921302
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.118126513	Pre	-2.13599908478465
D8	UR		UR	No Ammonia	0.17718977	Pre	-1.73053397385465
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.17718977	Pre	-1.73053397385465
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0	Pre	-Inf
D12	4°„C	4°„C	4°„C	No Ammonia	0.088594885	Pre	-2.4236811544146
E1	4°„C	4°„C	4°„C	No Ammonia	0.118126513	Pre	-2.13599908478465
E3	UR		UR	No Ammonia	0.767822338	Pre	-0.264196903324712
E4	4°„C	4°„C	4°„C	Ammonia	0.088594885	Pre	-2.4236811544146
E6	RU		RU	Ammonia	1.712834446	Pre	0.538149569020586
E7	4°„C	4°„C	4°„C	Ammonia	0.147658142	Pre	-1.91285552839114
E8	UR+RU		UR+RU	Ammonia	0.147658142	Pre	-1.91285552839114
E12	UR		UR	Ammonia	0.206721399	Pre	-1.57638329080244
F1	RU		RU	Ammonia	0.206721399	Pre	-1.57638329080244
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.088594885	Pre	-2.4236811544146
F3	4°„C	4°„C	4°„C	Ammonia	0.17718977	Pre	-1.73053397385465
F4	UR+RU		UR+RU	Ammonia	0.118126513	Pre	-2.13599908478465
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.206721399	Pre	-1.57638329080244
F9	RU		RU	No Ammonia	0.147658142	Pre	-1.91285552839114
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.206721399	Pre	-1.57638329080244
G4	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.295316284	Pre	-1.21970834783119
G6	UR+RU		UR+RU	No Ammonia	0.17718977	Pre	-1.73053397385465
G7	RU		RU	Ammonia	0.206721399	Pre	-1.57638329080244
G8	CONTROL	CONTROL	CONTROL	No Ammonia	0.502037682	Pre	-0.68908009836253
