Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount	Apr12_percell	May17_percell
A1	4°„C	4	No	0.059063257	0.738290709	5.906325675	27	0.059063257	16.47864863	825.4090131	144	0.002187528	0.000410162
A2	CONTROL	0	Yes	0.17718977	2.687378182	64.96958242	70	0	11.90124623	590.6325675	80	0.002531282	0
A3	5°„C	5	No	0.383911169	2.894099581	519.7566594	140	0.413442797	1.476581419	70.8759081	356	0.002742223	0.001161356
A4	RU+UR		No	0.118126513	1.063138621	91.54804796	24	0.265784655	1.771897702	67.92274526	148	0.004921938	0.001795842
A5	1°„C	1	No	0.17718977	1.417518162	267.2612368	23	0	0.708759081	36.91453547	83	0.007703903	0
A6	4°„C	4	Yes	0.590632567	1.771897702	175.7131888	526	0.383911169	3.80958006	183.0960959	1557	0.001122876	0.000246571
A7	CONTROL	0	No	0.029531628	0.649695824	162.4239561	33	0.029531628	0.856417223	47.2506054	88	0.000894898	0.000335587
A8	5°„C	5	No	0.147658142	1.358454905	5.906325675	31	0	0.738290709	41.34427972	155	0.004763166	0
A9	2°„C	2	Yes	0.797353966	2.421593527	16.24239561	621	0.059063257	13.23016951	665.9382198	1481	0.001283984	3.98807E-05
A10	URBAN		No	0.35437954	1.535644675	162.4239561	20	0.088594885	3.248479121	166.8537003	41	0.017718977	0.002160851
A11	RU+UR+4°„C		No	2.1853405	1.09267025	38.39111689	29	0.236253027	0.029531628	11.81265135	33	0.075356569	0.007159183
A12	RU+UR		No	0.206721399	0.797353966	14.76581419	36	0	0.738290709	41.34427972	55	0.005742261	0
B1	1°„C	1	No	6.437894986	1.26986002	789.971059	29	0	4.075364716	202.2916544	52	0.221996379	0
B2	URBAN		Yes	0.295316284	1.299391648	950.9184336	26	0.059063257	2.805504696	660.0318942	128	0.011358319	0.000461432
B3	6°„C	6	No	0.17718977	7.825881519	103.3606993	70	0.147658142	4.193491229	208.19798	76	0.002531282	0.00194287
B4	CONTROL	0	No	0.295316284	2.451125155	31.00820979	12	0	6.201641959	271.690981	34	0.02460969	0
B5	RURAL		No	2.510188412	3.012226094	66.44616384	37	0.561100939	9.154804796	456.2636584	112	0.06784293	0.00500983
B6	7°„C	7	No	1.44704979	2.36253027	208.19798	185	4.104896344	7.914476404	380.958006	433	0.007821891	0.00948013
B7	3°„C	3	No	0.236253027	2.36253027	165.3771189	260	0	9.863563877	491.7016124	347	0.000908665	0
B8	CONTROL	0	Yes	0.590632567	2.421593527	33.96137263	81	0	8.652767114	431.1617743	291	0.00729176	0
B9	4°„C	4	No	0.17718977	1.033606993	125.5094206	29	0	2.273935385	112.2201878	43	0.006109992	0
B10	8°„C	8	No	0.088594885	0.649695824	10.33606993	23	0.856417223	2.067213986	100.4075365	97	0.003851952	0.008829044
B11	2°„C	2	Yes	0.561100939	1.949087473	53.15693107	756	0.236253027	2.746441439	131.4157463	287	0.000742197	0.000823181
B12	CONTROL	0	Yes	0.442974426	1.210796763	103.3606993	860	6.142578702	3.957238202	307.1289351	1093	0.000515087	0.005619926
C1	RU+UR		Yes	0.295316284	1.151733507	598.0154746	72	1.151733507	6.083515445	298.2694466	142	0.004101615	0.008110799
C2	2°„C	2	Yes	0.679227453	3.839111689	122.5562578	2994	1.949087473	2.1853405	103.3606993	9486	0.000226863	0.00020547
C3	4°„C	4	No	0.118126513	0.767822338	75.30565235	47	0.35437954	2.53972004	121.0796763	157	0.00251333	0.002257195
C4	8°„C	8	Yes	0.17718977	1.09267025	73.82907093	20	0.059063257	0.797353966	33.96137263	96	0.008859489	0.000615242
C5	2°„C	2	Yes	1.653771189	4.341149371	13.28923277	252	1.387986534	4.488807513	218.53405	625	0.006562584	0.002220778
C6	RURAL		No	0.649695824	1.240328392	51.68034965	12	0	1.978619101	93.02462938	38	0.054141319	0
