Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount
A2	Control	0	Yes	0.17718977	2.687378182	64.96958242	70	0	11.90124623	590.6325675	80
A6	4_degree	4	Yes	0.590632567	1.771897702	175.7131888	526	0.383911169	3.80958006	183.0960959	1557
B2	Urban		Yes	0.295316284	1.299391648	950.9184336	26	0.059063257	2.805504696	660.0318942	128
B8	Control	0	Yes	0.590632567	2.421593527	33.96137263	81	0	8.652767114	431.1617743	291
B12	Control	0	Yes	0.442974426	1.210796763	103.3606993	860	6.142578702	3.957238202	307.1289351	1093
C1	Urban_Rural		Yes	0.295316284	1.151733507	598.0154746	72	1.151733507	6.083515445	298.2694466	142
C10	4_degree	4	Yes	0.531569311	2.598783297	17.71897702	166	1.594707932	6.17211033	267.2612368	418
C12	Rural		Yes	0.502037682	7.796349891	738.2907093	65	0.91548048	3.543795405	172.760026	293
D2	4_degree	4	Yes	0.35437954	0.767822338	84.16514087	312	0	2.628314925	132.8923277	85
D5	Urban		Yes	1.151733507	1.210796763	0	150	1.830960959	5.374756364	270.2143996	402
D10	Control	0	Yes	0.17718977	0.945012108	2.953162837	41	0.826885594	2.244403756	101.8841179	125
D11	Urban_Rural_4_degree		Yes	0	2.923631209	286.4567952	20	0.649695824	0.91548048	48.72718682	90
E4	4_degree	4	Yes	0.088594885	2.598783297	128.4625834	16	0	3.98676983	190.479003	49
E6	Rural		Yes	1.712834446	1.565176304	302.6991908	25	0.236253027	8.623235485	422.3022857	120
E7	4_degree	4	Yes	0.147658142	1.919555844	320.4181679	52	4.636465655	4.075364716	202.2916544	259
E8	Urban_Rural		Yes	0.147658142	3.337074006	17.71897702	29	0.856417223	4.459275884	221.4872128	70
E12	Urban		Yes	0.206721399	1.358454905	19.19555844	28	2.982694466	1.742366074	122.5562578	87
F1	Rural		Yes	0.206721399	2.155808871	234.7764456	39	0.472506054	1.594707932	82.68855945	175
F2	Urban_Rural_4_degree		Yes	0.088594885	2.687378182	171.2834446	18	0.118126513	2.628314925	134.3689091	39
F3	4_degree	4	Yes	0.17718977	0.885948851	22.14872128	71	0.531569311	2.421593527	118.1265135	121
F4	Urban_Rural		Yes	0.118126513	1.358454905	1207.8436	12	0.236253027	1.506113047	78.25881519	34
G7	Rural		Yes	0.206721399	2.244403756	615.7344516	23	4.459275884	6.142578702	308.6055165	134
G9	Urban_Rural_4_degree		Yes	0.029531628	0.91548048	1413.088418	19	0.059063257	1.240328392	63.493001	25
G12	Urban_Rural_4_degree		Yes	0.147658142	1.535644675	38.39111689	12	1.26986002	1.299391648	60.53983817	79
H1	Control	0	Yes	1.240328392	5.876794046	1.476581419	231	3.100820979	18.48679936	927.2931309	1118
H6	Urban		Yes	0.265784655	1.033606993	2.953162837	122	0.590632567	2.953162837	150.6113047	305
H8	4_degree	4	Yes	1.742366074	3.80958006	5.906325675	440	0.118126513	17.57131888	881.519107	1149
H10	Control	0	Yes	0.35437954	1.919555844	0	536	0	3.868643317	183.0960959	1845
H12	Urban_Rural		Yes	0.383911169	3.63239029	159.4707932	75	0	8.564172228	431.1617743	74
