Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount
A1	4_degree	4	No	0.059063257	0.738290709	5.906325675	27	0.059063257	16.47864863	825.4090131	144
A4	Urban_Rural		No	0.118126513	1.063138621	91.54804796	24	0.265784655	1.771897702	67.92274526	148
A7	Control	0	No	0.029531628	0.649695824	162.4239561	33	0.029531628	0.856417223	47.2506054	88
A10	Urban		No	0.35437954	1.535644675	162.4239561	20	0.088594885	3.248479121	166.8537003	41
A11	Urban_Rural_4_degree		No	2.1853405	1.09267025	38.39111689	29	0.236253027	0.029531628	11.81265135	33
A12	Urban_Rural		No	0.206721399	0.797353966	14.76581419	36	0	0.738290709	41.34427972	55
B4	Control	0	No	0.295316284	2.451125155	31.00820979	12	0	6.201641959	271.690981	34
B5	Rural		No	2.510188412	3.012226094	66.44616384	37	0.561100939	9.154804796	456.2636584	112
B9	4_degree	4	No	0.17718977	1.033606993	125.5094206	29	0	2.273935385	112.2201878	43
C3	4_degree	4	No	0.118126513	0.767822338	75.30565235	47	0.35437954	2.53972004	121.0796763	157
C6	Rural		No	0.649695824	1.240328392	51.68034965	12	0	1.978619101	93.02462938	38
C8	Urban_Rural_4_degree		No	3.839111689	1.535644675	94.5012108	15	0	4.54787077	222.9637942	82
C9	Urban		No	0.088594885	0.738290709	28.05504696	44	3.927706574	7.205717323	332.2308192	159
D1	Rural		No	0.236253027	1.181265135	723.5248952	24	0.029531628	1.004075365	76.78223377	52
D6	Control	0	No	1.860492588	1.949087473	118.1265135	129	1.417518162	4.636465655	233.2998642	240
D7	Urban_Rural_4_degree		No	0.118126513	0.679227453	0	39	0.088594885	0.708759081	38.39111689	107
D8	Urban		No	0.17718977	2.864567952	7.382907093	33	0.797353966	5.758667533	290.8865395	59
D12	4_degree	4	No	0.088594885	1.506113047	2.953162837	11	2.894099581	2.037682358	104.8372807	36
E1	4_degree	4	No	0.118126513	2.126277243	450.3573327	62	0.118126513	3.071289351	831.3153387	101
E3	Urban		No	0.767822338	10.69044947	795.8773847	31	0	2.598783297	121.0796763	26
F5	Control	0	No	0.206721399	3.189415864	220.0106314	35	0.383911169	1.919555844	98.93095505	39
F9	Rural		No	0.147658142	1.506113047	135.8454905	30	1.742366074	2.214872128	106.3138621	31
F11	Control	0	No	0.206721399	5.315693107	33.96137263	159	0.236253027	3.307542378	156.5176304	46
G4	Urban_Rural_4_degree		No	0.295316284	1.506113047	475.4592168	31	0.324847912	2.628314925	125.5094206	57
G6	Urban_Rural		No	0.17718977	2.155808871	2.953162837	18	1.210796763	3.248479121	156.5176304	44
G8	Control	0	No	0.502037682	1.830960959	10.33606993	15	0.029531628	3.366605635	169.8068632	58
H2	Urban_Rural		No	0.088594885	2.303467013	459.2168212	27	0.679227453	4.518339141	228.8701199	79
H4	4_degree	4	No	0.442974426	1.801429331	100.4075365	125	0.885948851	6.053983817	305.6523537	77
H11	4_degree	4	No	3.100820979	6.467426614	16.24239561	491	4.754592168	9.391057823	472.506054	648
