Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
A1	4°„C	4°„C	4°„C	No Ammonia	0.002187528	Pre	4	-6.12498313981442
A2	CONTROL	CONTROL	CONTROL	Ammonia	0.002531282	Pre	0	-5.97902938521402
A3	5°„C	5°„C		No Ammonia	0.002742223	Pre	5	-5.89898637365074
A5	1°„C	1°„C		No Ammonia	0.007703903	Pre	1	-4.86602819542747
A6	4°„C	4°„C	4°„C	Ammonia	0.001122876	Pre	4	-6.79186202784422
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.000894898	Pre	0	-7.01880081266454
A8	5°„C	5°„C		No Ammonia	0.004763166	Pre	5	-5.34684270578669
A9	2°„C	2°„C		Ammonia	0.001283984	Pre	2	-6.6577875348512
B1	1°„C	1°„C		No Ammonia	0.221996379	Pre	1	-1.50509420805369
B3	6°„C	6°„C		No Ammonia	0.002531282	Pre	6	-5.97902938521402
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0.02460969	Pre	0	-3.70461501116399
B6	7°„C	7°„C		No Ammonia	0.007821891	Pre	7	-4.85082893780088
B7	3°„C	3°„C		No Ammonia	0.000908665	Pre	3	-7.00353406856688
B8	CONTROL	CONTROL	CONTROL	Ammonia	0.00729176	Pre	0	-4.92101033548849
B9	4°„C	4°„C	4°„C	No Ammonia	0.006109992	Pre	4	-5.09782981512846
B10	8°„C	8°„C		No Ammonia	0.003851952	Pre	8	-5.55917524618309
B11	2°„C	2°„C		Ammonia	0.000742197	Pre	2	-7.20589585138313
B12	CONTROL	CONTROL	CONTROL	Ammonia	0.000515087	Pre	0	-7.57117473952911
C2	2°„C	2°„C		Ammonia	0.000226863	Pre	2	-8.391164246906
C3	4°„C	4°„C	4°„C	No Ammonia	0.00251333	Pre	4	-5.98614671189121
C4	8°„C	8°„C		Ammonia	0.008859489	Pre	8	-4.72626619097198
C5	2°„C	2°„C		Ammonia	0.006562584	Pre	2	-5.02637085114631
C7	2°„C	2°„C		No Ammonia	0.189002422	Pre	2	-1.66599544918979
C10	4°„C	4°„C	4°„C	Ammonia	0.003202225	Pre	4	-5.7439093982942
C11	7°„C	7°„C		No Ammonia	0.004101615	Pre	7	-5.49637448039205
D2	4°„C	4°„C	4°„C	Ammonia	0.001135832	Pre	4	-6.78038985694353
D3	6°„C	6°„C		Ammonia	0.001477773	Pre	6	-6.51721905417858
D4	2°„C	2°„C		Ammonia	0.004854514	Pre	2	-5.3278462852361
D6	CONTROL	CONTROL	CONTROL	No Ammonia	0.014422423	Pre	0	-4.2389711307277
D9	6°„C	6°„C		No Ammonia	0.002460969	Pre	6	-6.00720010415804
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.004321702	Pre	0	-5.44410597283496
D12	4°„C	4°„C	4°„C	No Ammonia	0.00805408	Pre	4	-4.82157648364964
E1	4°„C	4°„C	4°„C	No Ammonia	0.001905266	Pre	4	-6.26313364760526
E2	7°„C	7°„C		Ammonia	0.007382907	Pre	7	-4.90858781548993
E4	4°„C	4°„C	4°„C	Ammonia	0.00553718	Pre	4	-5.19626993309105
E5	3°„C	3°„C		Ammonia	0.004447974	Pre	3	-5.41530656737468
E7	4°„C	4°„C	4°„C	Ammonia	0.00283958	Pre	4	-5.86409912506937
E9	2°„C	2°„C		Ammonia	0.012610803	Pre	2	-4.37320145141342
E10	2°„C	2°„C		No Ammonia	0.01093764	Pre	2	-4.51554522738032
E11	3°„C	3°„C		Ammonia	0.001914087	Pre	3	-6.25851453243895
