Group	Mean	SD	Type
4°„C	0.004375616	0.002427344	Before (NA)
CONTROL	0.013433775	0.013329719	Before (NA)
RURAL	0.034187516	0.03151681	Before (NA)
URBAN	0.012467587	0.010623254	Before (NA)
RU+UR	0.005947342	0.002791912	Before (NA)
RU+UR+4°„C	0.085963141	0.117934408	Before (NA)
4°„C	0.014724535	0.029263135	After (NA)
CONTROL	0.003621815	0.003995773	After (NA)
RURAL	0.015445776	0.027265211	After (NA)
URBAN	0.01009447	0.011400779	After (NA)
RU+UR	0.009477942	0.012583962	After (NA)
RU+UR+4°„C	0.003421565	0.003539804	After (NA)
4°„C	0.002899035	0.001560295	Before (A)
CONTROL	0.003448396	0.002699571	Before (A)
RURAL	0.022631368	0.030626245	Before (A)
URBAN	0.007149503	0.003775288	Before (A)
RU+UR	0.006038992	0.002580358	Before (A)
RU+UR+4°„C	0.00469527	0.005473216	Before (A)
4°„C	0.00377986	0.00651121	After (A)
CONTROL	0.002501426	0.003016378	After (A)
RURAL	0.010267874	0.015347628	After (A)
URBAN	0.010309101	0.016072537	After (A)
RU+UR	0.006823487	0.005083051	After (A)
RU+UR+4°„C	0.007171109	0.006312616	After (A)
