Ponds	Group	Temperature	Treatment	Ammonia	MicroResp	Dosing
A1	4°„C	4°„C	4°„C	No Ammonia	0.009158162	Pre
A2	CONTROL	CONTROL	CONTROL	Ammonia	0.008993638	Pre
A4	UR+RU		UR+RU	No Ammonia	0.008356697	Pre
A6	4°„C	4°„C	4°„C	Ammonia	0.007320928	Pre
A7	CONTROL	CONTROL	CONTROL	No Ammonia	0.01073765	Pre
A10	UR		UR	No Ammonia	0.011113545	Pre
A11	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.010924437	Pre
A12	UR+RU		UR+RU	No Ammonia	0.011304992	Pre
B2	UR		UR	Ammonia	0.011893538	Pre
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0.008512792	Pre
B5	RU		RU	No Ammonia	0.008512792	Pre
B8	CONTROL	CONTROL	CONTROL	Ammonia	0.006906601	Pre
B9	4°„C	4°„C	4°„C	No Ammonia	0.010013365	Pre
B12	CONTROL	CONTROL	CONTROL	Ammonia	0.01716156	Pre
C1	UR+RU		UR+RU	Ammonia	0.010553167	Pre
C3	4°„C	4°„C	4°„C	No Ammonia	0.011498795	Pre
C6	RU		RU	No Ammonia	0.007320928	Pre
C8	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.00867097	Pre
C9	UR		UR	No Ammonia	0.00867097	Pre
C10	4°„C	4°„C	4°„C	Ammonia	0.010191041	Pre
C12	RU		RU	Ammonia	0.010924437	Pre
D1	RU		RU	No Ammonia	0.010370969	Pre
D2	4°„C	4°„C	4°„C	Ammonia	0.010370969	Pre
D5	UR		UR	Ammonia	0.0096647	Pre
D6	CONTROL	CONTROL	CONTROL	No Ammonia	0.005646623	Pre
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.008202667	Pre
D8	UR		UR	No Ammonia	0.00867097	Pre
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.007900736	Pre
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.011893538	Pre
D12	4°„C	4°„C	4°„C	No Ammonia	0.011694971	Pre
E1	4°„C	4°„C	4°„C	No Ammonia	0.013791157	Pre
E3	UR		UR	No Ammonia	0.014934475	Pre
E4	4°„C	4°„C	4°„C	Ammonia	0.0096647	Pre
E6	RU		RU	Ammonia	0.007606867	Pre
E7	4°„C	4°„C	4°„C	Ammonia	0.010013365	Pre
E8	UR+RU		UR+RU	Ammonia	0.017687076	Pre
E12	UR		UR	Ammonia	0.010370969	Pre
F1	RU		RU	Ammonia	0.010191041	Pre
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.008356697	Pre
F3	4°„C	4°„C	4°„C	Ammonia	0.00867097	Pre
F4	UR+RU		UR+RU	Ammonia	0.007900736	Pre
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.008356697	Pre
F9	RU		RU	No Ammonia	0.013136141	Pre
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.013791157	Pre
