Pond	Group	Temperature	Chemical	Treatment	Ammonia	BOD	Dosing	Temp
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	2.3	Pre	4
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	4.9	Pre	0
A3	5°„C	5°„C	NONE		No Ammonia	4.1	Pre	5
A4	UR+RU	0°„C	NONE	UR+RU	No Ammonia	4.6	Pre	0
A5	1°„C	1°„C	NONE		No Ammonia	4.9	Pre	1
A6	4°„C	4°„C	NONE	4°„C	Ammonia	6.3	Pre	4
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	3.9	Pre	0
A8	5°„C	5°„C	NONE		No Ammonia	5.7	Pre	5
A9	2°„C	2°„C	NONE		Ammonia	9.5	Pre	2
A10	UR	0°„C	NONE	UR	No Ammonia	5.3	Pre	0
A11	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	6.7	Pre	4
A12	UR+RU	0°„C	NONE	UR+RU	No Ammonia	6.2	Pre	0
B1	1°„C	1°„C	NONE		No Ammonia	4.2	Pre	1
B2	UR	0°„C	NONE	UR	Ammonia	5.4	Pre	0
B3	6°„C	6°„C	NONE		No Ammonia	3.5	Pre	6
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	4.5	Pre	0
B5	RU	0°„C	NONE	RU	No Ammonia	4.8	Pre	0
B6	7°„C	7°„C	NONE		No Ammonia	7.7	Pre	7
B7	3°„C	3°„C	NONE		No Ammonia	3.7	Pre	3
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	5.1	Pre	0
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	3.8	Pre	4
B10	8°„C	8°„C	NONE		No Ammonia	3.1	Pre	8
B11	2°„C	2°„C	NONE		Ammonia	5.1	Pre	2
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	7.2	Pre	0
C1	UR+RU	0°„C	NONE	UR+RU	Ammonia	5.4	Pre	0
C2	2°„C	2°„C	NONE		Ammonia	8	Pre	2
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	3.9	Pre	4
C4	8°„C	8°„C	NONE		Ammonia	3.9	Pre	8
C5	2°„C	2°„C	NONE		Ammonia	7.3	Pre	2
C6	RU	0°„C	NONE	RU	No Ammonia	4.6	Pre	0
C7	2°„C	2°„C	NONE		No Ammonia	7.4	Pre	2
C8	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	4.1	Pre	4
C9	UR	0°„C	NONE	UR	No Ammonia	6.6	Pre	0
C10	4°„C	4°„C	NONE	4°„C	Ammonia	4.3	Pre	4
C11	7°„C	7°„C	NONE		No Ammonia	3.9	Pre	7
C12	RU	0°„C	NONE	RU	Ammonia	9.4	Pre	0
D1	RU	0°„C	NONE	RU	No Ammonia	5	Pre	0
D2	4°„C	4°„C	NONE	4°„C	Ammonia	3.8	Pre	4
D3	6°„C	6°„C	NONE		Ammonia	8.4	Pre	6
