Ponds	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD
A1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.486	Red	Post	0.011572178	688.2917682	0.000538013
A10	UR	0°„C	UR	UR	No Ammonia	1.584	Red	Post	0.009576386	548.7230628	0.000558468
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.554	Red	Post	0.010173918	690.5607143	0.000471451
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.509	Red	Post	0.011092202	571.7024932	0.000620866
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.527	Red	Post	0.010721644	536.7335952	0.000639223
A3	5°„C	5°„C		NONE	No Ammonia	1.492	Red	Post	0.011446254	717.7389295	0.000510325
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.564	Red	Post	0.009973469	571.7062151	0.000558243
A5	1°„C	1°„C		NONE	No Ammonia	1.572	Red	Post	0.00981403	589.5273433	0.000532713
A6	4°„C	4°„C	4°„C	NONE	Ammonia	1.526	Red	Post	0.010742116	686.4079224	0.000500792
A7	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.634	Red	Post	0.008605208	440.3995428	0.000625266
A8	5°„C	5°„C		NONE	No Ammonia	1.451	Red	Post	0.012317021	571.8630313	0.000689229
A9	2°„C	2°„C		NONE	Ammonia	1.532	Red	Post	0.010619487	491.2156696	0.000691801
B1	1°„C	1°„C		NONE	No Ammonia	1.571	Red	Post	0.009833915	596.5805426	0.000527482
B10	8°„C	8°„C		NONE	No Ammonia	1.389	Red	Post	0.013681674	786.8680325	0.0005564
B11	2°„C	2°„C		NONE	Ammonia	1.588	Red	Post	0.009497571	621.953428	0.000488658
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.628	Red	Post	0.008720168	546.4831085	0.00051062
B2	UR	0°„C	UR	UR	Ammonia	1.609	Red	Post	0.009087024	524.648602	0.000554247
B3	6°„C	6°„C		NONE	No Ammonia	1.535	Red	Post	0.010558352	742.24955	0.000455194
B4	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.612	Red	Post	0.009028812	567.113749	0.00050946
B5	RU	0°„C	RU	RU	No Ammonia	1.589	Red	Post	0.009477899	557.7435207	0.000543785
B6	7°„C	7°„C		NONE	No Ammonia	1.49	Red	Post	0.011488173	780.4216447	0.000471055
B7	3°„C	3°„C		NONE	No Ammonia	1.543	Red	Post	0.010395908	517.939649	0.000642293
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.537	Red	Post	0.010517662	448.3988604	0.000750593
B9	4°„C	4°„C	4°„C	NONE	No Ammonia	1.565	Red	Post	0.009953494	543.9197722	0.000585586
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.543	Red	Post	0.010395908	553.2492177	0.000601301
C10	4°„C	4°„C	4°„C	NONE	Ammonia	1.535	Red	Post	0.010558352	687.9237416	0.000491141
C11	7°„C	7°„C		NONE	No Ammonia	1.487	Red	Post	0.011551155	787.2672959	0.000469519
C12	RU	0°„C	RU	RU	Ammonia	1.561	Red	Post	0.010033469	569.2269491	0.000564047
C2	2°„C	2°„C		NONE	Ammonia	1.524	Red	Post	0.0107831	621.913309	0.000554835
C3	4°„C	4°„C	4°„C	NONE	No Ammonia	1.549	Red	Post	0.010274628	688.1489649	0.000477786
C4	8°„C	8°„C		NONE	Ammonia	1.541	Red	Post	0.01043644	785.9408731	0.000424925
C5	2°„C	2°„C		NONE	Ammonia	1.589	Red	Post	0.009477899	622.4863337	0.000487228
C6	RU	0°„C	RU	RU	No Ammonia	1.598	Red	Post	0.0093014	555.7259722	0.000535596
C7	2°„C	2°„C		NONE	No Ammonia	1.56	Red	Post	0.010053494	492.2699615	0.000653527
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.523	Red	Post	0.010803612	546.0259381	0.000633149
C9	UR	0°„C	UR	UR	No Ammonia	1.608	Red	Post	0.009106452	452.6442772	0.000643787
D1	RU	0°„C	RU	RU	No Ammonia	1.525	Red	Post	0.010762601	575.1613241	0.000598794
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.519	Red	Post	0.010885794	558.5367533	0.000623675
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.536	Red	Post	0.010538	689.3842741	0.000489155
D12	4°„C	4°„C	4°„C	NONE	No Ammonia	1.547	Red	Post	0.010315002	687.472772	0.000480135
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.565	Red	Post	0.009953494	686.6259892	0.00046388
D3	6°„C	6°„C		NONE	Ammonia	1.505	Red	Post	0.011175148	753.3781184	0.000474668
D4	2°„C	2°„C		NONE	Ammonia	1.604	Red	Post	0.009184285	618.9731682	0.000474814
D5	UR	0°„C	UR	UR	Ammonia	1.596	Red	Post	0.009340536	551.6865593	0.000541788
D6	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.559	Red	Post	0.010073533	533.3838903	0.000604355
D7	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.463	Red	Post	0.012059641	545.8326823	0.000707009
D8	UR	0°„C	UR	UR	No Ammonia	1.593	Red	Post	0.009399332	453.9282073	0.000662613
D9	6°„C	6°„C		NONE	No Ammonia	1.535	Red	Post	0.010558352	597.7366259	0.000565244
E1	4°„C	4°„C	4°„C	NONE	No Ammonia	1.548	Red	Post	0.010294808	688.338158	0.000478593
E10	2°„C	2°„C		NONE	No Ammonia	1.478	Red	Post	0.011740869	622.0348773	0.000603998
E11	3°„C	3°„C		NONE	Ammonia	1.601	Red	Post	0.009242788	656.0330853	0.000450845
E12	UR	0°„C	UR	UR	Ammonia	1.589	Red	Post	0.009477899	520.2204033	0.000583008
E2	7°„C	7°„C		NONE	Ammonia	1.533	Red	Post	0.010599095	784.4387058	0.000432374
E3	UR	0°„C	UR	UR	No Ammonia	1.551	Red	Post	0.010234305	521.7631767	0.000627675
E4	4°„C	4°„C	4°„C	NONE	Ammonia	1.433	Red	Post	0.012707109	688.5819035	0.000590529
E5	3°„C	3°„C		NONE	Ammonia	1.543	Red	Post	0.010395908	654.5107009	0.000508271
E6	RU	0°„C	RU	RU	Ammonia	1.457	Red	Post	0.012188066	561.9354868	0.000694062
E7	4°„C	4°„C	4°„C	NONE	Ammonia	1.551	Red	Post	0.010234305	687.504701	0.000476357
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.549	Red	Post	0.010274628	566.4816887	0.000580404
E9	2°„C	2°„C		NONE	Ammonia	1.556	Red	Post	0.010133726	622.0086139	0.000521342
F1	RU	0°„C	RU	RU	Ammonia	1.56	Red	Post	0.010053494	561.6053939	0.000572843
F10	6°„C	6°„C		NONE	Ammonia	1.58	Red	Post	0.0096554	703.2513789	0.000439349
F11	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.55	Red	Post	0.01025446	568.2869897	0.000577424
F12	2°„C	2°„C		NONE	Ammonia	1.596	Red	Post	0.009340536	620.9073982	0.000481388
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU+4°„C	Ammonia	1.547	Red	Post	0.010315002	667.6246241	0.00049441
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.499	Red	Post	0.011299982	687.689493	0.000525818
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.541	Red	Post	0.01043644	502.7580609	0.000664268
F5	CONTROL	0°„C	CONTROL	NONE	No Ammonia	1.589	Red	Post	0.009477899	542.8869125	0.000558667
F6	5°„C	5°„C		NONE	Ammonia	1.517	Red	Post	0.010926967	716.9714533	0.000487694
F7	8°„C	8°„C		NONE	Ammonia	1.51	Red	Post	0.0110715	818.0384424	0.000433095
F8	2°„C	2°„C		NONE	No Ammonia	1.504	Red	Post	0.011195919	609.2640359	0.000588036
F9	RU	0°„C	RU	RU	No Ammonia	1.564	Red	Post	0.009973469	566.6371707	0.000563237
G1	2°„C	2°„C		NONE	No Ammonia	1.553	Red	Post	0.010194034	623.0917118	0.000523533
G10	2°„C	2°„C		NONE	No Ammonia	1.501	Red	Post	0.011258315	622.253695	0.00057897
G11	5°„C	5°„C		NONE	Ammonia	1.548	Red	Post	0.010294808	720.1580488	0.000457447
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.515	Red	Post	0.010968194	687.7497047	0.000510334
G2	1°„C	1°„C		NONE	Ammonia	1.602	Red	Post	0.009223275	590.9402444	0.000499449
G3	2°„C	2°„C		NONE	No Ammonia	1.552	Red	Post	0.010214163	621.083394	0.000526263
G4	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	No Ammonia	1.585	Red	Post	0.009556664	689.654402	0.00044343
