Pond	Group	Temperature	Treatment	Chemical	Ammonia	Weight	Type	Dosing	K	Sum	KDD	Temp
A2	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.527	RedA	Post	0.010721644	536.7335952	0.000639223	0
A6	4°„C	4°„C	4°„C	NONE	Ammonia	1.526	RedA	Post	0.010742116	686.4079224	0.000500792	4
A9	2°„C	2°„C	NONE	NONE	Ammonia	1.532	RedA	Post	0.010619487	491.2156696	0.000691801	2
B11	2°„C	2°„C	NONE	NONE	Ammonia	1.588	RedA	Post	0.009497571	621.953428	0.000488658	2
B12	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.628	RedA	Post	0.008720168	546.4831085	0.00051062	0
B2	UR	0°„C	UR	UR	Ammonia	1.609	RedA	Post	0.009087024	524.648602	0.000554247	0
B8	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.537	RedA	Post	0.010517662	448.3988604	0.000750593	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.543	RedA	Post	0.010395908	553.2492177	0.000601301	0
C10	4°„C	4°„C	4°„C	NONE	Ammonia	1.535	RedA	Post	0.010558352	687.9237416	0.000491141	4
C12	RU	0°„C	RU	RU	Ammonia	1.561	RedA	Post	0.010033469	569.2269491	0.000564047	0
C2	2°„C	2°„C	NONE	NONE	Ammonia	1.524	RedA	Post	0.0107831	621.913309	0.000554835	2
C4	8°„C	8°„C	NONE	NONE	Ammonia	1.541	RedA	Post	0.01043644	785.9408731	0.000424925	8
C5	2°„C	2°„C	NONE	NONE	Ammonia	1.589	RedA	Post	0.009477899	622.4863337	0.000487228	2
D10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.519	RedA	Post	0.010885794	558.5367533	0.000623675	0
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.536	RedA	Post	0.010538	689.3842741	0.000489155	4
D2	4°„C	4°„C	4°„C	NONE	Ammonia	1.565	RedA	Post	0.009953494	686.6259892	0.00046388	4
D3	6°„C	6°„C	NONE	NONE	Ammonia	1.505	RedA	Post	0.011175148	753.3781184	0.000474668	6
D4	2°„C	2°„C	NONE	NONE	Ammonia	1.604	RedA	Post	0.009184285	618.9731682	0.000474814	2
D5	UR	0°„C	UR	UR	Ammonia	1.596	RedA	Post	0.009340536	551.6865593	0.000541788	0
E11	3°„C	3°„C	NONE	NONE	Ammonia	1.601	RedA	Post	0.009242788	656.0330853	0.000450845	3
E12	UR	0°„C	UR	UR	Ammonia	1.589	RedA	Post	0.009477899	520.2204033	0.000583008	0
E2	7°„C	7°„C	NONE	NONE	Ammonia	1.533	RedA	Post	0.010599095	784.4387058	0.000432374	7
E4	4°„C	4°„C	4°„C	NONE	Ammonia	1.433	RedA	Post	0.012707109	688.5819035	0.000590529	4
E5	3°„C	3°„C	NONE	NONE	Ammonia	1.543	RedA	Post	0.010395908	654.5107009	0.000508271	3
E6	RU	0°„C	RU	RU	Ammonia	1.457	RedA	Post	0.012188066	561.9354868	0.000694062	0
E7	4°„C	4°„C	4°„C	NONE	Ammonia	1.551	RedA	Post	0.010234305	687.504701	0.000476357	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.549	RedA	Post	0.010274628	566.4816887	0.000580404	0
E9	2°„C	2°„C	NONE	NONE	Ammonia	1.556	RedA	Post	0.010133726	622.0086139	0.000521342	2
F1	RU	0°„C	RU	RU	Ammonia	1.56	RedA	Post	0.010053494	561.6053939	0.000572843	0
F10	6°„C	6°„C	NONE	NONE	Ammonia	1.58	RedA	Post	0.0096554	703.2513789	0.000439349	6
F12	2°„C	2°„C	NONE	NONE	Ammonia	1.596	RedA	Post	0.009340536	620.9073982	0.000481388	2
F2	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.547	RedA	Post	0.010315002	667.6246241	0.00049441	4
F3	4°„C	4°„C	4°„C	NONE	Ammonia	1.499	RedA	Post	0.011299982	687.689493	0.000525818	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.541	RedA	Post	0.01043644	502.7580609	0.000664268	0
F6	5°„C	5°„C	NONE	NONE	Ammonia	1.517	RedA	Post	0.010926967	716.9714533	0.000487694	5
F7	8°„C	8°„C	NONE	NONE	Ammonia	1.51	RedA	Post	0.0110715	818.0384424	0.000433095	8
G11	5°„C	5°„C	NONE	NONE	Ammonia	1.548	RedA	Post	0.010294808	720.1580488	0.000457447	5
G12	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.515	RedA	Post	0.010968194	687.7497047	0.000510334	4
G2	1°„C	1°„C	NONE	NONE	Ammonia	1.602	RedA	Post	0.009223275	590.9402444	0.000499449	1
G7	RU	0°„C	RU	RU	Ammonia	1.436	RedA	Post	0.012641755	568.0331778	0.00071217	0
G9	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	Ammonia	1.528	RedA	Post	0.010701186	684.3270204	0.000500401	4
H1	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.543	RedA	Post	0.010395908	552.322465	0.00060231	0
H10	CONTROL	0°„C	CONTROL	NONE	Ammonia	1.486	RedA	Post	0.011572178	550.0485948	0.000673231	0
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.618	RedA	Post	0.008912713	538.8459203	0.000529292	0
H6	UR	0°„C	UR	UR	Ammonia	1.621	RedA	Post	0.008854825	558.59067	0.000507267	0
H7	7°„C	7°„C	NONE	NONE	Ammonia	1.498	RedA	Post	0.011320836	778.6621333	0.000465243	7
H8	4°„C	4°„C	4°„C	NONE	Ammonia	1.583	RedA	Post	0.009596121	687.7788463	0.000446475	4
H9	1°„C	1°„C	NONE	NONE	Ammonia	1.5225	RedA	Post	0.010813873	588.7049609	0.000587805	1
