Ponds	Apr12	May17
A1	27	144
A2	70	80
A3	140	356
A4	24	148
A5	23	83
A6	526	1557
A7	33	88
A8	31	155
A9	621	1481
A10	20	41
A11	29	33
A12	36	55
B1	29	52
B2	26	128
B3	70	76
B4	12	34
B5	37	112
B6	185	433
B7	260	347
B8	81	291
B9	29	43
B10	23	97
B11	756	287
B12	860	1093
C1	72	142
C2	2994	9486
C3	47	157
C4	20	96
C5	252	625
C6	12	38
C7	15	26
C8	15	82
C9	44	159
C10	166	418
C11	36	88
C12	65	293
D1	24	52
D2	312	85
D3	1239	4649
D4	73	724
D5	150	402
D6	129	240
D7	39	107
D8	33	59
D9	24	138
D10	41	125
D11	20	90
D12	11	36
E1	62	101
E2	16	109
E3	31	26
E4	16	49
E5	405	1707
E6	25	120
E7	52	259
E8	29	70
E9	185	874
E10	27	56
E11	108	404
E12	28	87
F1	39	175
F2	18	39
F3	71	121
F4	12	34
F5	35	39
F6	9	119
F7	467	1154
F8	106	146
F9	30	31
F10	25	79
F11	159	46
F12	301	720
G1	14	26
G2	135	333
G3	34	116
G4	31	57
G5	204	229
G6	18	44
G7	23	134
G8	15	58
G9	19	25
G10	31	183
G11	1083	2681
G12	12	79
H1	231	1118
H2	27	79
H3	21	97
H4	125	77
H5	398	439
H6	122	305
H7	630	307
H8	440	1149
H9	62	355
H10	536	1845
H11	491	648
H12	75	74
