Pond,Date,Mean_temp_A,Mean_temp_B,Mean_temp,Dosing
A1,2022/3/28,14.28022319,14.28898212,14.28460266,Pre
A10,2022/3/28,9.613802125,9.538466361,9.576134243,Pre
A11,2022/3/28,14.33610774,14.33905903,14.33758339,Pre
A12,2022/3/28,10.99276372,11.07738124,11.03507248,Pre
A2,2022/3/28,9.753974743,9.775264073,9.764619408,Pre
A3,2022/3/28,14.75602767,15.29711743,15.02657255,Pre
A4,2022/3/28,10.44392853,10.44512276,10.44452565,Pre
A5,2022/3/28,11.26095007,11.33748947,11.29921977,Pre
A6,2022/3/28,14.20240826,14.3028734,14.25264083,Pre
A7,2022/3/28,10.4407472,10.49617203,10.46845962,Pre
A8,2022/3/28,15.28618059,15.34574865,15.31596462,Pre
A9,2022/3/28,12.22067938,12.30428302,12.2624812,Pre
B1,2022/3/28,11.14161312,11.30592337,11.22376825,Pre
B10,2022/3/28,16.4825084,18.31123722,17.39687281,Pre
B11,2022/3/28,12.27127823,12.30275035,12.28701429,Pre
B12,2022/3/28,10.18813418,10.13231372,10.16022395,Pre
B2,2022/3/28,9.656976389,9.612133649,9.634555019,Pre
B3,2022/3/28,15.28152563,16.29247122,15.78699843,Pre
B4,2022/3/28,10.44076286,10.43612679,10.43844483,Pre
B5,2022/3/28,10.35446405,10.41705563,10.38575984,Pre
B6,2022/3/28,16.65668924,17.31363444,16.98516184,Pre
B7,2022/3/28,13.30137451,13.2639866,13.28268056,Pre
B8,2022/3/28,10.61558179,10.6259311,10.62075645,Pre
B9,2022/3/28,14.29331854,14.25853497,14.27592676,Pre
C1,2022/3/28,9.890753691,10.27947032,10.08511201,Pre
C10,2022/3/28,14.2694308,14.29743174,14.28343127,Pre
C11,2022/3/28,17.30597243,17.32737698,17.31667471,Pre
C12,2022/3/28,10.93923837,10.92019508,10.92971673,Pre
C2,2022/3/28,12.27300521,12.29964042,12.28632282,Pre
C3,2022/3/28,14.30005622,14.28222208,14.29113915,Pre
C4,2022/3/28,15.91951948,18.30890889,17.11421419,Pre
C5,2022/3/28,12.28539101,12.31171125,12.29855113,Pre
C6,2022/3/28,10.27335752,10.24706215,10.26020984,Pre
C7,2022/3/28,12.30048875,12.2926025,12.29654563,Pre
C8,2022/3/28,14.44269667,14.45615503,14.44942585,Pre
C9,2022/3/28,10.75014428,10.80021401,10.77517915,Pre
D1,2022/3/28,10.44643101,10.46754911,10.45699006,Pre
D10,2022/3/28,10.1579542,10.26536763,10.21166092,Pre
D11,2022/3/28,14.22526726,14.3161199,14.27069358,Pre
D12,2022/3/28,14.26188906,14.29978802,14.28083854,Pre
D2,2022/3/28,14.29175729,14.21303698,14.25239714,Pre
D3,2022/3/28,16.28733389,16.26482354,16.27607872,Pre
D4,2022/3/28,11.99393347,12.31155556,12.15274452,Pre
D5,2022/3/28,10.11167263,10.12107716,10.1163749,Pre
D6,2022/3/28,9.742566799,9.736570875,9.739568837,Pre
D7,2022/3/28,14.32478917,14.33367396,14.32923157,Pre
D8,2022/3/28,10.71892618,10.7515458,10.73523599,Pre
D9,2022/3/28,16.31368729,16.25052424,16.28210577,Pre
E1,2022/3/28,14.30050233,14.28535313,14.29292773,Pre
E10,2022/3/28,12.28031417,12.29110688,12.28571053,Pre
E11,2022/3/28,13.30133337,13.30911219,13.30522278,Pre
E12,2022/3/28,9.651884583,9.679771684,9.665828134,Pre
E2,2022/3/28,17.13304465,17.2861634,17.20960403,Pre
E3,2022/3/28,8.990597205,8.990597205,8.990597205,Pre
E4,2022/3/28,14.3127974,14.33295566,14.32287653,Pre
E5,2022/3/28,13.34220649,13.31870653,13.33045651,Pre
E6,2022/3/28,10.61969976,10.65141735,10.63555856,Pre
E7,2022/3/28,14.24089653,14.29842962,14.26966308,Pre
E8,2022/3/28,10.73468416,10.76409254,10.74938835,Pre
E9,2022/3/28,12.2929901,12.3033442,12.29816715,Pre
F1,2022/3/28,10.28996576,10.3258884,10.30792708,Pre
F10,2022/3/28,16.40060483,13.40251844,14.90156164,Pre
F11,2022/3/28,10.65884659,10.65345814,10.65615237,Pre
F12,2022/3/28,12.3038833,12.21576438,12.25982384,Pre
F2,2022/3/28,13.07282608,14.32129781,13.69706195,Pre
F3,2022/3/28,14.3044241,14.25932003,14.28187207,Pre
F4,2022/3/28,10.62125711,10.70132044,10.66128878,Pre
F5,2022/3/28,10.25648059,10.24228039,10.24938049,Pre
F6,2022/3/28,15.32917455,15.19211139,15.26064297,Pre
F7,2022/3/28,18.29065028,18.22044382,18.25554705,Pre
F8,2022/3/28,11.73592221,12.30155913,12.01874067,Pre
F9,2022/3/28,10.66357916,10.62072116,10.64215016,Pre
G1,2022/3/28,12.31795497,12.32391844,12.32093671,Pre
G10,2022/3/28,12.31491153,12.30476757,12.30983955,Pre
G11,2022/3/28,15.19856167,15.29376392,15.2461628,Pre
G12,2022/3/28,14.24155135,14.30284677,14.27219906,Pre
G2,2022/3/28,11.27585475,11.31304512,11.29444994,Pre
G3,2022/3/28,12.30344469,12.25230844,12.27787657,Pre
G4,2022/3/28,14.50725646,14.52385059,14.51555353,Pre
G5,2022/3/28,13.36014906,13.32053101,13.34034004,Pre
G6,2022/3/28,10.22029677,10.22759391,10.22394534,Pre
G7,2022/3/28,10.51982266,10.56603615,10.54292941,Pre
G8,2022/3/28,10.22037614,10.23551474,10.22794544,Pre
G9,2022/3/28,14.29298767,13.92523528,14.10911148,Pre
H1,2022/3/28,9.984462965,10.06162568,10.02304432,Pre
H10,2022/3/28,10.08502233,10.12541374,10.10521804,Pre
H11,2022/3/28,13.31457378,14.32968878,13.82213128,Pre
H12,2022/3/28,9.972989281,9.948111813,9.960550547,Pre
H2,2022/3/28,9.558816097,9.544925781,9.551870939,Pre
H3,2022/3/28,18.27394563,18.27394563,18.27394563,Pre
H4,2022/3/28,14.28789667,14.35360031,14.32074849,Pre
H5,2022/3/28,12.36525233,11.9372751,12.15126372,Pre
H6,2022/3/28,10.35182427,10.39170348,10.37176388,Pre
H7,2022/3/28,16.93254524,17.31030924,17.12142724,Pre
H8,2022/3/28,14.30001715,14.28244778,14.29123247,Pre
H9,2022/3/28,11.31291556,11.26585819,11.28938688,Pre
A1,2022/3/29,16.03434191,16.04285514,16.03859853,Pre
A10,2022/3/29,10.97687503,10.9023108,10.93959292,Pre
A11,2022/3/29,16.08577642,16.09208681,16.08893162,Pre
A12,2022/3/29,12.59450472,12.6648026,12.62965366,Pre
A2,2022/3/29,11.62985576,11.65147208,11.64066392,Pre
A3,2022/3/29,16.51002274,17.04117194,16.77559734,Pre
A4,2022/3/29,12.17674045,12.17556767,12.17615406,Pre
A5,2022/3/29,13.00147372,13.07206816,13.03677094,Pre
A6,2022/3/29,15.9660867,16.05390531,16.00999601,Pre
A7,2022/3/29,12.22154524,12.28487767,12.25321146,Pre
A8,2022/3/29,17.04650351,17.08847465,17.06748908,Pre
A9,2022/3/29,13.97696927,14.06084951,14.01890939,Pre
B1,2022/3/29,12.89265069,13.06925792,12.98095431,Pre
B10,2022/3/29,17.94870684,20.03867257,18.99368971,Pre
B11,2022/3/29,14.02600538,14.05918938,14.04259738,Pre
B12,2022/3/29,12.01040608,11.95927111,11.9848386,Pre
B2,2022/3/29,11.39481649,11.35294146,11.37387898,Pre
B3,2022/3/29,16.94303694,18.04613361,17.49458528,Pre
B4,2022/3/29,12.1865126,12.18022861,12.18337061,Pre
B5,2022/3/29,12.10035003,12.16063139,12.13049071,Pre
B6,2022/3/29,18.37324712,19.0489583,18.71110271,Pre
B7,2022/3/29,15.05968767,15.02909118,15.04438943,Pre
B8,2022/3/29,12.3327784,12.33577684,12.33427762,Pre
B9,2022/3/29,16.04890656,16.00692753,16.02791705,Pre
C1,2022/3/29,11.61629219,12.03098861,11.8236404,Pre
