Pond,Date,Mean_temp_A,Mean_temp_B,Mean_temp,Dosing
A1,2021/3/5,9.232444167,9.230681375,9.231562771,Pre
A10,2021/3/5,5.515622778,5.45039125,5.483007014,Pre
A11,2021/3/5,9.219028069,9.236677556,9.227852813,Pre
A12,2021/3/5,5.505698896,5.556595646,5.531147271,Pre
A2,2021/3/5,5.056667889,5.072233521,5.064450705,Pre
A3,2021/3/5,9.945043139,10.22953641,10.08728977,Pre
A4,2021/3/5,5.252870042,5.249033837,5.25095194,Pre
A5,2021/3/5,6.193373226,6.260688882,6.227031054,Pre
A6,2021/3/5,9.174814719,9.237409125,9.206111922,Pre
A7,2021/3/5,5.21860241,5.202098542,5.210350476,Pre
A8,2021/3/5,10.09827371,10.2268255,10.16254961,Pre
A9,2021/3/5,7.160797903,7.247840399,7.204319151,Pre
B1,2021/3/5,6.247720802,6.262788375,6.255254589,Pre
B10,2021/3/5,11.98855222,13.2162824,12.60241731,Pre
B11,2021/3/5,7.212320608,7.241779441,7.227050025,Pre
B12,2021/3/5,5.369923375,5.328926167,5.349424771,Pre
B2,2021/3/5,5.095535149,5.044413003,5.069974076,Pre
B3,2021/3/5,10.87254323,11.2258576,11.04920042,Pre
B4,2021/3/5,5.238051521,5.227777882,5.232914702,Pre
B5,2021/3/5,5.289871552,5.348012208,5.31894188,Pre
B6,2021/3/5,11.73767358,12.23983604,11.98875481,Pre
B7,2021/3/5,8.246118573,8.221489066,8.23380382,Pre
B8,2021/3/5,5.341456347,5.348104632,5.34478049,Pre
B9,2021/3/5,9.228910184,9.169216181,9.199063183,Pre
C1,2021/3/5,5.063195271,5.280280792,5.171738032,Pre
C10,2021/3/5,9.222604545,9.239738632,9.231171589,Pre
C11,2021/3/5,12.22173844,12.22385431,12.22279638,Pre
C12,2021/3/5,5.49410392,5.480257604,5.487180762,Pre
C2,2021/3/5,7.234887142,7.231134403,7.233010773,Pre
C3,2021/3/5,9.230874528,9.203956521,9.217415525,Pre
C4,2021/3/5,12.26274271,13.21680899,12.73977585,Pre
C5,2021/3/5,7.218216035,7.253185639,7.235700837,Pre
C6,2021/3/5,5.343605948,5.31890776,5.331256854,Pre
C7,2021/3/5,7.249831309,7.242855149,7.246343229,Pre
C8,2021/3/5,9.219556615,9.238280392,9.228918504,Pre
C9,2021/3/5,5.346373493,5.383701965,5.365037729,Pre
D1,2021/3/5,5.303140424,5.318780319,5.310960372,Pre
D10,2021/3/5,5.220391406,5.293694653,5.25704303,Pre
D11,2021/3/5,9.147840615,9.238610372,9.193225494,Pre
D12,2021/3/5,9.213252806,9.244604642,9.228928724,Pre
D2,2021/3/5,9.235046403,9.19365151,9.214348957,Pre
D3,2021/3/5,11.20358608,11.22953583,11.21656096,Pre
D4,2021/3/5,7.229563309,7.238694743,7.234129026,Pre
D5,2021/3/5,5.348338181,5.353347427,5.350842804,Pre
D6,2021/3/5,4.952705545,4.930019097,4.941362321,Pre
D7,2021/3/5,9.202598688,9.233097545,9.217848117,Pre
D8,2021/3/5,5.463078007,5.489285983,5.476181995,Pre
D9,2021/3/5,11.22665299,11.20200181,11.2143274,Pre
E1,2021/3/5,9.23983375,9.226467771,9.233150761,Pre
E10,2021/3/5,7.225722455,7.25443374,7.240078098,Pre
E11,2021/3/5,8.234697951,8.24751676,8.241107356,Pre
E12,2021/3/5,5.298621778,5.381677802,5.34014979,Pre
E2,2021/3/5,12.20053715,12.21877135,12.20965425,Pre
E3,2021/3/5,5.557137917,5.557137917,5.557137917,Pre
E4,2021/3/5,9.212550163,9.23662016,9.224585162,Pre
E5,2021/3/5,8.232971486,8.191318788,8.212145137,Pre
E6,2021/3/5,5.402423642,5.421437521,5.411930582,Pre
E7,2021/3/5,9.183523413,9.233804,9.208663707,Pre
E8,2021/3/5,5.279600233,5.312659656,5.296129945,Pre
E9,2021/3/5,7.229535806,7.241490944,7.235513375,Pre
F1,2021/3/5,5.171108396,5.203453854,5.187281125,Pre
F10,2021/3/5,11.23785653,10.07317231,10.65551442,Pre
F11,2021/3/5,5.250301569,5.230519545,5.240410557,Pre
F12,2021/3/5,7.260697663,7.190215733,7.225456698,Pre
F2,2021/3/5,8.535534573,9.233747417,8.884640995,Pre
F3,2021/3/5,9.240044236,9.217408375,9.228726306,Pre
F4,2021/3/5,5.41486526,5.328082372,5.371473816,Pre
F5,2021/3/5,5.040681194,5.01849559,5.029588392,Pre
F6,2021/3/5,10.23098413,10.17037034,10.20067724,Pre
F7,2021/3/5,13.21358826,13.15452174,13.184055,Pre
F8,2021/3/5,6.930088535,7.247665563,7.088877049,Pre
F9,2021/3/5,5.369991861,5.32308966,5.346540761,Pre
G1,2021/3/5,7.26307909,7.262392458,7.262735774,Pre
G10,2021/3/5,7.244983247,7.231750563,7.238366905,Pre
G11,2021/3/5,10.12651569,10.22492855,10.17572212,Pre
G12,2021/3/5,9.177787587,9.233606205,9.205696896,Pre
G2,2021/3/5,6.233971708,6.258696354,6.246334031,Pre
G3,2021/3/5,7.247966455,7.272665604,7.26031603,Pre
G4,2021/3/5,9.239689396,9.251404087,9.245546742,Pre
G5,2021/3/5,8.230076951,8.223297757,8.226687354,Pre
G6,2021/3/5,5.025373448,5.039687014,5.032530231,Pre
G7,2021/3/5,5.072735191,5.104834135,5.088784663,Pre
G8,2021/3/5,5.137367646,5.154573087,5.145970367,Pre
G9,2021/3/5,9.222866378,9.206706597,9.214786488,Pre
H1,2021/3/5,5.012127455,5.090460549,5.051294002,Pre
H10,2021/3/5,5.231323924,5.266789681,5.249056803,Pre
H11,2021/3/5,8.953971097,9.240740965,9.097356031,Pre
H12,2021/3/5,5.270950806,5.242132003,5.256541405,Pre
H2,2021/3/5,4.887711038,4.888320194,4.888015616,Pre
H3,2021/3/5,12.06404538,12.06404538,12.06404538,Pre
H4,2021/3/5,9.190585243,9.234873184,9.212729214,Pre
H5,2021/3/5,7.240857729,7.091801587,7.166329658,Pre
H6,2021/3/5,5.232044382,5.263489378,5.24776688,Pre
H7,2021/3/5,12.10683056,12.21917795,12.16300426,Pre
H8,2021/3/5,9.233885847,9.212037316,9.222961582,Pre
H9,2021/3/5,6.250478358,6.218896778,6.234687568,Pre
A1,2021/3/6,8.81635234,8.812358899,8.81435562,Pre
A10,2021/3/6,4.837233653,4.768419632,4.802826643,Pre
A11,2021/3/6,8.799561976,8.812960639,8.806261308,Pre
A12,2021/3/6,4.821763219,4.875267424,4.848515322,Pre
A2,2021/3/6,4.738115264,4.753058948,4.745587106,Pre
A3,2021/3/6,9.412924222,9.810816333,9.611870278,Pre
A4,2021/3/6,4.833268382,4.823447972,4.828358177,Pre
A5,2021/3/6,5.841618247,5.912174601,5.876896424,Pre
A6,2021/3/6,8.750462465,8.810160038,8.780311252,Pre
A7,2021/3/6,4.792568972,4.775875128,4.78422205,Pre
A8,2021/3/6,9.70619649,9.815112181,9.760654336,Pre
A9,2021/3/6,6.750915073,6.84041333,6.795664202,Pre
B1,2021/3/6,5.897731781,5.914643219,5.9061875,Pre
B10,2021/3/6,11.67918431,12.80060302,12.23989367,Pre
B11,2021/3/6,6.797013191,6.826708563,6.811860877,Pre
B12,2021/3/6,4.849820344,4.805457115,4.82763873,Pre
B2,2021/3/6,4.661119611,4.609122382,4.635120997,Pre
B3,2021/3/6,10.35172765,10.80541421,10.57857093,Pre
B4,2021/3/6,4.815141125,4.805229712,4.810185419,Pre
B5,2021/3/6,4.66683442,4.72618499,4.696509705,Pre
B6,2021/3/6,11.30081413,11.83779799,11.56930606,Pre
B7,2021/3/6,7.835991444,7.808752337,7.822371891,Pre
B8,2021/3/6,4.796327698,4.804920396,4.800624047,Pre
B9,2021/3/6,8.821053743,8.757850483,8.789452113,Pre
C1,2021/3/6,4.632195424,4.841203469,4.736699447,Pre
C10,2021/3/6,8.806184858,8.821661014,8.813922936,Pre
C11,2021/3/6,11.80522253,11.8095116,11.80736707,Pre
C12,2021/3/6,4.853881691,4.840905976,4.847393834,Pre
C2,2021/3/6,6.816865549,6.817655667,6.817260608,Pre
C3,2021/3/6,8.814923698,8.78628049,8.800602094,Pre
C4,2021/3/6,11.99046198,12.80269663,12.39657931,Pre
C5,2021/3/6,6.796515625,6.831253118,6.813884372,Pre
C6,2021/3/6,4.780842927,4.757265347,4.769054137,Pre
C7,2021/3/6,6.831324042,6.819886878,6.82560546,Pre
C8,2021/3/6,8.804129392,8.822599903,8.813364648,Pre
C9,2021/3/6,4.783307198,4.825118726,4.804212962,Pre
D1,2021/3/6,4.767545708,4.782975872,4.77526079,Pre
D10,2021/3/6,4.769969226,4.84582158,4.807895403,Pre
D11,2021/3/6,8.749088708,8.835693316,8.792391012,Pre
D12,2021/3/6,8.789505344,8.821619642,8.805562493,Pre
D2,2021/3/6,8.823953073,8.780288712,8.802120893,Pre
D3,2021/3/6,10.79634673,10.81802585,10.80718629,Pre
D4,2021/3/6,6.819202045,6.828151,6.823676523,Pre
D5,2021/3/6,4.772929313,4.776905646,4.77491748,Pre
D6,2021/3/6,4.629670247,4.607590188,4.618630218,Pre
D7,2021/3/6,8.791685063,8.818002309,8.804843686,Pre
D8,2021/3/6,4.834245983,4.86262941,4.848437697,Pre
D9,2021/3/6,10.81007018,10.78311955,10.79659487,Pre
E1,2021/3/6,8.825766424,8.810306552,8.818036488,Pre
E10,2021/3/6,6.818759917,6.846274236,6.832517077,Pre
E11,2021/3/6,7.831840694,7.845109705,7.8384752,Pre
E12,2021/3/6,4.648895764,4.732995319,4.690945542,Pre
E2,2021/3/6,11.78931243,11.80575094,11.79753169,Pre
E3,2021/3/6,4.967801257,4.967801257,4.967801257,Pre
E4,2021/3/6,8.802341622,8.814454313,8.808397968,Pre
E5,2021/3/6,7.821994108,7.784645351,7.80331973,Pre
E6,2021/3/6,4.828772333,4.848356267,4.8385643,Pre
E7,2021/3/6,8.764692684,8.820371969,8.792532327,Pre
E8,2021/3/6,4.771582399,4.805018788,4.788300594,Pre
E9,2021/3/6,6.844117243,6.85499001,6.849553627,Pre
F1,2021/3/6,4.783072167,4.82144742,4.802259794,Pre
F10,2021/3/6,10.8332679,9.533713892,10.1834909,Pre
F11,2021/3/6,4.872061448,4.853751278,4.862906363,Pre
F12,2021/3/6,6.851555323,6.782746271,6.817150797,Pre
F2,2021/3/6,8.031990569,8.839770576,8.435880573,Pre
F3,2021/3/6,8.826111132,8.800517337,8.813314235,Pre
F4,2021/3/6,4.883257104,4.79989101,4.841574057,Pre
F5,2021/3/6,4.704400705,4.680933521,4.692667113,Pre
F6,2021/3/6,9.820415583,9.761486024,9.790950804,Pre
F7,2021/3/6,12.80095146,12.73716378,12.76905762,Pre
F8,2021/3/6,6.576162712,6.880113434,6.728138073,Pre
F9,2021/3/6,4.760549608,4.715307191,4.7379284,Pre
G1,2021/3/6,6.866344135,6.86309266,6.864718398,Pre
G10,2021/3/6,6.888776997,6.876563611,6.882670304,Pre
G11,2021/3/6,9.711783757,9.809746302,9.76076503,Pre
G12,2021/3/6,8.771943302,8.828305285,8.800124294,Pre
G2,2021/3/6,5.843934052,5.870165267,5.85704966,Pre
G3,2021/3/6,6.802856809,6.834593382,6.818725096,Pre
G4,2021/3/6,8.830090479,8.84558267,8.837836575,Pre
G5,2021/3/6,7.818513236,7.811350392,7.814931814,Pre
G6,2021/3/6,4.639650351,4.651861764,4.645756058,Pre
G7,2021/3/6,4.657395031,4.686800059,4.672097545,Pre
G8,2021/3/6,4.763100076,4.781542056,4.772321066,Pre
G9,2021/3/6,8.812644677,8.803239469,8.807942073,Pre
H1,2021/3/6,4.713470125,4.791896292,4.752683209,Pre
H10,2021/3/6,4.850853083,4.888983813,4.869918448,Pre
H11,2021/3/6,8.419244632,8.824021451,8.621633042,Pre
H12,2021/3/6,4.791455313,4.754585462,4.773020388,Pre
H2,2021/3/6,4.547225604,4.545700493,4.546463049,Pre
H3,2021/3/6,12.36936566,12.36936566,12.36936566,Pre
H4,2021/3/6,8.771594441,8.820972198,8.79628332,Pre
H5,2021/3/6,6.837741274,6.700238306,6.76898979,Pre
H6,2021/3/6,4.714539646,4.74529766,4.729918653,Pre
H7,2021/3/6,11.67005837,11.81423976,11.74214907,Pre
H8,2021/3/6,8.816212087,8.800397347,8.808304717,Pre
H9,2021/3/6,5.878139677,5.846888059,5.862513868,Pre
A1,2021/3/7,9.038568691,9.031743552,9.035156122,Pre
A10,2021/3/7,4.995750896,4.927957479,4.961854188,Pre
A11,2021/3/7,9.025844983,9.040318698,9.033081841,Pre
A12,2021/3/7,5.071201024,5.137813003,5.104507014,Pre
A2,2021/3/7,4.938811483,4.950084264,4.944447874,Pre
A3,2021/3/7,9.588056615,10.03453844,9.811297528,Pre
A4,2021/3/7,5.020963948,5.008802878,5.014883413,Pre
A5,2021/3/7,6.000991833,6.074988052,6.037989943,Pre
A6,2021/3/7,8.978507635,9.037228115,9.007867875,Pre
A7,2021/3/7,5.010661188,4.991716799,5.001188994,Pre
A8,2021/3/7,9.941113587,10.03776464,9.989439114,Pre
A9,2021/3/7,6.963055097,7.052576785,7.007815941,Pre
B1,2021/3/7,6.070753656,6.090210712,6.080482184,Pre
B10,2021/3/7,11.78691368,13.02173854,12.40432611,Pre
B11,2021/3/7,7.030196014,7.059601583,7.044898799,Pre
B12,2021/3/7,5.109487951,5.060756007,5.085121979,Pre
B2,2021/3/7,4.78093792,4.729796299,4.75536711,Pre
B3,2021/3/7,10.51842807,11.03118823,10.77480815,Pre
B4,2021/3/7,5.023625378,5.01847241,5.021048894,Pre
B5,2021/3/7,4.790911861,4.851571708,4.821241785,Pre
B6,2021/3/7,11.44205014,12.05114983,11.74659999,Pre
B7,2021/3/7,8.051567642,8.023954073,8.037760858,Pre
B8,2021/3/7,5.069419649,5.081563722,5.075491686,Pre
B9,2021/3/7,9.036307257,8.969226174,9.002766716,Pre
C1,2021/3/7,4.775369323,4.988441899,4.881905611,Pre
C10,2021/3/7,9.029112458,9.041048611,9.035080535,Pre
C11,2021/3/7,12.0241708,12.03511865,12.02964473,Pre
C12,2021/3/7,5.108499837,5.095789153,5.102144495,Pre
C2,2021/3/7,7.040048215,7.043376198,7.041712207,Pre
C3,2021/3/7,9.037564931,9.010282688,9.02392381,Pre
C4,2021/3/7,12.09040903,13.02646951,12.55843927,Pre
C5,2021/3/7,7.025057986,7.058434313,7.04174615,Pre
C6,2021/3/7,4.981108854,4.959925003,4.970516929,Pre
C7,2021/3/7,7.052282941,7.037964281,7.045123611,Pre
C8,2021/3/7,9.029234677,9.04819351,9.038714094,Pre
C9,2021/3/7,5.032149545,5.079670806,5.055910176,Pre
D1,2021/3/7,4.930344205,4.941308774,4.93582649,Pre
D10,2021/3/7,4.990859771,5.06957674,5.030218256,Pre
D11,2021/3/7,8.975559604,9.058966941,9.017263273,Pre
D12,2021/3/7,9.019279656,9.0526905,9.035985078,Pre
D2,2021/3/7,9.03716509,8.993479622,9.015322356,Pre
D3,2021/3/7,11.01359517,11.03016337,11.02187927,Pre
D4,2021/3/7,7.042759358,7.049439851,7.046099605,Pre
D5,2021/3/7,4.960211347,4.962556889,4.961384118,Pre
D6,2021/3/7,4.778892986,4.759408215,4.769150601,Pre
D7,2021/3/7,9.015007267,9.043640618,9.029323943,Pre
D8,2021/3/7,5.088592424,5.114789056,5.10169074,Pre
D9,2021/3/7,11.03369573,11.00593535,11.01981554,Pre
E1,2021/3/7,9.043040854,9.029572778,9.036306816,Pre
E10,2021/3/7,7.033969125,7.065423611,7.049696368,Pre
E11,2021/3/7,8.087688601,8.103223493,8.095456047,Pre
E12,2021/3/7,4.914125753,4.99929584,4.956710797,Pre
E2,2021/3/7,12.01036719,12.02496885,12.01766802,Pre
E3,2021/3/7,5.190349639,5.190349639,5.190349639,Pre
E4,2021/3/7,9.031109615,9.03741342,9.034261518,Pre
E5,2021/3/7,8.044736743,8.007006628,8.025871686,Pre
E6,2021/3/7,5.051102628,5.075316965,5.063209797,Pre
E7,2021/3/7,8.985342236,9.043476382,9.014409309,Pre
E8,2021/3/7,5.029694531,5.064335063,5.047014797,Pre
E9,2021/3/7,7.031529799,7.041546191,7.036537995,Pre
F1,2021/3/7,4.941867083,4.98019766,4.961032372,Pre
F10,2021/3/7,11.04414486,9.641126045,10.34263545,Pre
F11,2021/3/7,5.157234899,5.139765028,5.148499964,Pre
F12,2021/3/7,7.05257584,6.987908007,7.020241924,Pre
F2,2021/3/7,8.150304236,9.049987368,8.600145802,Pre
F3,2021/3/7,9.037658566,9.010361611,9.024010089,Pre
F4,2021/3/7,5.126470035,5.042876993,5.084673514,Pre
F5,2021/3/7,4.836212063,4.812278997,4.82424553,Pre
F6,2021/3/7,10.03778595,9.976687135,10.00723654,Pre
F7,2021/3/7,13.03166583,12.96382427,12.99774505,Pre
F8,2021/3/7,6.766190056,7.066166563,6.91617831,Pre
F9,2021/3/7,5.002800146,4.958216115,4.980508131,Pre
G1,2021/3/7,7.056822944,7.056044108,7.056433526,Pre
G10,2021/3/7,7.05509309,7.047594517,7.051343804,Pre
G11,2021/3/7,9.931730788,10.03087378,9.981302284,Pre
G12,2021/3/7,8.993341618,9.048611413,9.020976516,Pre
G2,2021/3/7,6.046396392,6.073231521,6.059813957,Pre
G3,2021/3/7,7.02451941,7.065682656,7.045101033,Pre
G4,2021/3/7,9.041490531,9.058050938,9.049770735,Pre
G5,2021/3/7,8.05241174,8.041722184,8.047066962,Pre
G6,2021/3/7,4.757247795,4.76778533,4.762516563,Pre
G7,2021/3/7,4.837623243,4.868376552,4.852999898,Pre
G8,2021/3/7,4.981260125,4.995239323,4.988249724,Pre
G9,2021/3/7,9.046100608,9.037439649,9.041770129,Pre
H1,2021/3/7,4.795546208,4.878254385,4.836900297,Pre
H10,2021/3/7,5.100822479,5.142937868,5.121880174,Pre
H11,2021/3/7,8.523660694,9.041668337,8.782664516,Pre
H12,2021/3/7,4.930004549,4.890578156,4.910291353,Pre
H2,2021/3/7,4.646447649,4.643013559,4.644730604,Pre
H3,2021/3/7,12.67643851,12.67643851,12.67643851,Pre
H4,2021/3/7,8.987785868,9.042354705,9.015070287,Pre
H5,2021/3/7,7.055165462,6.898196156,6.976680809,Pre
H6,2021/3/7,4.912070139,4.942336073,4.927203106,Pre
H7,2021/3/7,11.89879813,12.04201896,11.97040855,Pre
H8,2021/3/7,9.03845524,9.028249007,9.033352124,Pre
H9,2021/3/7,6.066193972,6.036380892,6.051287432,Pre
A1,2021/3/8,9.308800805,9.303165652,9.305983229,Pre
A10,2021/3/8,5.120242516,5.0500757,5.085159108,Pre
A11,2021/3/8,9.296021568,9.308792666,9.302407117,Pre
A12,2021/3/8,5.294724017,5.365230317,5.329977167,Pre
A2,2021/3/8,5.206074798,5.217305889,5.211690344,Pre
A3,2021/3/8,9.754940707,10.30785034,10.03139552,Pre
A4,2021/3/8,5.313660787,5.297966979,5.305813883,Pre
A5,2021/3/8,6.286897557,6.361345258,6.324121408,Pre
A6,2021/3/8,9.247371714,9.309860721,9.278616218,Pre
A7,2021/3/8,5.313124547,5.298262401,5.305693474,Pre
A8,2021/3/8,10.22691243,10.3117527,10.26933257,Pre
A9,2021/3/8,7.247392505,7.338227666,7.292810086,Pre
B1,2021/3/8,6.327674847,6.349453575,6.338564211,Pre
B10,2021/3/8,11.95623895,13.29321394,12.62472645,Pre
B11,2021/3/8,7.284310185,7.313892707,7.299101446,Pre
B12,2021/3/8,5.356226983,5.304950334,5.330588659,Pre
B2,2021/3/8,4.963467951,4.915479233,4.939473592,Pre
B3,2021/3/8,10.75313466,11.30350571,11.02832019,Pre
B4,2021/3/8,5.289916206,5.285865683,5.287890945,Pre
B5,2021/3/8,4.954299397,5.015416711,4.984858054,Pre
B6,2021/3/8,11.63940526,12.3339584,11.98668183,Pre
B7,2021/3/8,8.334611449,8.305461199,8.320036324,Pre
B8,2021/3/8,5.356023425,5.368224307,5.362123866,Pre
B9,2021/3/8,9.30944923,9.240293,9.274871115,Pre
C1,2021/3/8,4.990283115,5.203643774,5.096963445,Pre
C10,2021/3/8,9.300569209,9.314338732,9.307453971,Pre
C11,2021/3/8,12.29599861,12.30585899,12.3009288,Pre
C12,2021/3/8,5.36035139,5.346857017,5.353604204,Pre
C2,2021/3/8,7.306937672,7.317499362,7.312218517,Pre
C3,2021/3/8,9.308279725,9.278549488,9.293414607,Pre
C4,2021/3/8,12.27920282,13.30136188,12.79028235,Pre
C5,2021/3/8,7.294663216,7.328668139,7.311665678,Pre
C6,2021/3/8,5.217942178,5.195951871,5.206947025,Pre
C7,2021/3/8,7.322307909,7.304038456,7.313173183,Pre
C8,2021/3/8,9.305077373,9.322206662,9.313642018,Pre
C9,2021/3/8,5.301242547,5.351009136,5.326125842,Pre
D1,2021/3/8,5.093228,5.107270362,5.100249181,Pre
D10,2021/3/8,5.283345289,5.364374537,5.323859913,Pre
D11,2021/3/8,9.264935599,9.346209108,9.305572354,Pre
D12,2021/3/8,9.29081424,9.323910857,9.307362549,Pre
D2,2021/3/8,9.313773213,9.268344669,9.291058941,Pre
D3,2021/3/8,11.29471439,11.30775627,11.30123533,Pre
D4,2021/3/8,7.310094091,7.318651735,7.314372913,Pre
D5,2021/3/8,5.171839258,5.174033906,5.172936582,Pre
D6,2021/3/8,5.003425683,4.987429833,4.995427758,Pre
D7,2021/3/8,9.293636714,9.318341627,9.305989171,Pre
D8,2021/3/8,5.34107362,5.367090484,5.354082052,Pre
D9,2021/3/8,11.31178875,11.28335383,11.29757129,Pre
E1,2021/3/8,9.320807084,9.305609902,9.313208493,Pre
E10,2021/3/8,7.31634439,7.343136146,7.329740268,Pre
E11,2021/3/8,8.345315226,8.35973161,8.352523418,Pre
E12,2021/3/8,5.144053826,5.227242307,5.185648067,Pre
E2,2021/3/8,12.28655533,12.30202739,12.29429136,Pre
E3,2021/3/8,5.190098265,5.190098265,5.190098265,Pre
E4,2021/3/8,9.307676889,9.313676554,9.310676722,Pre
E5,2021/3/8,8.32074639,8.288543167,8.304644779,Pre
E6,2021/3/8,5.283728091,5.309964401,5.296846246,Pre
E7,2021/3/8,9.250929098,9.311887317,9.281408208,Pre
E8,2021/3/8,5.329104192,5.363442993,5.346273593,Pre
E9,2021/3/8,7.323904794,7.332620746,7.32826277,Pre
F1,2021/3/8,5.166392373,5.205425868,5.185909121,Pre
F10,2021/3/8,11.32212774,9.805120927,10.56362433,Pre
F11,2021/3/8,5.534102132,5.518798732,5.526450432,Pre
F12,2021/3/8,7.329468038,7.261074544,7.295271291,Pre
F2,2021/3/8,8.44182553,9.346194767,8.894010149,Pre
