Pond,Post_sum,Post_mean
A1,616.8357978,15.81630251
A10,457.8572837,11.73993035
A11,616.4330288,15.8059751
A12,484.255719,12.41681331
A2,444.1734011,11.38906157
A4,464.4933336,11.91008548
A6,616.8448795,15.81653537
A7,462.8554604,11.86808873
B12,472.7578861,12.12199708
B2,450.7296829,11.55717136
B4,462.695013,11.86397469
B5,454.8967166,11.66401837
B8,466.2546926,11.95524853
B9,615.6682905,15.78636642
C1,451.2308243,11.57002114
C10,618.4635285,15.85803919
C12,468.6112335,12.01567265
C3,616.9807339,15.82001882
C6,459.3492995,11.77818717
C8,616.2088077,15.80022584
C9,461.7234514,11.83906286
D1,461.8008489,11.84104741
D10,465.2157037,11.92860779
D11,615.4859737,15.78169163
D12,617.4877442,15.83301908
D2,616.66899,15.81202538
D5,460.1552396,11.7988523
D6,446.8141285,11.45677252
D7,616.9315268,15.8187571
D8,454.7048519,11.65909877
E1,616.13993,15.79845974
E12,466.9504088,11.97308741
E3,458.6384789,11.759961
E4,618.4924482,15.85878072
E6,462.6872236,11.86377496
E7,614.334262,15.75216056
E8,462.0381269,11.84713146
F1,463.6365822,11.88811749
F11,469.1492049,12.02946679
F2,611.6783162,15.68405939
F3,617.0124414,15.82083183
F4,459.7291932,11.78792803
F5,453.1751841,11.61987652
F9,450.580334,11.5533419
G12,615.7485623,15.78842468
G4,616.8215918,15.81593825
G6,463.2848108,11.87909771
G7,432.5988142,11.09227729
G8,454.9363185,11.66503381
G9,609.3283046,15.62380268
H1,452.5968864,11.60504837
H10,457.3288597,11.72638102
H11,611.9186825,15.69022263
H12,454.1597367,11.64512145
H2,445.9877959,11.43558451
H4,616.7041321,15.81292646
H6,457.0973321,11.72044441
H8,613.4524038,15.72954882
