Pond,Pre_sum,Pre_mean,Post_sum,Post_mean
A1,427.8459845,12.96502983,505.4243314,15.31588883
A10,297.196171,9.005944574,380.7976942,11.53932407
A11,428.1946145,12.97559438,506.2496054,15.34089713
A12,311.5196388,9.439989055,399.8619832,12.11702979
A2,289.3906768,8.769414448,358.7833949,10.87222409
A4,304.3826247,9.2237159,383.5960609,11.62412306
A6,427.0141267,12.93982202,504.6654362,15.29289201
A7,298.7847235,9.054082531,376.2414406,11.40125578
B12,303.3116213,9.19126125,387.3456285,11.73774632
B2,288.759908,8.750300241,363.4708673,11.01426871
B4,299.3239474,9.07042265,377.5250128,11.4401519
B5,292.909888,8.876057213,371.8406188,11.26789754
B8,304.9071857,9.239611689,387.5978228,11.74538857
B9,426.7733942,12.9325271,504.533852,15.2889046
C1,293.4674512,8.892953066,372.7098409,11.2942376
C10,427.9461814,12.9680661,505.4998453,15.31817713
C12,309.1557231,9.368355245,396.4585591,12.01389573
C3,427.4753665,12.95379898,505.0174795,15.30355998
C6,299.4726684,9.074929345,379.0874252,11.48749773
C8,428.1306057,12.97365472,505.9847987,15.33287269
C9,307.5264462,9.318983218,383.4698395,11.62029817
D1,300.9185447,9.11874378,383.4942766,11.62103868
D10,295.4825468,8.95401657,364.9414718,11.05883248
D11,427.4113075,12.9518578,504.6065589,15.29110785
D12,427.7321043,12.96157892,505.1935171,15.30889446
D2,427.3147101,12.94893061,504.8219984,15.29763632
D5,297.5131235,9.015549195,379.7701471,11.50818628
D6,276.3193588,8.373313902,347.4386709,10.52844457
D7,427.8007548,12.96365924,505.7546144,15.32589741
D8,305.8478198,9.268115751,391.0878249,11.85114621
E1,427.9391187,12.96785208,505.3185491,15.31268331
E12,298.419634,9.043019214,363.3237154,11.00980956
E3,291.5657378,8.835325388,365.1393619,11.06482915
E4,427.9231352,12.96736773,505.3796344,15.31453438
E6,301.8583142,9.147221643,383.9696721,11.63544461
E7,427.0689537,12.94148344,504.6220442,15.2915771
E8,303.2709904,9.190030014,386.9473546,11.72567741
F1,295.3983554,8.951465314,374.956816,11.36232776
F11,302.8400731,9.176971911,388.9162981,11.78534237
F2,414.0936605,12.54829274,491.0143654,14.87922319
F3,427.5741365,12.95679202,504.9924194,15.30280059
F4,304.0669976,9.214151444,388.1420413,11.76188004
F5,282.1640579,8.550425995,348.1569508,10.55021063
F9,299.1279095,9.064482106,382.4667188,11.58990057
G12,427.4530607,12.95312305,505.0862618,15.3056443
G4,428.5392362,12.98603746,506.0663411,15.33534367
G6,280.5638806,8.501935775,355.8025805,10.78189638
G7,290.4053792,8.800163007,370.0202744,11.21273559
G8,291.3522161,8.828855032,372.273574,11.28101739
G9,427.7872654,12.96325047,501.1310034,15.18578798
H1,287.8694743,8.723317403,365.7691452,11.08391349
H10,295.8747696,8.965902108,374.9295589,11.36150178
H11,415.0978104,12.57872153,494.5793356,14.98725259
H12,292.4693738,8.862708298,373.5561374,11.31988295
H2,274.9156308,8.33077669,343.5429587,10.41039269
H4,427.1220952,12.94309379,504.2227166,15.27947626
H6,292.8463992,8.874133309,360.8184219,10.93389157
H8,427.5199154,12.95514895,505.0988133,15.30602465
