Pond,Pre_sum,Pre_mean,Post_sum,Post_mean
A1,510.8962108,15.96550659,688.2917682,20.85732631
A10,373.6282585,11.67588308,548.7230628,16.6279716
A11,512.769525,16.02404766,690.5607143,20.92608225
A12,409.0859224,12.78393508,571.7024932,17.32431798
A2,367.6137297,11.48792905,536.7335952,16.2646544
A3,536.7086318,16.77214474,717.7389295,21.74966453
A4,396.6266239,12.394582,571.7062151,17.32443076
A5,415.2492991,12.9765406,589.5273433,17.86446495
A6,509.5454726,15.92329602,686.4079224,20.80024007
A7,388.7419946,12.14818733,440.3995428,16.93844395
A8,543.6474695,16.98898342,571.8630313,21.99473197
A9,446.1328871,13.94165272,491.2156696,18.89291037
B1,415.5329206,12.98540377,596.5805426,18.07819826
B10,611.0046601,19.09389563,786.8680325,23.84448583
B11,447.1158977,13.9723718,621.953428,18.84707357
B12,383.1024087,11.97195027,546.4831085,16.5600942
B2,361.8610358,11.30815737,524.648602,15.89844249
B3,561.8537601,17.55793,742.24955,22.49241061
B4,390.8262586,12.21332058,567.113749,17.18526512
B5,387.8641973,12.12075617,557.7435207,16.90131881
B6,597.5789789,18.67434309,780.4216447,23.64914075
B7,478.8072599,14.96272687,517.939649,19.92075573
B8,395.6144868,12.36295271,448.3988604,17.24611002
B9,510.5961807,15.95613065,543.9197722,20.91999124
C1,379.2232947,11.85072796,553.2492177,16.76512781
C10,511.0165615,15.96926755,687.9237416,20.84617399
C11,607.4374372,18.98241991,787.2672959,23.85658472
C12,405.0981561,12.65931738,569.2269491,17.24930149
C2,447.0255008,13.9695469,621.913309,18.84585785
C3,511.2343824,15.97607445,688.1489649,20.85299894
C4,604.1764945,18.88051545,785.9408731,23.81639009
C5,447.3924899,13.98101531,622.4863337,18.86322223
C6,385.1592489,12.03622653,555.7259722,16.84018098
C7,447.3081644,13.97838014,492.2699615,18.93346006
C8,512.5095976,16.01592492,546.0259381,21.00099762
C9,400.584772,12.51827413,452.6442772,17.40939528
D1,393.9633556,12.31135486,575.1613241,17.42913103
D10,383.7503061,11.99219707,558.5367533,16.92535616
D11,510.50261,15.95320656,689.3842741,20.89043255
D12,510.638262,15.95744569,687.472772,20.83250824
D2,509.8687233,15.9333976,686.6259892,20.80684816
D3,574.4571034,17.95178448,753.3781184,22.82963995
D4,444.7157219,13.89736631,618.9731682,18.75676267
D5,377.3008335,11.79065105,551.6865593,16.71777452
D6,363.6924729,11.36538978,533.3838903,16.16314819
D7,512.3217717,16.01005537,545.8326823,20.9935647
D8,398.2112328,12.44410102,453.9282073,17.45877721
D9,575.0727168,17.9710224,597.7366259,22.98987023
E1,511.0090525,15.96903289,688.338158,20.85873206
E10,447.2540647,13.97668952,622.0348773,18.84954173
E11,479.6663341,14.98957294,656.0330853,19.87979046
E12,365.7896935,11.43092792,520.2204033,15.76425465
E2,604.6203759,18.89438675,784.4387058,23.77086987
E3,341.1458695,10.66080842,521.7631767,15.81100535
E4,511.2400122,15.97625038,688.5819035,20.86611829
E5,479.2740404,14.97731376,654.5107009,19.8336576
E6,392.1089334,12.25340417,561.9354868,17.02834808
E7,510.2234102,15.94448157,687.504701,20.83347579
E8,395.688872,12.36527725,566.4816887,17.16611178
E9,447.2282164,13.97588176,622.0086139,18.84874588
F1,387.9225775,12.12258055,561.6053939,17.01834527
F10,530.8745233,16.58982885,703.2513789,21.31064785
F11,395.8801933,12.37125604,568.2869897,17.22081787
F12,446.2576869,13.94555271,620.9073982,18.8153757
F2,491.5371511,15.36053597,667.6246241,20.23104922
F3,510.5763123,15.95550976,687.689493,20.83907555
F4,360.2414761,11.25754613,502.7580609,15.23509276
F5,376.592826,11.76852581,542.8869125,16.45111856
F6,540.9976819,16.90617756,716.9714533,21.72640767
F7,637.2128321,19.912901,818.0384424,24.78904371
F8,438.0687063,13.68964707,609.2640359,18.46254654
F9,394.320402,12.32251256,566.6371707,17.17082335
G1,448.0639684,14.00199901,623.0917118,18.88156702
G10,447.4649613,13.98328004,622.253695,18.85617257
G11,541.592732,16.92477287,720.1580488,21.82297117
G12,510.7005326,15.95939164,687.7497047,20.84090014
G2,415.9324667,12.99788959,590.9402444,17.90728013
G3,446.2652051,13.94578766,621.083394,18.82070891
G4,512.7256094,16.02267529,689.654402,20.89861824
G5,479.2072676,14.97522711,655.4091225,19.8608825
G6,375.1931046,11.72478452,541.2893702,16.40270819
G7,392.6763574,12.27113617,568.0331778,17.2131266
G8,377.6957899,11.80299344,555.7136347,16.83980711
G9,505.7112059,15.80347518,684.3270204,20.73718244
H1,375.5703174,11.73657242,552.322465,16.73704439
H10,375.7733472,11.7429171,550.0485948,16.66813924
H11,498.2471955,15.57022486,676.2974721,20.49386279
H12,376.8510524,11.77659539,538.8459203,16.32866425
H2,359.6589664,11.2393427,535.7892796,16.23603878
H3,636.9523054,19.90475954,817.5208655,24.77335956
H4,510.9729472,15.9679046,688.2539508,20.85618033
H5,441.6489199,13.80152875,617.1201987,18.70061208
H6,386.4261501,12.07581719,558.59067,16.92699
H7,600.3673159,18.76147862,778.6621333,23.59582222
H8,510.8252488,15.96328902,687.7788463,20.84178322
H9,415.3681417,12.98025443,588.7049609,17.83954427
