Pond	sum
A1	505.42433142
A10	380.797694153
A11	506.2496054
A12	399.861983178
A2	358.78339491
A4	383.596060913
A6	504.66543621
A7	376.241440603
B12	387.345628487
B2	363.47086732
B4	377.525012801
B5	371.840618823
B8	387.597822819
B9	504.53385195
C1	372.709840919
C10	505.49984532
C12	396.458559092
C3	505.01747948
C6	379.087425192
C8	505.9847987
C9	383.469839495
D1	383.494276588
D10	364.941471768
D11	504.60655892
D12	505.19351714
D2	504.82199844
D5	379.770147107
D6	347.438670891
D7	505.75461442
D8	391.087824941
E1	505.31854908
E12	363.323715444
E3	365.139361901
E4	505.37963439
E6	383.969672076
E7	504.62204423
E8	386.947354577
F1	374.956816043
F11	388.916298116
F2	491.01436543
F3	504.99241938
F4	388.142041303
F5	348.156950778
F9	382.466718823
G12	505.08626176
G4	506.0663411
G6	355.802580496
G7	370.020274416
G8	372.273573995
G9	501.13100344
H1	365.769145196
H10	374.929558896
H11	494.5793356
H12	373.556137383
H2	343.542958679
H4	504.22271662
H6	360.818421934
H8	505.09881329
