Pond	sum
A1	688.29176822
A11	690.56071431
A12	571.70249322
A2	536.73359519
A5	589.5273433
A8	571.86303132
A9	491.2156696
B1	596.58054261
B10	786.86803245
B11	621.95342796
B12	546.48310853
B2	524.64860202
B3	742.24954999
B4	567.11374903
B5	557.74352074
B8	448.39886039
B9	543.9197722
C1	553.24921766
C10	687.92374163
C11	787.26729591
C12	569.22694914
C2	621.91330899
C3	688.14896493
C4	785.94087307
C5	622.48633369
C6	555.72597224
C7	492.26996153
C8	546.02593812
C9	452.64427718
D1	575.16132405
D10	558.53675331
D11	689.38427409
D12	687.47277203
D2	686.62598922
D3	753.37811837
D5	551.6865593
D6	533.38389028
D7	545.83268229
D9	597.73662588
E10	622.03487725
E12	520.22040331
E2	784.43870581
E3	521.76317671
E4	688.58190353
E5	654.51070094
E6	561.93548675
E7	687.50470098
E8	566.48168872
F1	561.60539393
F10	703.25137889
F11	568.28698971
F3	687.689493
F4	502.75806093
F5	542.88691249
F6	716.97145326
F7	818.03844241
F8	609.26403588
F9	566.63717069
G1	623.09171179
G11	720.15804877
G12	687.74970473
G2	590.94024444
G3	621.083394
G4	689.65440195
G5	655.40912252
G6	541.28937016
G8	555.71363469
H1	552.322465
H10	550.04859483
H11	676.29747206
H2	535.78927961
H3	817.5208655
H4	688.2539508
H5	617.12019867
H6	558.59067
H7	778.66213332
