Pond	mean
A1	15.9655065859375
A10	11.6758830774375
A11	16.024047655
A12	12.7839350758125
A2	11.487929052625
A3	16.772144743125
A4	12.3945819956875
A5	12.976540598125
A6	15.9232960171875
A7	12.1481873310625
A8	16.988983421875
A9	13.9416527214375
B1	12.9854037672188
B10	19.0938956284375
B11	13.9723718016562
B12	11.9719502724375
B2	11.3081573688437
B3	17.5579300025
B4	12.2133205811562
B5	12.12075616625
B6	18.6743430915625
B7	14.962726870375
B8	12.362952713375
B9	15.9561306475
C1	11.850727959125
C10	15.9692675459375
C11	18.98241991375
C12	12.6593173782188
C2	13.9695469002812
C3	15.976074449375
C4	18.880515454375
C5	13.9810153090312
C6	12.0362265291875
C7	13.978380138625
C8	16.0159249240625
C9	12.5182741262187
D1	12.3113548636563
D10	11.99219706675
D11	15.9532065634375
D12	15.9574456875
D2	15.933397603125
D3	17.951784480625
D4	13.8973663086563
D5	11.7906510459375
D6	11.3653897788125
D7	16.010055366875
D8	12.4441010238125
D9	17.971022399375
E1	15.969032890625
E10	13.976689522125
E11	14.9895729402187
E12	11.4309279210937
E2	18.894386746875
E3	10.660808422125
E4	15.9762503821875
E5	14.9773137622187
E6	12.25340417025
E7	15.9444815675
E8	12.3652772495
E9	13.975881763625
F1	12.1225805460625
F10	16.5898288521875
F11	12.3712560394688
F12	13.9455527143437
F2	15.3605359703125
F3	15.955509760625
F4	11.2575461295
F5	11.7685258119688
F6	16.9061775596875
F7	19.9129010015625
F8	13.6896470725
F9	12.3225125634062
G1	14.0019990114375
G10	13.9832800405
G11	16.9247728746875
G12	15.9593916428125
G2	12.9978895854687
G3	13.9457876603125
G4	16.0226752921875
G5	14.975227112625
G6	11.7247845173125
G7	12.271136167875
G8	11.8029934352813
G9	15.8034751840625
H1	11.7365724196562
H10	11.7429171014063
H11	15.5702248596875
H12	11.7765953877187
H2	11.2393426990625
H3	19.904759543125
H4	15.9679045996875
H5	13.801528745625
H6	12.0758171913125
H7	18.761478620625
H8	15.9632890234375
H9	12.980254428875
