Pond	sum
A1	510.89621075
A10	373.628258478
A11	512.76952496
A12	409.085922426
A2	367.613729684
A3	536.70863178
A4	396.626623862
A5	415.24929914
A6	509.54547255
A7	388.741994594
A8	543.6474695
A9	446.132887086
B1	415.532920551
B10	611.00466011
B11	447.115897653
B12	383.102408718
B2	361.861035803
B3	561.85376008
B4	390.826258597
B5	387.86419732
B6	597.57897893
B7	478.807259852
B8	395.614486828
B9	510.59618072
C1	379.223294692
C10	511.01656147
C11	607.43743724
C12	405.098156103
C2	447.025500809
C3	511.23438238
C4	604.17649454
C5	447.392489889
C6	385.159248934
C7	447.308164436
C8	512.50959757
C9	400.584772039
D1	393.963355637
D10	383.750306136
D11	510.50261003
D12	510.638262
D2	509.8687233
D3	574.45710338
D4	444.715721877
D5	377.30083347
D6	363.692472922
D7	512.32177174
D8	398.211232762
D9	575.07271678
E1	511.0090525
E10	447.254064708
E11	479.666334087
E12	365.789693475
E2	604.6203759
E3	341.145869508
E4	511.24001223
E5	479.274040391
E6	392.108933448
E7	510.22341016
E8	395.688871984
E9	447.228216436
F1	387.922577474
F10	530.87452327
F11	395.880193263
F12	446.257686859
F2	491.53715105
F3	510.57631234
F4	360.241476144
F5	376.592825983
F6	540.99768191
F7	637.21283205
F8	438.06870632
F9	394.320402029
G1	448.063968366
G10	447.464961296
G11	541.59273199
G12	510.70053257
G2	415.932466735
G3	446.26520513
G4	512.72560935
G5	479.207267604
G6	375.193104554
G7	392.676357372
G8	377.695789929
G9	505.71120589
H1	375.570317429
H10	375.773347245
H11	498.24719551
H12	376.851052407
H2	359.65896637
H3	636.95230538
H4	510.97294719
H5	441.64891986
H6	386.426150122
H7	600.36731586
H8	510.82524875
H9	415.368141724
