Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP_max	Year	ATP
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	121.896	2019	3.59978737227571
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	311.52	2019	9.19969287106491
A3	5°„C	5°„C	NONE		No Ammonia	240.912	2019	7.11452365483433
A4	UR+RU	0°„C	NONE	UR+RU	No Ammonia	137.364	2019	4.05658259996456
A5	1°„C	1°„C	NONE		No Ammonia	129.872	2019	3.83533164018664
A6	4°„C	4°„C	NONE	4°„C	Ammonia	175.972	2019	5.19673970822751
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	87.012	2019	2.56960604807749
A8	5°„C	5°„C	NONE		No Ammonia	282.996	2019	8.35733270332526
A9	2°„C	2°„C	NONE		Ammonia	127.16	2019	3.75524186403638
A10	UR	0°„C	NONE	UR	No Ammonia	201.492	2019	5.9503868643317
A11	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	321.796	2019	9.50315988423602
A12	UR+RU	0°„C	NONE	UR+RU	No Ammonia	172.564	2019	5.09609591872896
B1	1°„C	1°„C	NONE		No Ammonia	170.168	2019	5.02533813714488
B2	UR	0°„C	NONE	UR	Ammonia	171.864	2019	5.07542377886717
B3	6°„C	6°„C	NONE		No Ammonia	102.572	2019	3.02911818557675
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	107.804	2019	3.18362766522946
B5	RU	0°„C	NONE	RU	No Ammonia	63.164	2019	1.86533577461461
B6	7°„C	7°„C	NONE		No Ammonia	148.732	2019	4.39229815132006
B7	3°„C	3°„C	NONE		No Ammonia	93.628	2019	2.7649873013998
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	335.12	2019	9.89663930069104
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	107.08	2019	3.16224676628669
B10	8°„C	8°„C	NONE		No Ammonia	208.58	2019	6.15970704624653
B11	2°„C	2°„C	NONE		Ammonia	228.392	2019	6.74478766759199
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	290.16	2019	8.56889728899652
C1	UR+RU	0°„C	NONE	UR+RU	Ammonia	205.148	2019	6.058354497667
C2	2°„C	2°„C	NONE		Ammonia	227.472	2019	6.71761856948792
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	161.136	2019	4.75860846967102
C4	8°„C	8°„C	NONE		Ammonia	105.928	2019	3.12822633039986
C5	2°„C	2°„C	NONE		Ammonia	136.348	2019	4.02657846553659
C6	RU	0°„C	NONE	RU	No Ammonia	99.668	2019	2.94335833677869
C7	2°„C	2°„C	NONE		No Ammonia	102.772	2019	3.03502451125155
C8	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	128.848	2019	3.80509125273168
C9	UR	0°„C	NONE	UR	No Ammonia	413.58	2019	12.2136908629142
C10	4°„C	4°„C	NONE	4°„C	Ammonia	168.956	2019	4.98954580355561
C11	7°„C	7°„C	NONE		No Ammonia	137.312	2019	4.05504695528912
C12	RU	0°„C	NONE	RU	Ammonia	126.188	2019	3.72653712125687
D1	RU	0°„C	NONE	RU	No Ammonia	144.532	2019	4.26826531214931
D2	4°„C	4°„C	NONE	4°„C	Ammonia	333.136	2019	9.83804854999705
D3	6°„C	6°„C	NONE		Ammonia	93.504	2019	2.76132537948143
D4	2°„C	2°„C	NONE		Ammonia	116.648	2019	3.44480538656902
D5	UR	0°„C	NONE	UR	Ammonia	178.38	2019	5.26785186935208
D6	CONTROL	0°„C	NONE	CONTROL	No Ammonia	230.936	2019	6.81991613017542
D7	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	225.608	2019	6.66257161419881
D8	UR	0°„C	NONE	UR	No Ammonia	168.6	2019	4.97903254385447
D9	6°„C	6°„C	NONE		No Ammonia	103.664	2019	3.06136672376115
D10	CONTROL	0°„C	NONE	CONTROL	Ammonia	91.052	2019	2.6889138267084
D11	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	188.988	2019	5.58112338314335
D12	4°„C	4°„C	NONE	4°„C	No Ammonia	54.292	2019	1.60333116768059
E1	4°„C	4°„C	NONE	4°„C	No Ammonia	116.688	2019	3.44598665170397
E2	7°„C	7°„C	NONE		Ammonia	126.164	2019	3.72582836217589
E3	UR	0°„C	NONE	UR	No Ammonia	198.34	2019	5.85730317169689
E4	4°„C	4°„C	NONE	4°„C	Ammonia	106.052	2019	3.13188825231823
E5	3°„C	3°„C	NONE		Ammonia	132.208	2019	3.90431752406828
E6	RU	0°„C	NONE	RU	Ammonia	252.408	2019	7.4540192546217
E7	4°„C	4°„C	NONE	4°„C	Ammonia	339.444	2019	10.0243340617802
E8	UR+RU	0°„C	NONE	UR+RU	Ammonia	386.524	2019	11.4146831256275
E9	2°„C	2°„C	NONE		Ammonia	113	2019	3.33707400626071
E10	2°„C	2°„C	NONE		No Ammonia	104.444	2019	3.08440139389286
E11	3°„C	3°„C	NONE		Ammonia	191.608	2019	5.6584962494832
E12	UR	0°„C	NONE	UR	Ammonia	276.712	2019	8.17175595062312
F1	RU	0°„C	NONE	RU	Ammonia	182.272	2019	5.38278896698364
F2	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	290.532	2019	8.57988305475164
F3	4°„C	4°„C	NONE	4°„C	Ammonia	130.268	2019	3.84702616502274
F4	UR+RU	0°„C	NONE	UR+RU	Ammonia	136.244	2019	4.02350717618569
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	253.844	2019	7.49642667296675
F6	5°„C	5°„C	NONE		Ammonia	300.808	2019	8.88335006792275
