Pond	Group	Temperature	Treatment	Chemical	Start	End	Type	Post_sum	Year	K	KDD
A1	4°„C	4°„C	4°„C	NONE	1.47	1.07	Coarse	616.8357978	2019	0.008357993	0.000514892
A10	UR	0°„C	UR	UR	1.5	1.14	Coarse	457.8572837	2019	0.007222022	0.000599394
A11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.47	0.88	Coarse	616.4330288	2019	0.01350252	0.000832363
A12	UR+RU	0°„C	UR+RU	UR+RU	1.52	1.21	Coarse	484.255719	2019	0.006002368	0.000471011
A2	CONTROL	0°„C	CONTROL	NONE	1.48	1.19	Coarse	444.1734011	2019	0.005739178	0.000490999
A4	UR+RU	0°„C	UR+RU	UR+RU	1.48	1.18	Coarse	464.4933336	2019	0.005961254	0.000487688
A6	4°„C	4°„C	4°„C	NONE	1.47	1.16	Coarse	616.8448795	2019	0.006232695	0.000383958
A7	CONTROL	0°„C	CONTROL	NONE	1.52	1.18	Coarse	462.8554604	2019	0.00666305	0.00054703
B12	CONTROL	0°„C	CONTROL	NONE	1.46	1.1	Coarse	472.7578861	2019	0.007450691	0.000598882
B2	UR	0°„C	UR	UR	1.55	1.16	Coarse	450.7296829	2019	0.007627235	0.000643035
B4	CONTROL	0°„C	CONTROL	NONE	1.48	1.4	Coarse	462.695013	2019	0.001462365	0.0001201
B5	RU	0°„C	RU	RU	1.53	1.17	Coarse	454.8967166	2019	0.007059579	0.000589725
B8	CONTROL	0°„C	CONTROL	NONE	1.5	1.2	Coarse	466.2546926	2019	0.005872199	0.000478587
B9	4°„C	4°„C	4°„C	NONE	1.51	1.08	Coarse	615.6682905	2019	0.0088197	0.000544366
C1	UR+RU	0°„C	UR+RU	UR+RU	1.47	1.12	Coarse	451.2308243	2019	0.00715615	0.000602649
C10	4°„C	4°„C	4°„C	NONE	1.5	0.99	Coarse	618.4635285	2019	0.010934617	0.000671851
C12	RU	0°„C	RU	RU	1.47	0.95	Coarse	468.6112335	2019	0.011488308	0.000931595
C3	4°„C	4°„C	4°„C	NONE	1.52	1.04	Coarse	616.9807339	2019	0.009986569	0.000615075
C6	RU	0°„C	RU	RU	1.49	1.17	Coarse	459.3492995	2019	0.006362431	0.000526337
C8	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.49	1.08	Coarse	616.2088077	2019	0.008468818	0.00052225
C9	UR	0°„C	UR	UR	1.45	1.22	Coarse	461.7234514	2019	0.004545071	0.000374061
D1	RU	0°„C	RU	RU	1.53	1.05	Coarse	461.8008489	2019	0.009907305	0.000815238
D10	CONTROL	0°„C	CONTROL	NONE	1.47	1.09	Coarse	465.2157037	2019	0.00787065	0.000642895
D11	UR+RU+4°„C	4°„C	UR+RU+4°„C	UR+RU	1.48	1.11	Coarse	615.4859737	2019	0.007570581	0.000467406
D12	4°„C	4°„C	4°„C	NONE	1.49	1.1	Coarse	617.4877442	2019	0.007985946	0.000491453
D2	4°„C	4°„C	4°„C	NONE	1.45	0.91	Coarse	616.66899	2019	0.012259848	0.000755469
D5	UR	0°„C	UR	UR	1.54	1.14	Coarse	460.1552396	2019	0.007914583	0.000653593
D6	CONTROL	0°„C	CONTROL	NONE	1.5	1.13	Coarse	446.8141285	2019	0.007453881	0.000633927
