Ponds,Group,Temperature,Treatment,MicroResp_SW,Year
A1,4°„C,4°„C,4°„C,1.16E-05,2019
A2,CONTROL,CONTROL,CONTROL,2.07E-05,2019
A3,5°„C,5°„C,,3.45E-05,2019
A4,UR+RU,,UR+RU,1.96E-05,2019
A5,1°„C,1°„C,,1.98E-05,2019
A6,4°„C,4°„C,4°„C,2.07E-05,2019
A7,CONTROL,CONTROL,CONTROL,2.26E-05,2019
A8,5°„C,5°„C,,3.12E-05,2019
A9,2°„C,2°„C,,2.52E-05,2019
A10,UR,,UR,3.99E-05,2019
A11,UR+RU+4°„C,,UR+RU+4°„C,3.08E-05,2019
A12,UR+RU,,UR+RU,8.14E-06,2019
B1,1°„C,1°„C,,1.01E-05,2019
B2,UR,,UR,4.24E-05,2019
B3,6°„C,6°„C,,5.26E-05,2019
B4,CONTROL,CONTROL,CONTROL,5.56E-05,2019
B5,RU,,RU,5.32E-05,2019
B6,7°„C,7°„C,,6.59E-05,2019
B7,3°„C,3°„C,,6.73E-05,2019
B8,CONTROL,CONTROL,CONTROL,9.59E-05,2019
B9,4°„C,4°„C,4°„C,5.62E-05,2019
B10,8°„C,8°„C,,3.04E-05,2019
B11,2°„C,2°„C,,1.90E-05,2019
B12,CONTROL,CONTROL,CONTROL,2.35E-05,2019
C1,UR+RU,,UR+RU,1.98E-05,2019
C2,2°„C,2°„C,,4.39E-05,2019
C3,4°„C,4°„C,4°„C,3.41E-05,2019
C4,8°„C,8°„C,,4.24E-05,2019
C5,2°„C,2°„C,,3.90E-05,2019
C6,RU,,RU,3.20E-05,2019
C7,2°„C,2°„C,,4.24E-05,2019
C8,UR+RU+4°„C,,UR+RU+4°„C,4.09E-05,2019
C9,UR,,UR,2.70E-05,2019
C10,4°„C,4°„C,4°„C,4.34E-05,2019
C11,7°„C,7°„C,,2.16E-05,2019
C12,RU,,RU,1.46E-05,2019
D1,RU,,RU,1.31E-05,2019
D2,4°„C,4°„C,4°„C,3.45E-05,2019
D3,6°„C,6°„C,,3.71E-05,2019
D4,2°„C,2°„C,,3.24E-05,2019
D5,UR,,UR,3.45E-05,2019
D6,CONTROL,CONTROL,CONTROL,3.04E-05,2019
D7,UR+RU+4°„C,,UR+RU+4°„C,3.49E-05,2019
D8,UR,,UR,4.34E-05,2019
D9,6°„C,6°„C,,3.76E-05,2019
D10,CONTROL,CONTROL,CONTROL,3.00E-05,2019
D11,UR+RU+4°„C,,UR+RU+4°„C,3.67E-05,2019
D12,4°„C,4°„C,4°„C,1.35E-05,2019
E1,4°„C,4°„C,4°„C,1.33E-05,2019
E2,7°„C,7°„C,,4.34E-05,2019
E3,UR,,UR,4.04E-05,2019
E4,4°„C,4°„C,4°„C,3.45E-05,2019
E5,3°„C,3°„C,,3.49E-05,2019
E6,RU,,RU,4.39E-05,2019
E7,4°„C,4°„C,4°„C,3.32E-05,2019
E8,UR+RU,,UR+RU,4.70E-05,2019
E9,2°„C,2°„C,,5.26E-05,2019
E10,2°„C,2°„C,,2.32E-05,2019
E11,3°„C,3°„C,,2.07E-05,2019
E12,UR,,UR,6.58E-06,2019
F1,RU,,RU,1.39E-05,2019
F2,UR+RU+4°„C,,UR+RU+4°„C,1.74E-05,2019
F3,4°„C,4°„C,4°„C,3.99E-05,2019
F4,UR+RU,,UR+RU,2.59E-05,2019
F5,CONTROL,CONTROL,CONTROL,2.81E-05,2019
F6,5°„C,5°„C,,2.35E-05,2019
F7,8°„C,8°„C,,2.88E-05,2019
F8,2°„C,2°„C,,2.81E-05,2019
F9,RU,,RU,7.53E-05,2019
F10,6°„C,6°„C,,3.16E-05,2019
F11,CONTROL,CONTROL,CONTROL,2.16E-05,2019
F12,2°„C,2°„C,,8.30E-06,2019
G1,2°„C,2°„C,,1.20E-05,2019
G2,1°„C,1°„C,,2.19E-05,2019
G3,2°„C,2°„C,,1.58E-05,2019
G4,UR+RU+4°„C,,UR+RU+4°„C,2.42E-05,2019
G5,3°„C,3°„C,,2.29E-05,2019
G6,UR+RU,,UR+RU,2.32E-05,2019
G7,RU,,RU,3.00E-05,2019
G8,CONTROL,CONTROL,CONTROL,3.12E-05,2019
G9,UR+RU+4°„C,,UR+RU+4°„C,2.23E-05,2019
G10,2°„C,2°„C,,2.73E-05,2019
G11,5°„C,5°„C,,2.35E-05,2019
G12,UR+RU+4°„C,,UR+RU+4°„C,8.61E-06,2019
H1,CONTROL,CONTROL,CONTROL,8.77E-06,2019
H2,UR+RU,,UR+RU,1.49E-05,2019
H3,8°„C,8°„C,,1.56E-05,2019
H4,4°„C,4°„C,4°„C,1.12E-05,2019
H5,2°„C,2°„C,,1.29E-05,2019
H6,UR,,UR,1.46E-05,2019
H7,7°„C,7°„C,,1.90E-05,2019
H8,4°„C,4°„C,4°„C,2.10E-05,2019
H9,1°„C,1°„C,,1.20E-05,2019
H10,CONTROL,CONTROL,CONTROL,2.07E-05,2019
H11,4°„C,4°„C,4°„C,1.29E-05,2019
H12,UR+RU,,UR+RU,4.32E-06,2019
A1,4°„C,4°„C,4°„C,1.48E-07,2021
A2,CONTROL,CONTROL,CONTROL,2.93E-07,2021
A3,5°„C,5°„C,,1.16E-06,2021
A4,UR+RU,,UR+RU,1.78E-06,2021
A5,1°„C,1°„C,,1.16E-06,2021
A6,4°„C,4°„C,4°„C,1.49E-06,2021
