Pond	M-wettex	T-wettex	W-value	Dosing
A1	2.582	2.393	0.189	Pre
A2	2.284	2.584	-0.3	Pre
A3	2.409	2.397	0.012	Pre
A4	2.274	2.214	0.06	Pre
A5	2.373	2.267	0.106	Pre
A6	2.578	2.401	0.177	Pre
A7	2.291	2.418	-0.127	Pre
A8	2.412	2.492	-0.08	Pre
A9	2.291	2.61	-0.319	Pre
A10	2.374	2.201	0.173	Pre
A11	2.387	2.571	-0.184	Pre
A12	2.256	2.415	-0.159	Pre
B1	2.257	2.434	-0.177	Pre
B2	2.316	2.529	-0.213	Pre
B3	2.135	2.314	-0.179	Pre
B4	2.381	2.509	-0.128	Pre
B5	2.618	2.604	0.014	Pre
B6	2.4664	2.665	0.418	Pre
B7	2.585	2.704	-0.119	Pre
B8	2.29	2.355	-0.065	Pre
B9	2.434	2.56	-0.126	Pre
B10	2.389	2.528	-0.139	Pre
B11	2.304	2.484	-0.18	Pre
B12	2.355	2.324	0.031	Pre
C1	2.415	2.634	-0.219	Pre
C2	2.304	2.356	-0.052	Pre
C3	2.364	2.512	-0.148	Pre
C4	2.442	2.527	-0.085	Pre
C5	2.425	2.564	-0.139	Pre
C6	2.05	2.589	-0.539	Pre
C7	2.449	2.393	0.056	Pre
C8	2.329	2.417	-0.088	Pre
C9	2.64	2.586	0.054	Pre
C10	2.549	2.676	-0.127	Pre
C11	2.279	2.517	-0.238	Pre
C12	2.436	2.291	0.145	Pre
D1	2.412	2.519	-0.107	Pre
D2	2.295	2.64	-0.345	Pre
D3	2.299	2.564	-0.265	Pre
D4	2.382	2.54	-0.158	Pre
D5	2.327	2.497	-0.17	Pre
D6	2.577	2.664	-0.087	Pre
D7	2.304	2.342	-0.038	Pre
D8	2.468	2.502	-0.034	Pre
D9	2.42	2.457	-0.037	Pre
D10	2.588	2.316	0.272	Pre
D11	2.241	2.491	-0.25	Pre
D12	2.457	2.281	0.176	Pre
E1	2.562	2.411	0.151	Pre
E2	2.301	2.377	-0.076	Pre
E3	2.452	2.363	0.089	Pre
E4	2.407	2.277	0.13	Pre
E5	2.28	2.566	-0.286	Pre
E6	2.3952	2.578	0.416	Pre
E7	2.459	2.41	0.049	Pre
E8	2.568	2.847	-0.279	Pre
E9	2.438	2.599	-0.161	Pre
E10	2.465	2.438	0.027	Pre
E11	2.479	2.438	0.041	Pre
E12	2.336	2.575	-0.239	Pre
F1	2.441	2.424	0.017	Pre
F2	2.433	2.923	-0.49	Pre
F3	2.411	2.475	-0.064	Pre
F4	2.438	2.373	0.065	Pre
F5	2.43	2.521	-0.091	Pre
F6	2.413	2.431	-0.018	Pre
F7	2.633	2.469	0.164	Pre
F8	2.512	2.255	0.257	Pre
F9	2.286	2.461	-0.175	Pre
F10	2.349	2.23	0.119	Pre
F11	2.384	2.803	-0.419	Pre
F12	2.444	2.521	-0.077	Pre
G1	2.355	2.981	-0.626	Pre
G2	2.432	2.321	0.111	Pre
G3	2.375	2.59	-0.215	Pre
G4	2.337	2.212	0.125	Pre
G5	2.452	2.428	0.024	Pre
G6	2.347	2.252	0.095	Pre
G7	2.262	2.2544	-0.556	Pre
G8	2.41	2.273	0.137	Pre
G9	2.476	2.384	0.092	Pre
G10	2.248	2.529	-0.281	Pre
G11	2.4528	2.487	0.579	Pre
G12	2.264	2.456	-0.192	Pre
H1	2.338	2.253	0.085	Pre
H2	2.303	2.385	-0.082	Pre
H3	2.2968	2.3488	-0.065	Pre
H4	2.504	2.512	-0.008	Pre
H5	2.279	2.816	-0.537	Pre
H6	2.272	2.308	-0.036	Pre
H7	2.347	2.342	0.005	Pre
H8	2.655	2.179	0.476	Pre
H9	2.201	2.514	-0.313	Pre
H10	2.264	2.628	-0.364	Pre
H11	2.483	2.479	0.004	Pre
H12	2.251	2.493	-0.242	Pre
A1	2.589	2.365	0.224	Post
A2	2.297	2.295	0.002	Post
A3	2.806	2.231	0.575	Post
A4	2.384	2.429	-0.045	Post
A5	2.345	2.721	-0.376	Post
A6	2.433	2.432	0.001	Post
A7	2.59	2.479	0.111	Post
A8	2.362	2.268	0.094	Post
A9	2.327	2.372	-0.045	Post
A10			0	Post
A11	2.279	2.312	-0.033	Post
A12	2.467	2.334	0.133	Post
B1	2.368	2.367	0.001	Post
B2	2.34	2.396	-0.056	Post
B3	2.336	2.628	-0.292	Post
B4	2.461	2.712	-0.251	Post
B5	2.255	2.474	-0.219	Post
B6	2.359	2.631	-0.272	Post
B7			0	Post
B8	2.411	2.277	0.134	Post
B9	2.358	2.215	0.143	Post
B10	2.363	2.472	-0.109	Post
B11	2.28	2.387	-0.107	Post
B12	2.281	2.465	-0.184	Post
C1	2.28	2.319	-0.039	Post
C2	2.311	2.554	-0.243	Post
C3	2.263	2.565	-0.302	Post
C4	2.296	2.311	-0.015	Post
C5	2.422	2.464	-0.042	Post
C6	2.313	2.301	0.012	Post
C7	2.461	2.343	0.118	Post
C8	2.394	2.569	-0.175	Post
C9	2.357	2.261	0.096	Post
C10	2.582	2.458	0.124	Post
C11	2.249	2.122	0.127	Post
C12	2.388	2.437	-0.049	Post
D1	2.335	2.324	0.011	Post
D2	2.451	2.411	0.04	Post
D3	2.506	2.526	-0.02	Post
D4	2.419	2.389	0.03	Post
D5	2.21	2.643	-0.433	Post
D6	2.753	2.543	0.21	Post
D7	2.466	2.258	0.208	Post
D8	2.316	2.543	-0.227	Post
D9	2.33	2.237	0.093	Post
D10	2.406	2.527	-0.121	Post
D11	2.284	2.339	-0.055	Post
D12	2.421	2.33	0.091	Post
E1	2.237	2.358	-0.121	Post
E2	2.228	1.956	0.272	Post
E3	2.268	2.225	0.043	Post
E4	2.322	2.631	-0.309	Post
E5	2.586	2.414	0.172	Post
E6	2.244	2.309	-0.065	Post
E7	2.462	2.592	-0.13	Post
E8	2.237	2.471	-0.234	Post
E9	2.27	2.566	-0.296	Post
E10	2.337	2.08	0.257	Post
E11	2.358	2.563	-0.205	Post
E12	2.434	2.358	0.076	Post
F1	2.318	2.487	-0.169	Post
F2	2.167	2.458	-0.291	Post
F3	2.271	2.013	0.258	Post
F4	2.546	2.442	0.104	Post
F5	2.275	2.593	-0.318	Post
F6	2.329	2.247	0.082	Post
F7	2.281	2.362	-0.081	Post
F8	2.2795	2.327	-0.0475	Post
F9	2.329	2.327	0.002	Post
F10	2.439	2.327	0.112	Post
F11	2.284	2.343	-0.059	Post
F12	2.245	2.635	-0.39	Post
G1	2.166	2.347	-0.181	Post
G2	2.275	2.528	-0.253	Post
